DMU,VRS_DF,VRS,VRS_DF-VRS,Position
이재원,1,0.1004,0.8996,C
최재훈,1,0.2971,0.7029,C
오지환,1,0.2982,0.7018,SS
장성우,0.9951,0.4281,0.567,C
심우준,0.6944,0.4292,0.2652,SS
오선진,0.6562,0.3997,0.2565,SS
한승택,0.7012,0.4862,0.215,C
박세혁,1,0.8114,0.1886,C
유강남,1,0.8405,0.1595,C
김성현,0.2376,0.1102,0.1274,SS
박동원,1,0.8767,0.1233,C
나종덕,0.7821,0.6744,0.1077,C
김혜성,0.5981,0.5031,0.095,2B/SS
김선빈,0.199,0.1157,0.0833,SS
신본기,0.2593,0.1899,0.0694,SS
김재호,0.1071,0.0477,0.0594,SS
황재균,0.3034,0.2444,0.059,3B
이원석,0.8905,0.837,0.0535,3B
박민우,0.5153,0.4723,0.043,2B
강민호,0.1171,0.0815,0.0356,C
이지영,0.1719,0.1439,0.028,C
정주현,0.403,0.3759,0.0271,2B
박석민,0.3631,0.3391,0.024,3B
안치홍,0.1289,0.1064,0.0225,2B
박경수,0.241,0.2266,0.0144,2B
김상수,0.2776,0.2704,0.0072,2B
허경민,0.1865,0.1799,0.0066,3B
민병헌,0.0742,0.068,0.0062,OF
이형종,0.699,0.6952,0.0038,OF
송광민,0.172,0.1695,0.0025,3B
이정후,1,1,0,
김하성,1,1,0,
정은원,1,1,0,
이천웅,1,1,0,
최정,1,1,0,
전준우,1,1,0,
김현수,0.157,0.157,0,
박해민,0.1252,0.1252,0,
김재환,0.3239,0.3239,0,
손아섭,0.0658,0.0658,0,
유한준,0.3684,0.3684,0,
최형우,0.1887,0.1887,0,
이대호,0.0884,0.0884,0,
이명기,0.2572,0.2572,0,
박찬호,1,1,0,
박건우,0.3952,0.3952,0,
박병호,1,1,0,
오재일,1,1,0,
구자욱,0.5778,0.5778,0,
김민혁,1,1,0,
채은성,0.4577,0.4577,0,
정수빈,0.2806,0.2806,0,
고종욱,1,1,0,
강백호,1,1,0,
한동민,0.2928,0.2928,0,
김태균,0.0834,0.0834,0,
서건창,0.1867,0.1867,0,
이성열,1,1,0,
이창진,1,1,0,
김헌곤,0.2994,0.2994,0,
김강민,0.1461,0.1461,0,
양의지,1,1,0,
노수광,0.1701,0.1701,0,
정의윤,0.3818,0.3818,0,
임병욱,0.312,0.312,0,
권희동,0.2214,0.2214,0,
장영석,1,1,0,
김민성,0.1303,0.1303,0,
김태진,0.9778,0.9778,0,
오태곤,0.5762,0.5762,0,
노진혁,1,1,0,
모창민,0.2646,0.2646,0,
김주찬,0.0766,0.0766,0,
장진혁,0.8359,0.8359,0,
김성욱,0.4716,0.4716,0,
최주환,0.0803,0.0803,0,
류지혁,0.2682,0.2682,0,
강로한,1,1,0,
정근우,0.0429,0.0429,0,
이원재,1,1,0,
최영진,0.566,0.566,0,
이상호,0.3777,0.3777,0,
최원준,0.2941,0.2941,0,
김규민,0.5007,0.5007,0,
나주환,0.0906,0.0906,0,
박승욱,0.4394,0.4394,0,
오윤석,0.9667,0.9667,0,
정훈,0.3625,0.3625,0,
박용택,0.0367,0.0367,0,
김동엽,0.1676,0.1676,0,
조용호,0.7462,0.7462,0,
김용의,0.346,0.346,0,
한동희,0.5918,0.5918,0,
오재원,0.0527,0.0527,0,
박계범,1,1,0,
유민상,1,1,0,
채태인,0.1506,0.1506,0,
윤석민,0.1208,0.1208,0,
지석훈,0.1933,0.1933,0,
이우성,0.775,0.775,0,
허일,0.9667,0.9667,0,
김찬형,0.6807,0.6807,0,
나지완,0.0517,0.0517,0,
최항,0.2636,0.2636,0,
