DMU,VRS_수비,VRS,수비-수비x
김민혁,1,1,0
박찬호,1,1,0
이창진,1,1,0
이학주,1,1,0
박계범,1,1,0
김도환,1,1,0
정은원,1,1,0
유민상,1,1,0
장영석,1,1,0
노시환,1,1,0
노진혁,1,1,0
박세혁,1,0.8114,0.1886
박동원,1,0.8659,0.1341
고종욱,1,1,0
강백호,1,1,0
이천웅,1,1,0
최재훈,1,0.2971,0.7029000000000001
유강남,1,0.8405,0.15949999999999998
오재일,1,1,0
이성열,1,1,0
김하성,1,1,0
이정후,1,1,0
전준우,1,1,0
오지환,1,0.2875,0.7125
최정,1,1,0
박병호,1,1,0
나성범,1,1,0
양의지,1,1,0
이재원,1,0.1004,0.8996
김태진,0.9482,0.9482,0.0
강로한,0.931,0.931,0.0
장성우,0.9076,0.3352,0.5724
허일,0.9,0.9,0.0
오윤석,0.9,0.9,0.0
이원석,0.8905,0.837,0.05349999999999999
강진성,0.8438,0.8437,9.999999999998899e-05
김형준,0.8437,0.8438,-9.999999999998899e-05
이원재,0.7833,0.7833,0.0
황윤호,0.719,0.719,0.0
조용호,0.7115,0.7115,0.0
장진혁,0.7105,0.7105,0.0
이형종,0.699,0.6952,0.0037999999999999146
김민하,0.6923,0.6923,0.0
이우성,0.675,0.675,0.0
전민수,0.675,0.675,0.0
김찬형,0.6279,0.6279,0.0
나종덕,0.6279,0.6279,0.0
김준태,0.6136,0.6136,0.0
심우준,0.5913,0.406,0.18530000000000002
구자욱,0.5778,0.5778,0.0
한동희,0.551,0.551,0.0
김혜성,0.5321,0.496,0.03610000000000002
박민우,0.5153,0.4723,0.04299999999999998
최영진,0.5094,0.5094,0.0
오태곤,0.5087,0.5087,0.0
오선진,0.4841,0.36,0.12409999999999999
지성준,0.4737,0.4737,0.0
김규민,0.4655,0.4655,0.0
채은성,0.4577,0.4577,0.0
한승택,0.45,0.45,0.0
김회성,0.4154,0.4154,0.0
박승욱,0.4091,0.4091,0.0
박건우,0.3952,0.3952,0.0
김성욱,0.3949,0.3949,0.0
정의윤,0.3818,0.3818,0.0
유한준,0.3684,0.3684,0.0
박석민,0.3631,0.3391,0.023999999999999966
정주현,0.3594,0.3534,0.006000000000000005
이상호,0.3375,0.3375,0.0
정훈,0.3375,0.3375,0.0
김문호,0.3375,0.3375,0.0
김재환,0.3239,0.3239,0.0
김용의,0.3176,0.3176,0.0
양성우,0.3176,0.3176,0.0
강경학,0.3068,0.3068,0.0
황재균,0.3034,0.2444,0.059
김헌곤,0.2994,0.2994,0.0
한동민,0.2928,0.2928,0.0
임병욱,0.2867,0.2867,0.0
정수빈,0.2806,0.2806,0.0
김상수,0.2776,0.2704,0.00720000000000004
최원준,0.27,0.27,0.0
모창민,0.2618,0.2618,0.0
이명기,0.2572,0.2572,0.0
최항,0.2455,0.2455,0.0
박경수,0.241,0.2266,0.014399999999999996
정진호,0.2389,0.2389,0.0
류지혁,0.231,0.231,0.0
김성현,0.2143,0.1021,0.1122
권희동,0.2048,0.2048,0.0
김민식,0.1929,0.1929,0.0
서건창,0.1867,0.1867,0.0
허경민,0.1865,0.1799,0.006599999999999995
최형우,0.1816,0.1816,0.0
지석훈,0.18,0.18,0.0
김선빈,0.1792,0.1157,0.0635
신본기,0.1769,0.1687,0.008200000000000013
노수광,0.1701,0.1701,0.0
송광민,0.1662,0.1662,0.0
김현수,0.157,0.157,0.0
최진행,0.148,0.148,0.0
김동엽,0.1459,0.1459,0.0
채태인,0.1383,0.1383,0.0
이지영,0.1333,0.1333,0.0
김강민,0.1322,0.1322,0.0
안치홍,0.1254,0.1064,0.019000000000000017
김민성,0.1235,0.1235,0.0
박해민,0.1172,0.1172,0.0
강민호,0.1136,0.0815,0.032100000000000004
윤석민,0.1125,0.1125,0.0
김재호,0.0972,0.0477,0.049499999999999995
이대호,0.0884,0.0884,0.0
나주환,0.0844,0.0844,0.0
김태균,0.0834,0.0834,0.0
최주환,0.0797,0.0797,0.0
김주찬,0.0704,0.0704,0.0
민병헌,0.0704,0.0675,0.0029
손아섭,0.0658,0.0658,0.0
오재원,0.0491,0.0491,0.0
나지완,0.045,0.045,0.0
정근우,0.0386,0.0386,0.0
박용택,0.0337,0.0337,0.0
