DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
이재원,2,117,108,117,포수,-106
오지환,7,92,75,91,유격수,-68
최재훈,14,45,73,58,포수,-59
장성우,31,41,67,44,포수,-36
김성현,88,87,107,94,유격수,-19
유강남,13,49,30,48,포수,-17
박세혁,19,29,32,35,포수,-13
박동원,18,30,27,28,포수,-9
김선빈,95,90,104,90,유격수,-9
박찬호,1,1,9,2,유격수,-8
심우준,48,37,56,36,유격수,-8
황재균,75,107,83,107,3루수,-8
김재호,110,108,118,108,유격수,-8
오선진,55,40,61,43,유격수,-6
강민호,108,112,112,112,포수,-4
이성열,11,56,12,55,우익수,-1
노시환,21,14,22,14,1루수,-1
박경수,85,88,86,87,2루수,-1
안치홍,105,106,106,106,2루수,-1
김민혁,0,0,0,0,,0
허경민,92,93,92,92,,0
나지완,119,110,119,110,,0
정근우,120,115,120,115,,0
박용택,121,118,121,118,,0
양의지,3,114,2,114,,1
나성범,4,103,3,103,,1
박병호,5,101,4,101,,1
최정,6,96,5,96,,1
장영석,22,12,21,12,,1
최주환,114,102,113,102,,1
김주찬,115,105,114,105,,1
민병헌,116,120,115,120,,1
손아섭,117,119,116,119,,1
오재원,118,116,117,116,,1
전준우,8,72,6,71,,2
이정후,9,59,7,59,,2
김하성,10,58,8,57,,2
오재일,12,52,10,51,,2
박민우,52,84,50,83,,2
임병욱,78,51,76,50,,2
정수빈,79,68,77,68,,2
김상수,80,69,78,69,,2
최원준,81,62,79,62,,2
모창민,82,81,80,81,,2
이명기,83,70,81,70,,2
최항,84,63,82,63,,2
정진호,86,67,84,67,,2
류지혁,87,61,85,61,,2
권희동,89,64,87,64,,2
김민식,90,82,88,82,,2
서건창,91,91,89,89,,2
신본기,96,71,94,74,,2
이대호,111,121,109,121,,2
나주환,112,104,110,104,,2
김태균,113,113,111,113,,2
유민상,23,11,20,11,,3
이원석,34,57,31,56,,3
나종덕,45,27,42,41,,3
김혜성,51,25,48,26,,3
박석민,66,95,63,95,,3
김재환,71,98,68,98,,3
김용의,72,53,69,52,,3
양성우,73,65,70,65,,3
강경학,74,54,71,53,,3
한동민,77,78,74,78,,3
최형우,93,109,90,109,,3
지석훈,94,75,91,75,,3
송광민,98,80,95,80,,3
김현수,99,111,96,111,,3
최진행,100,77,97,77,,3
김동엽,101,85,98,84,,3
채태인,102,79,99,79,,3
이지영,103,83,100,85,,3
김강민,104,99,101,99,,3
이천웅,15,44,11,42,,4
고종욱,17,35,13,32,,4
노진혁,20,24,16,24,,4
이원재,37,21,33,21,,4
황윤호,38,15,34,15,,4
조용호,39,17,35,17,,4
장진혁,40,18,36,18,,4
이형종,41,48,37,47,,4
김민하,42,19,38,19,,4
이우성,43,20,39,20,,4
전민수,44,23,40,23,,4
김준태,47,38,43,34,,4
이상호,68,46,64,45,,4
정훈,69,47,65,46,,4
김문호,70,50,66,49,,4
김헌곤,76,60,72,60,,4
노수광,97,76,93,76,,4
김민성,106,100,102,100,,4
박해민,107,89,103,88,,4
윤석민,109,97,105,97,,4
정은원,24,8,19,8,,5
김찬형,46,22,41,22,,5
구자욱,49,66,44,66,,5
한동희,50,34,45,31,,5
박건우,62,86,57,86,,5
김성욱,63,55,58,54,,5
정의윤,64,73,59,72,,5
유한준,65,94,60,93,,5
정주현,67,42,62,40,,5
김태진,29,5,23,5,,6
강로한,30,6,24,6,,6
강진성,35,9,29,9,,6
김규민,57,33,51,30,,6
채은성,58,74,52,73,,6
한승택,59,32,53,38,,6
김회성,60,39,54,37,,6
박승욱,61,43,55,39,,6
허일,32,10,25,10,,7
오윤석,33,16,26,16,,7
최영진,53,26,46,25,,7
오태곤,54,28,47,27,,7
지성준,56,31,49,29,,7
김형준,36,13,28,13,,8
박계범,26,4,17,4,,9
이학주,27,3,18,1,,9
김도환,25,7,14,7,,11
이창진,28,2,15,3,중견수,13
강백호,16,36,1,33,우익수,15
