DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
박석민,11,34,90,34,3루수,-79
이원석,29,70,101,69,3루수,-72
한동민,33,59,99,58,우익수,-66
박계범,37,116,103,116,유격수,-66
노진혁,50,100,116,100,유격수,-66
장영석,26,114,87,114,3루수,-61
정의윤,47,68,108,68,좌익수,-61
유민상,58,107,119,107,1루수,-61
김혜성,8,44,62,44,2루수,-54
강로한,32,118,84,118,3루수,-52
유강남,60,78,109,78,포수,-49
강진성,2,101,49,102,좌익수,-47
이학주,63,120,105,120,유격수,-42
박경수,40,54,81,53,2루수,-41
황윤호,5,84,43,82,2루수,-38
류지혁,1,20,36,22,유격수,-35
이우성,44,108,78,108,좌익수,-34
송광민,42,66,74,66,3루수,-32
지석훈,12,33,41,31,2루수,-29
김하성,91,79,118,87,유격수,-27
최정,57,31,79,32,3루수,-22
한동희,6,77,27,77,3루수,-21
최원준,7,73,28,72,3루수,-21
장성우,65,97,86,96,,-21
고종욱,77,90,96,92,,-19
박병호,38,21,56,20,,-18
이창진,95,121,113,121,,-18
김성현,10,37,26,35,,-16
강백호,107,106,121,106,,-14
나종덕,3,91,14,89,포수,-11
박민우,59,32,70,33,,-11
권희동,86,89,97,90,,-11
김도환,4,86,13,85,포수,-9
최형우,51,24,57,23,,-6
이정후,108,69,112,71,,-4
양성우,9,41,12,40,,-3
김민혁,45,63,48,64,,-3
정은원,97,117,100,117,,-3
박건우,111,60,114,62,,-3
최항,27,17,29,17,,-2
강민호,14,14,15,12,,-1
강경학,16,11,17,14,,-1
신본기,36,58,37,57,,-1
김문호,0,0,0,0,우익수,0
박동원,120,110,120,110,,0
오윤석,31,74,30,75,,1
조용호,72,50,71,61,,1
안치홍,73,35,72,39,,1
최영진,89,103,88,103,,1
최주환,54,26,52,26,,2
이성열,112,72,110,70,,2
모창민,113,65,111,65,,2
이원재,109,115,106,115,,3
이형종,118,94,115,94,,3
정진호,15,12,11,11,,4
오재일,121,83,117,81,,4
정근우,28,19,23,19,,5
허경민,68,42,63,43,,5
김민하,71,102,66,101,,5
김태진,99,119,94,119,,5
서건창,70,38,64,41,,6
김선빈,75,48,69,48,,6
박찬호,66,112,59,112,,7
김찬형,74,93,67,93,,7
심우준,84,95,77,95,,7
정수빈,17,9,9,9,,8
이상호,43,23,35,25,,8
임병욱,46,28,38,28,,8
황재균,62,25,54,24,,8
김민성,83,53,75,51,,8
김상수,90,62,82,60,,8
박세혁,103,96,95,97,,8
최재훈,102,82,93,84,,9
채은성,116,75,107,74,,9
이대호,18,8,8,8,,10
노시환,30,109,20,109,,10
김형준,35,87,25,86,,10
김동엽,55,57,45,55,,10
허일,56,111,46,111,,10
오지환,93,55,83,54,,10
양의지,21,6,10,10,,11
김재호,53,27,42,27,,11
전준우,115,61,104,59,,11
김민식,13,1,1,1,,12
윤석민,19,7,7,7,,12
유한준,104,51,92,52,,12
장진혁,78,113,65,113,,13
오재원,20,10,6,6,,14
이천웅,100,71,85,73,,15
구자욱,117,76,102,76,,15
민병헌,34,13,18,13,,16
김회성,48,67,32,67,,16
채태인,67,43,51,42,,16
김헌곤,114,81,98,80,,16
박용택,22,5,5,5,,17
오태곤,106,104,89,104,,17
손아섭,39,15,21,15,,18
최진행,49,39,31,36,,18
김용의,52,29,34,30,,18
나지완,23,4,4,4,,19
김성욱,110,88,91,88,,19
나성범,24,3,3,3,우익수,21
오선진,79,99,58,99,유격수,21
김준태,25,2,2,2,포수,23
이명기,92,56,68,56,우익수,24
지성준,41,64,16,63,포수,25
김규민,101,105,76,105,좌익수,25
정주현,76,92,47,91,2루수,29
김주찬,82,36,53,38,1루수,29
김강민,105,52,73,50,중견수,32
정훈,88,80,55,79,1루수,33
박승욱,94,85,61,83,1루수,33
김태균,69,18,33,18,1루수,36
한승택,96,98,60,98,포수,36
전민수,61,40,22,37,우익수,39
김재환,119,46,80,46,좌익수,39
노수광,85,45,44,45,좌익수,41
김현수,81,22,39,21,좌익수,42
이재원,64,16,19,16,포수,45
이지영,87,49,40,49,포수,47
박해민,98,47,50,47,중견수,48
나주환,80,30,24,29,2루수,56
