DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
정의윤,17,2,108,68,좌익수,-91
오재일,31,21,117,81,1루수,-86
장영석,32,88,87,114,3루수,-55
황재균,1,13,54,24,3루수,-53
이형종,70,51,115,94,좌익수,-45
최형우,13,6,57,23,좌익수,-44
최정,35,22,79,32,3루수,-44
김성욱,48,31,91,88,중견수,-43
이우성,37,100,78,108,좌익수,-41
오지환,43,36,83,54,유격수,-40
이학주,66,118,105,120,유격수,-39
오선진,28,81,58,99,유격수,-30
장성우,57,92,86,96,포수,-29
최진행,6,40,31,36,,-25
최재훈,74,64,93,84,,-19
정은원,82,115,100,117,,-18
김형준,8,30,25,86,,-17
나주환,7,32,24,29,,-17
채은성,90,70,107,74,,-17
한동민,83,62,99,58,,-16
김하성,102,76,118,87,,-16
이정후,97,66,112,71,,-15
한승택,45,91,60,98,,-15
허일,33,90,46,111,,-13
김현수,27,18,39,21,,-12
지성준,4,58,16,63,,-12
나종덕,2,98,14,89,,-12
김성현,15,4,26,35,,-11
김동엽,34,53,45,55,,-11
구자욱,91,75,102,76,,-11
조용호,61,52,71,61,,-10
유강남,99,86,109,78,,-10
김도환,3,89,13,85,,-10
이원재,96,116,106,115,,-10
이창진,103,120,113,121,,-10
임병욱,29,29,38,28,,-9
김재환,71,44,80,46,,-9
채태인,42,45,51,42,,-9
이원석,92,72,101,69,,-9
정훈,47,74,55,79,,-8
최영진,80,102,88,103,,-8
양성우,5,48,12,40,,-7
강경학,11,14,17,14,,-6
박찬호,54,104,59,112,,-5
이천웅,81,67,85,73,,-4
박병호,53,24,56,20,,-3
정진호,9,17,11,11,,-2
한동희,25,79,27,77,,-2
김찬형,65,97,67,93,,-2
유민상,117,111,119,107,,-2
김강민,72,54,73,50,,-1
정주현,46,77,47,91,,-1
김문호,0,0,0,0,,0
강백호,121,110,121,106,,0
박동원,120,113,120,110,,0
전준우,105,65,104,59,,1
양의지,12,15,10,10,,2
서건창,67,39,64,41,,3
노진혁,119,105,116,100,,3
박건우,118,73,114,62,,4
이재원,24,16,19,16,,5
모창민,116,80,111,65,,5
이성열,115,85,110,70,,5
최주환,58,35,52,26,,6
박민우,78,38,70,33,,8
김선빈,77,49,69,48,,8
박용택,14,5,5,5,,9
김민식,10,7,1,1,,9
이상호,44,34,35,25,,9
김재호,52,26,42,27,,10
지석훈,51,42,41,31,,10
고종욱,106,93,96,92,,10
강민호,26,19,15,12,,11
김주찬,64,37,53,38,,11
박계범,114,117,103,116,,11
민병헌,30,20,18,13,,12
최원준,40,78,28,72,,12
김규민,88,106,76,105,,12
정근우,36,27,23,19,,13
김준태,16,3,2,2,,14
나지완,18,8,4,4,,14
오재원,20,9,6,6,,14
윤석민,21,10,7,7,,14
이대호,22,11,8,8,,14
정수빈,23,12,9,9,,14
류지혁,50,33,36,22,,14
김헌곤,113,94,98,80,,15
권희동,112,99,97,90,,15
나성범,19,1,3,3,,16
허경민,79,50,63,43,,16
박세혁,111,103,95,97,,16
김태진,110,121,94,119,,16
유한준,109,61,92,52,,17
손아섭,39,23,21,15,,18
박석민,108,43,90,34,,18
오태곤,107,109,89,104,,18
노시환,38,112,20,109,,18
전민수,41,46,22,37,,19
박경수,100,63,81,53,,19
김상수,101,71,82,60,,19
최항,49,25,29,17,,20
김민성,95,60,75,51,,20
송광민,94,83,74,66,,20
강로한,104,119,84,118,,20
안치홍,93,47,72,39,,21
이명기,89,68,68,56,,21
심우준,98,101,77,95,,21
김민하,87,107,66,101,,21
장진혁,86,114,65,113,,21
김혜성,85,55,62,44,2루수,23
이지영,63,59,40,49,,23
김회성,55,84,32,67,,23
박승욱,84,96,61,83,,23
노수광,69,56,44,45,좌익수,25
신본기,62,69,37,57,유격수,25
김민혁,73,82,48,64,좌익수,25
황윤호,68,95,43,82,2루수,25
김태균,59,28,33,18,1루수,26
김용의,60,41,34,30,1루수,26
박해민,76,57,50,47,중견수,26
오윤석,56,87,30,75,1루수,26
강진성,75,108,49,102,좌익수,26
