구분,투입,산출,산출,산출,효율성,효율성,효율성,효율성,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,투입과다분,투영점,준거 및 참조,준거 및 참조
DMU,X1,Y1,Y2,Y3,CRS,VRS,SE,규모수익,λ1,λ2,λ3,λ4,λ5,λ6,λ7,λ8,λ9,λ10,λ11,λ12,λ13,λ14,λ15,λ16,λ17,λ18,λ19,λ20,λ21,λ22,λ23,λ24,λ25,λ26,λ27,λ28,λ29,λ30,λ31,λ32,λ33,λ34,λ35,λ36,λ37,λ38,λ39,λ40,λ41,λ42,λ43,λ44,λ45,λ46,λ47,λ48,λ49,Sm1,Sp1,Sp2,Sp3,X1,X1,준거집단,참조횟수
이창진,3100,48,57,108,1,1,1,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3100,49,13
김민혁,3900,32,68,131,0.9642,1,0.9642,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3900,48,7
박찬호,4200,49,60,131,0.8953,1,0.8953,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4200,46,4
정은원,5500,57,83,148,0.8207,1,0.8207,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5500,45,36
이정후,23000,68,91,193,0.2409,1,0.2409,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,24,6
오재일,30000,102,76,137,0.2196,1,0.2196,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,20,20
김하성,32000,104,112,166,0.2099,1,0.2099,DRS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,13,12
이천웅,15000,48,88,168,0.3215,0.958,0.3356,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522,0,0,0,0,0,16.2739,0,0,631,14369,"13,24,45",0
고종욱,11000,56,76,159,0.4149,0.8889,0.4668,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7556,0,0,0,0,0,3.6889,8.9556,0,1223,9777,"24,45",0
