순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,유강남,LG,포수,126,109,952,7,0,783,53,9,0.992,6,78,26,25
1,최재훈,한화,포수,126,95,830 2/3,5,0,747,48,14,0.994,7,52,25,32.5
3,장성우,KT,포수,122,107,894 2/3,9,0,744,50,5,0.989,17,64,21,24.7
4,김민식,KIA,포수,121,100,844,4,1,708,51,6,0.995,6,71,19,21.1
5,이재원,SK,포수,119,109,846 2/3,11,2,774,48,6,0.987,5,72,18,20
6,양의지,두산,포수,118,108,861 2/3,3,0,703,52,8,0.996,5,46,28,37.8
7,김재현,넥센,포수,116,69,625,4,0,525,26,5,0.993,5,34,12,26.1
8,강민호,삼성,포수,109,106,857 2/3,8,1,753,35,7,0.99,4,63,20,24.1
9,나종덕,롯데,포수,105,62,548 1/3,4,0,537,30,7,0.993,7,40,19,32.2
10,정범모,NC,포수,103,78,619 2/3,4,0,526,40,4,0.993,6,39,19,32.8
11,이성우,SK,포수,88,31,360 2/3,0,0,315,18,6,1,1,19,9,32.1
12,지성준,한화,포수,84,48,433,3,0,400,31,6,0.993,4,31,8,20.5
13,주효상,넥센,포수,78,43,366 2/3,2,0,290,26,6,0.994,1,27,15,35.7
14,박세혁,두산,포수,73,32,366 2/3,2,1,283,23,3,0.994,2,15,7,31.8
14,이지영,삼성,포수,73,36,389 1/3,4,0,366,21,5,0.99,3,32,8,20
16,이해창,KT,포수,72,36,353 2/3,2,1,277,31,4,0.994,3,33,11,25
17,정상호,LG,포수,65,35,313 2/3,1,0,295,16,3,0.997,4,22,7,24.1
18,안중열,롯데,포수,60,55,446 2/3,5,0,373,25,1,0.988,2,27,9,25
18,김형준,NC,포수,60,25,254 2/3,5,1,215,17,3,0.979,6,17,8,32
20,한승택,KIA,포수,59,29,254 2/3,1,2,235,27,1,0.996,2,11,11,50
21,김사훈,롯데,포수,55,24,233 2/3,2,0,234,12,5,0.992,4,29,5,14.7
22,윤수강,NC,포수,44,27,214 1/3,2,0,172,14,2,0.989,5,16,7,30.4
23,박동원,넥센,포수,39,32,285 1/3,2,0,228,18,5,0.992,1,9,10,52.6
24,백용환,KIA,포수,28,12,119 1/3,2,0,85,8,2,0.979,2,9,4,30.8
25,박광열,NC,포수,23,6,88 1/3,1,0,69,6,0,0.987,0,6,3,33.3
25,허도환,SK,포수,23,4,67 1/3,0,0,66,4,2,1,0,4,1,20
27,신진호,NC,포수,20,8,73,2,0,56,2,0,0.967,2,7,0,0
28,나원탁,롯데,포수,18,3,55,2,0,53,3,0,0.966,1,5,1,16.7
29,신범수,KIA,포수,17,3,52 2/3,0,0,46,4,1,1,1,4,1,20
29,장승현,두산,포수,17,3,42 1/3,0,0,40,3,0,1,0,5,2,28.6
1,오지환,LG,유격수,143,142,1198 2/3,24,0,211,409,74,0.963,0,0,0,-
2,하주석,한화,유격수,141,132,1142 2/3,18,0,194,348,80,0.968,0,0,0,-
3,허경민,두산,3루수,132,121,1046,7,0,87,226,29,0.978,0,0,0,-
3,번즈,롯데,2루수,132,127,1073,22,0,260,360,81,0.966,0,0,0,-
3,로맥,SK,1루수,132,124,1078 2/3,8,0,1026,68,90,0.993,0,0,0,-
6,김재호,두산,유격수,129,114,939,12,0,154,285,66,0.973,0,0,0,-
7,박경수,KT,2루수,127,122,1016,14,0,283,381,111,0.979,0,0,0,-
8,김선빈,KIA,유격수,126,115,962,12,0,163,293,62,0.974,0,0,0,-
8,김하성,넥센,유격수,126,124,1071 2/3,13,0,206,396,69,0.979,0,0,0,-
10,황재균,KT,3루수,125,123,1040 1/3,17,0,68,221,32,0.944,0,0,0,-
11,오재원,두산,2루수,122,116,966,16,0,236,305,81,0.971,0,0,0,-
12,김상수,삼성,유격수,120,120,989,16,0,164,288,68,0.966,0,0,0,-
12,윤석민,KT,1루수,120,115,954 1/3,7,0,881,54,108,0.993,0,0,0,-
14,이원석,삼성,3루수,119,117,965 2/3,9,0,87,173,13,0.967,0,0,0,-
15,오재일,두산,1루수,115,107,939 2/3,4,0,878,53,92,0.996,0,0,0,-
15,스크럭스,NC,1루수,115,113,962 1/3,11,0,848,55,94,0.988,0,0,0,-
17,심우준,KT,유격수,114,92,793,13,0,174,270,72,0.972,0,0,0,-
18,양석환,LG,3루수,113,109,882,11,0,72,171,15,0.957,0,0,0,-
18,러프,삼성,1루수,113,111,953 1/3,6,0,847,65,88,0.993,0,0,0,-
20,김혜성,넥센,2루수,111,94,818 2/3,12,0,192,312,72,0.977,0,0,0,-
21,안치홍,KIA,2루수,110,105,867 2/3,8,0,204,276,68,0.984,0,0,0,-
21,문규현,롯데,유격수,110,83,726 1/3,13,0,105,237,46,0.963,0,0,0,-
23,최정,SK,3루수,109,104,901 2/3,11,0,64,184,17,0.958,0,0,0,-
23,김민성,넥센,3루수,109,104,895 2/3,7,0,69,163,27,0.971,0,0,0,-
25,박민우,NC,2루수,106,102,827 2/3,8,0,242,257,73,0.984,0,0,0,-
26,이범호,KIA,3루수,101,92,728,4,0,51,142,12,0.98,0,0,0,-
26,박병호,넥센,1루수,101,101,841 2/3,11,0,821,57,77,0.988,0,0,0,-
28,김주찬,KIA,1루수,100,95,771,3,0,741,31,76,0.996,0,0,0,-
29,채태인,롯데,1루수,99,78,696 1/3,4,0,630,52,62,0.994,0,0,0,-
29,정주현,LG,2루수,99,95,765 1/3,15,0,167,250,46,0.965,0,0,0,-
31,김성현,SK,2루수,94,72,666 2/3,8,0,143,208,54,0.978,0,0,0,-
31,송광민,한화,3루수,94,89,738 1/3,10,0,48,149,18,0.952,0,0,0,-
33,김용의,LG,1루수,89,36,435 1/3,1,0,397,34,30,0.998,0,0,0,-
34,신본기,롯데,유격수,83,59,522 2/3,11,0,81,166,36,0.957,0,0,0,-
35,한동희,롯데,3루수,80,57,505,12,0,36,91,11,0.914,0,0,0,-
35,나주환,SK,유격수,80,70,590 2/3,11,0,93,192,41,0.963,0,0,0,-
37,손주인,삼성,2루수,76,67,512 1/3,5,0,105,175,35,0.982,0,0,0,-
38,강한울,삼성,2루수,75,52,495 2/3,4,0,109,154,42,0.985,0,0,0,-
39,류지혁,두산,유격수,74,29,336,4,0,71,109,30,0.978,0,0,0,-
40,신본기,롯데,3루수,73,52,434,8,0,31,79,12,0.932,0,0,0,-
40,박기혁,KT,유격수,73,38,361,3,0,56,124,31,0.984,0,0,0,-
42,노진혁,NC,유격수,71,48,437 2/3,6,0,65,142,27,0.972,0,0,0,-
43,노진혁,NC,3루수,70,57,467,9,0,34,111,12,0.942,0,0,0,-
44,김현수,LG,1루수,68,60,452 1/3,5,0,396,38,39,0.989,0,0,0,-
44,정은원,한화,2루수,68,41,402 2/3,3,0,78,124,33,0.985,0,0,0,-
46,손시헌,NC,유격수,66,49,391 1/3,3,0,83,125,30,0.986,0,0,0,-
47,강경학,한화,2루수,63,54,468 2/3,1,0,109,149,38,0.996,0,0,0,-
48,강승호,SK,2루수,59,50,424 1/3,9,0,119,149,46,0.968,0,0,0,-
