선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강경학,한화,2루수,13,4,51,1,0,20,14,6,0.971 ,0,0,0,-
강경학,한화,1루수,18,5,69,0,0,70,3,7,1.000 ,0,0,0,-
강경학,한화,유격수,27,17,153,3,0,31,51,18,0.965 ,0,0,0,-
강로한,롯데,3루수,27,23,183.33,3,0,18,39,1,0.950 ,0,0,0,-
강로한,롯데,유격수,52,28,261.67,12,0,45,78,25,0.911 ,0,0,0,-
강로한,롯데,2루수,38,33,264.67,5,0,60,118,25,0.973 ,0,0,0,-
강민국,KT,3루수,13,1,31.67,1,0,6,5,0,0.917 ,0,0,0,-
강민국,KT,2루수,11,4,38,3,0,7,12,1,0.864 ,0,0,0,-
강민국,KT,유격수,31,21,176,5,0,38,64,9,0.953 ,0,0,0,-
강민호,삼성,포수,109,104,842,8,1,660,48,7,0.989 ,3,63,23,26.7
강백호,KT,포수,1,0,1.33,0,0,1,0,0,1.000 ,0,0,0,-
강백호,KT,1루수,1,0,3,0,0,1,1,0,1.000 ,0,0,0,-
강백호,KT,좌익수,1,0,4,0,0,0,0,0,-,0,0,0,-
강백호,KT,중견수,4,4,29,0,0,7,0,0,1.000 ,0,0,0,-
강백호,KT,우익수,72,72,585.33,3,0,131,5,1,0.978 ,0,0,0,-
강승호,SK,3루수,2,0,2,0,0,0,0,0,-,0,0,0,-
강승호,SK,유격수,6,3,29,1,0,5,8,2,0.929 ,0,0,0,-
강승호,SK,2루수,9,6,63,0,0,13,19,4,1.000 ,0,0,0,-
강진성,NC,우익수,10,2,23.67,1,0,8,0,0,0.889 ,0,0,0,-
강진성,NC,좌익수,21,14,112,0,0,18,0,0,1.000 ,0,0,0,-
고명성,KT,3루수,3,0,8,1,0,0,0,0,0.000 ,0,0,0,-
고명성,KT,2루수,9,0,15.33,0,0,2,8,1,1.000 ,0,0,0,-
고명성,KT,유격수,13,1,35.67,1,0,3,18,4,0.955 ,0,0,0,-
고승민,롯데,2루수,29,19,185,2,0,49,65,18,0.983 ,0,0,0,-
고장혁,KIA,1루수,3,2,17,0,0,15,4,0,1.000 ,0,0,0,-
고장혁,KIA,3루수,16,9,77.33,4,0,1,9,0,0.714 ,0,0,0,-
고종욱,SK,좌익수,67,65,524.67,3,0,113,0,0,0.974 ,0,0,0,-
공민규,삼성,1루수,17,14,119,2,0,86,8,6,0.979 ,0,0,0,-
구본혁,LG,2루수,7,0,14.33,0,0,4,5,1,1.000 ,0,0,0,-
구본혁,LG,유격수,25,9,111,1,0,13,47,6,0.984 ,0,0,0,-
구본혁,LG,3루수,32,16,148,0,0,7,26,3,1.000 ,0,0,0,-
구자욱,삼성,우익수,104,103,870.33,2,0,218,8,1,0.991 ,0,0,0,-
국해성,두산,1루수,1,0,1,0,0,1,0,0,1.000 ,0,0,0,-
국해성,두산,좌익수,2,2,13,0,0,5,0,0,1.000 ,0,0,0,-
국해성,두산,우익수,12,8,66,2,0,13,0,0,0.867 ,0,0,0,-
권희동,NC,중견수,3,2,11,0,0,3,0,0,1.000 ,0,0,0,-
권희동,NC,좌익수,44,27,276.33,1,0,52,2,2,0.982 ,0,0,0,-
권희동,NC,우익수,65,57,498,3,0,101,1,0,0.971 ,0,0,0,-
김강민,SK,중견수,123,100,947.33,3,0,264,9,2,0.989 ,0,0,0,-
김경호,두산,우익수,7,0,13.33,0,0,5,0,0,1.000 ,0,0,0,-
김경호,두산,중견수,7,3,23.67,0,0,6,0,0,1.000 ,0,0,0,-
김경호,두산,좌익수,15,1,37,0,0,6,0,0,1.000 ,0,0,0,-
김규민,키움,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
김규민,키움,중견수,2,1,9,0,0,2,0,0,1.000 ,0,0,0,-
김규민,키움,좌익수,82,52,509,1,0,116,5,1,0.992 ,0,0,0,-
김대한,두산,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
김대한,두산,우익수,2,0,3,0,0,2,0,0,1.000 ,0,0,0,-
김대한,두산,중견수,12,4,47,1,0,19,1,0,0.952 ,0,0,0,-
김도환,삼성,포수,61,30,299.67,1,0,202,16,2,0.995 ,2,21,4,16
