Unnamed: 0,March_score,kWAR_score,AHP_score,P1,P2,P3,½Â·ü,19¿¬ºÀ,µæÁ¡,½ÇÁ¡,WHIP,ERA,½ÇÃ¥,FPCT,µµ·çÇã¿ë,µµ·çÇã¿ë·ü,OBP,SLG,OPS,SB
µÎ»ê,44150.924,4790.142,1259.341,362.5904607,1237.774294,-188.6305015,0.615,443000,736,550,1.28,500,83,0.985,96,25.0,0.34840532902704885,0.378159054022722,0.7265643830497708,101
KT,43859.358,4754.125,1250.903,336.9596317,1154.680794,-180.5854784,0.5,329800,650,661,1.4,608,102,0.981,90,32.3,0.33995088006549323,0.37031963470319634,0.7102705147686896,99
Å°¿ò,43776.818,4743.975,1248.977,362.0615831,1239.546146,-192.2414488,0.601,325600,780,572,1.3,513,99,0.982,92,33.3,0.3542475204829668,0.4051431344007763,0.7593906548837431,107
KIA,41878.145,4562.4,1211.747,299.0080434,1022.251597,-157.1623283,0.437,431400,605,723,1.48,653,110,0.979,116,30.1,0.3352678571428571,0.3669010547463586,0.7021689118892157,79
NC,45377.503,4893.407,1279.389,402.543461,1375.22605,-210.5477491,0.514,548400,674,631,1.38,572,95,0.982,64,43.4,0.3522440256460074,0.41441048034934497,0.7666545059953523,86
LG,44233.028,4798.749,1261.255,337.6832412,1156.795911,-180.7056016,0.552,477400,641,633,1.37,551,95,0.983,115,26.3,0.33642597821702297,0.3751689950428121,0.711594973259835,105
»ï¼º,43192.153,4660.533,1211.372,311.800548,1075.971257,-176.780665,0.42,356400,622,731,1.45,658,105,0.98,90,29.7,0.3215509854327335,0.37491022264783336,0.6964612080805669,114
ÇÑÈ­,43364.236,4698.88,1238.058,288.4998717,988.9264451,-155.7732162,0.403,360900,607,737,1.52,677,106,0.98,104,32.0,0.32288856609255034,0.3544508670520231,0.6773394331445735,81
·Ôµ¥,44110.239,4790.569,1271.978,280.2433997,958.0687164,-147.881565,0.34,684300,578,764,1.54,682,114,0.979,91,32.6,0.31877823187782317,0.36013320647002856,0.6789114383478517,57
SK,43729.497,4743.813,1252.413,315.9849056,1084.357264,-171.0405735,0.615,516800,655,546,1.3,500,87,0.984,105,22.8,0.33398821218074654,0.3756394640682095,0.7096276762489561,90
