선수명,IP,E,D_score
김성현,1143.66,26,7637.361
오지환,1101,12,7560.567
정은원,1192.66,13,7027.153
심우준,1039.99,11,7009.965
김재호,993.33,10,6814.244
오선진,981.66,12,6659.554
김하성,1086.33,20,6602.337
신본기,942.66,15,6323.182
이학주,938.33,19,6278.323
김선빈,912.66,10,6169.53
김상수,993,10,5856.714
박경수,983.66,9,5807.529
정주현,972,13,5686.2
박찬호,1140.99,16,5649.934
김혜성,890.33,15,5529.874
박민우,928.33,9,5475.29
노진혁,800,5,4624.252
최정,1154.33,14,4409.072
안치홍,805.33,11,4405.453
허경민,1083,8,4211.04
황재균,1026.66,11,4123.544
강로한,709.65,20,3910.345
류지혁,684.99,11,3824.331
송광민,974,16,3697.304
김민성,841.66,6,3282.474
송성문,658.99,7,3057.274
최주환,522,3,2961.348
서건창,481,6,2822.508
오재원,483.99,7,2821.405
나주환,528,1,2774.424
이원석,722,13,2682.952
김찬형,372.33,3,2494.48
로맥,1180.33,4,2475.92
박계범,415.32,9,2390.854
장영석,732.33,10,2388.04
손시헌,344.33,4,2362.104
아수아헤,385.66,3,2281.565
박승욱,551.99,5,2149.554
오재일,1044,4,2079.648
이상호,501.99,5,1985.553
지석훈,396.99,5,1954.009
윌슨,534.66,4,1900.54
최영진,611.66,8,1842.17
박병호,906.66,6,1802.44
박석민,475.33,11,1743.51
안상현,292.99,6,1740.112
최항,313,3,1712.4
오윤석,482.66,5,1674.967
러프,780.33,5,1549.735
황윤호,297.66,6,1534.59
강민국,245.66,9,1487.217
오태곤,737.99,9,1473.113
강경학,273,4,1468.641
구본혁,273.33,1,1442.548
노시환,428.66,7,1419.554
한동희,400.99,9,1394.205
윤진호,250.33,2,1319.535
최원준,340.66,6,1240.328
고승민,185,2,1091.13
김성훈,190.66,3,1086.487
모창민,545,5,1080.19
김주찬,538.66,6,1065.469
김용의,505,5,1048.38
김태진,214,1,1024.872
김동한,177.33,2,953
류승현,299.66,1,933.064
윤석민,308.66,5,820.393
신민재,136,0,810
김창평,126,0,760
김회성,272.32,2,731.93
이원재,369,4,729.882
조셉,357,4,706.86
정현,111.66,0,704.3
김지수,141.33,2,694
채태인,342.33,1,682.606
문규현,153,3,658.486
배성근,112.99,3,566.73
강승호,94,1,566.587
유민상,285,3,564.3
정훈,240.66,2,481.411
김호재,79,0,467
정병곤,77.66,1,461.583
최준우,78,0,456
김태균,223.33,1,444.427
이성규,82,3,432.608
김현수,209.33,1,416.985
정근우,206.66,4,405.467
양종민,119.66,4,404.827
백승현,77,1,402.4
오정환,75.99,1,374.057
페게로,189,6,365.904
김민수,89,1,340.692
손주인,88.66,4,333.37
고명성,58.99,2,330.367
이성열,159,2,314.184
전병우,100.66,2,312.476
신용수,53.33,4,296.76
이대호,147.66,1,293.548
홍재호,49,1,290.92
최경모,47,2,284.408
샌즈,140,1,278.32
베탄코트,140,3,273.56
이창진,54,1,270
변우혁,135,1,264.138
고장혁,94.33,4,254.854
하주석,38,2,242.858
박지규,45,1,236.98
공민규,119,2,233.002
페르난데스,117,3,227.682
문상철,105.33,4,203.287
박한결,29,0,203
김인환,97,1,191.866
최윤석,32,2,185.969
최정용,36,1,182.726
신성현,77.66,2,180.52
김영환,28,0,176
이유찬,33.66,1,171.394
김은성,23,1,111.414
백승민,53,1,104.304
황대인,48,0,100
김웅빈,20,0,94
임지열,30,2,91.63
문선재,45,2,84.96
박정권,42.33,0,84.66
류형우,29,0,80
김진형,39,0,78
김재율,19,0,76
김재현,13,0,69
김병희,17,0,68
서예일,15.33,0,62
안치영,13,0,60
최승준,26,0,52
김태연,15.33,1,45.66
이범호,15,0,40
황진수,10.33,0,37.32
이창열,15,0,36
박해민,15.33,0,30.66
허일,15.33,0,30.66
남태혁,13,0,26
유영준,10,0,24
김주형,6,0,18
박민석,3,0,14
유재신,7,0,14
서상우,6,0,12
오선우,5,0,10
강백호,3,0,6
로하스,3,0,6
이형종,3,0,6
김민하,2,0,4
전민재,1,0,4
국해성,1,0,2
정진기,1,0,2
김철호,1,0,0
윤해진,3,0,0
최정민,3,0,0
