선수명,IP,E,March_score,kWAR_score
강경학,273.0,4.0,1468.641,147.829
강로한,709.6700000000001,20.0,3910.467,449.71700000000004
강민국,245.67000000000002,9.0,1487.254,171.30599999999998
강민호,842.0,8.0,6661.904,832.738
강백호,622.6600000000001,3.0,1549.2720000000002,127.42099999999999
강승호,94.0,1.0,566.587,59.352999999999994
강진성,135.67000000000002,1.0,276.60699999999997,26.608999999999998
고명성,59.0,2.0,330.434,36.45
고승민,185.0,2.0,1091.13,109.113
고장혁,94.33,4.0,254.854,33.128
고종욱,524.67,3.0,1022.057,102.206
공민규,119.0,2.0,233.002,0.0
구본혁,273.33,1.0,1442.548,184.777
구자욱,870.33,2.0,2156.243,172.499
국해성,80.0,2.0,171.055,14.044
권희동,785.3299999999999,4.0,1790.107,155.383
김강민,947.33,3.0,3279.183,374.764
김경호,74.0,0.0,190.17000000000002,19.534
김규민,520.0,1.0,1041.356,104.586
김대한,52.0,1.0,164.104,18.498
김도환,299.67,1.0,2385.373,298.172
김동엽,130.33,1.0,252.319,25.232
김동한,177.32999999999998,2.0,953.0,105.36600000000001
김문호,185.66,1.0,531.097,55.010999999999996
김민성,841.67,6.0,3282.513,492.377
김민수,193.32999999999998,1.0,1175.3319999999999,155.434
김민식,260.0,3.0,2050.88,256.36
김민하,346.0,2.0,766.55,76.572
김민혁,903.0,4.0,2060.053,215.58900000000003
김병희,17.0,0.0,68.0,10.2
김사훈,6.0,0.0,48.0,6.0
김상수,993.0,10.0,5856.714,585.671
김선빈,912.67,10.0,6169.599,698.688
김성욱,775.0,2.0,2638.116,297.528
김성현,1143.67,26.0,7637.428,872.849
김성훈,192.66,3.0,1086.487,120.044
김영환,28.0,0.0,176.0,18.4
김용의,507.0,5.0,1048.38,14.4
김웅빈,20.0,0.0,94.0,12.0
김은성,23.0,1.0,111.414,12.341
김응민,29.33,0.0,234.64,29.33
김인태,160.0,0.0,355.0,32.0
김인환,97.0,1.0,191.866,0.0
김재성,17.0,0.0,136.0,17.0
김재율,19.0,0.0,76.0,11.4
김재현,154.67000000000002,0.0,466.175,46.733999999999995
김재호,993.33,10.0,6814.244,778.771
김재환,1010.0,0.0,2020.0,202.0
김종민,50.67,0.0,405.36,50.67
김주찬,604.3399999999999,6.0,1196.829,13.134
김주형,6.0,0.0,18.0,1.8
김준완,38.33,0.0,65.0,5.2
김준태,236.0,2.0,1871.008,233.876
김지수,141.32999999999998,2.0,694.0,82.916
김진곤,50.33,0.0,121.16,13.065999999999999
김진형,39.0,0.0,78.0,0.0
김찬형,372.33,3.0,2494.48,286.502
김창평,126.0,0.0,760.0,76.4
김창혁,6.0,0.0,48.0,6.0
김철호,1.0,0.0,0.0,0.0
김태군,71.33,0.0,570.64,71.33
김태균,223.33,1.0,444.427,0.0
김태근,6.0,0.0,0.0,0.0
김태연,15.33,1.0,45.66,5.55
김태진,720.0,3.0,2302.392,262.562
김하성,1086.33,20.0,6602.3369999999995,785.83
김헌곤,970.0,0.0,2023.5,204.60000000000002
김현수,1041.33,1.0,2080.985,166.4
김형준,286.67,1.0,2284.187,285.523
김혜성,890.3299999999999,15.0,5529.874,598.641
김호재,79.0,0.0,467.0,53.599999999999994
김회성,272.34,2.0,731.989,57.462
나경민,119.67,0.0,368.175,39.334
나성범,201.66000000000003,0.0,664.48,72.39800000000001
나종덕,556.67,5.0,4408.826,551.103
나주환,528.0,1.0,2774.424,278.04200000000003
나지완,78.0,0.0,164.0,15.600000000000001
남태혁,13.0,0.0,26.0,0.0
노수광,896.0,3.0,2302.4880000000003,234.149
노시환,431.66999999999996,7.0,1443.574,140.98000000000002
노진혁,800.0,5.0,4624.252,569.7819999999999
러프,780.33,5.0,1549.735,0.0
로맥,1180.33,4.0,2475.92,38.391
로하스,1087.67,6.0,3229.893,357.60699999999997
류승현,309.66999999999996,1.0,933.0840000000001,59.774
류지혁,691.0,11.0,3824.39,430.931
류형우,29.0,0.0,80.0,6.6
모창민,545.0,5.0,1080.19,0.0
문규현,153.0,3.0,658.486,86.523
문상철,105.33,4.0,203.287,0.0
문선재,133.32999999999998,2.0,268.28499999999997,17.666
민병헌,799.0,2.0,2745.375,311.7
박건우,1002.33,3.0,2530.037,209.003
박경수,983.67,9.0,5807.588,580.759
박계범,415.34000000000003,9.0,2390.958,278.591
박동원,608.0,1.0,4854.272,606.784
박민석,3.0,0.0,14.0,1.6
박민우,928.33,9.0,5475.29,547.529
박병호,906.67,6.0,1802.46,0.0
박석민,475.33,11.0,1743.51,261.527
박세혁,1071.67,8.0,8496.2,1062.025
박승규,62.0,0.0,183.0,19.0
