Name,P1,P2,P3,연차,20연봉,FA유무
이정후,2897.873176,105.5887928,114.9976478,3,10.57131693,0
김하성,6652.155489,79.67604654,116.982955,6,10.91508846,0
정은원,7060.334703,227.0613098,63.25872145,2,9.392661929,0
이천웅,3713.918969,80.60558179,98.72346725,9,10.23995979,0
최정,4459.590863,-66.32280924,155.6511839,15,11.69524702,1
김현수,2085.516249,118.6512582,90.89441324,14,11.77528973,1
박해민,4050.672088,85.83602563,76.12218581,8,10.30895266,0
김재환,2029.574369,76.47893974,93.07102237,12,11.08214255,0
손아섭,2632.027847,146.3896746,74.71945819,13,12.20607265,1
유한준,936.8208895,60.6910897,94.22912052,20,10.81977828,1
최형우,703.5929413,36.15655422,108.1914609,18,11.91839057,1
이대호,291.459106,48.064534,79.80624632,19,12.4292162,1
오지환,7612.878159,115.0985098,54.91206117,11,11.00209984,0
이명기,2564.476406,101.8134966,71.66613976,14,10.08580911,0
김상수,5884.35363,190.4428543,62.21502488,11,10.1266311,1
허경민,4259.048168,-68.40534755,104.1151208,11,10.77895629,0
박건우,2536.112877,136.5816027,88.74269686,11,10.71441777,0
박병호,1787.98781,241.6602068,69.77325967,15,12.20607265,0
오재일,2062.835449,274.8008787,48.89084408,15,10.75790288,0
박민우,5501.232272,181.6671948,86.84215054,8,10.858999,0
구자욱,2160.678267,121.6006201,72.48402069,8,10.23995979,0
김민혁,2070.923968,64.53219504,62.63503607,6,9.104979856,0
채은성,2198.184752,123.934399,75.68123645,11,10.37349118,0
정수빈,3531.630586,73.14778315,76.60881732,11,10.4341158,0
고종욱,1027.027409,43.11566174,81.8384935,9,9.740968623,0
황재균,4168.724029,-51.50058935,110.6448173,14,11.69524702,1
박세혁,8571.369708,-1.085448361,26.8356639,8,10.05190756,0
강백호,1553.080977,89.30003627,95.20372781,2,9.952277717,0
이재원,8351.248698,-1.851916847,19.93221781,14,11.77528973,1
한동민,1893.074727,106.9430201,66.82902248,8,10.1266311,0
김태균,441.0404364,65.94945684,67.17297714,19,10.81977828,1
박경수,5834.937114,186.7909994,45.57689597,17,10.59663473,1
서건창,2835.984932,97.27650801,73.23517328,12,10.46310334,0
이형종,1891.387779,75.71476929,76.15894121,12,9.903487553,0
이성열,1253.599614,97.73349336,64.08317034,17,10.81977828,0
김성현,7690.149336,112.0447113,22.49294304,14,9.952277717,0
김재호,6861.391186,103.7566039,49.80006216,16,11.08214255,1
이창진,3617.245136,77.53548079,71.0187506,6,9.047821442,0
유강남,7752.645854,-1.358521989,21.32511664,9,10.04324949,0
김헌곤,2033.272094,70.7644782,64.46446463,9,9.852194258,0
김강민,3300.402379,67.57794207,65.26242412,19,10.46310334,0
양의지,5820.537665,6.779076921,77.32768172,14,12.20607265,1
이원석,2753.892702,-40.66738128,85.21211535,15,10.30895266,1
오선진,6705.531806,98.86197782,23.92083148,12,9.259130536,0
최재훈,8195.948598,-1.693533562,20.53588076,12,9.903487553,0
김선빈,6211.309009,102.0559264,49.44888536,12,10.71441777,0
노수광,2313.658252,76.72004283,51.31518507,7,9.952277717,0
박석민,1763.587861,-22.6955586,89.29798365,16,11.15625052,1
심우준,7058.553492,103.7434237,36.17445528,6,9.472704636,0
정주현,5712.892029,179.8841017,20.97956514,11,9.433483923,0
민병헌,2762.961284,61.74639759,79.25450721,14,11.73606902,1
정의윤,824.6370201,42.52134883,63.45357571,15,10.30895266,1
임병욱,3138.967434,62.03475207,44.58728987,6,9.082507,0
권희동,1795.351511,87.29849269,49.06275124,7,9.510444964,0
장성우,7306.315671,-3.24777276,4.622947168,12,9.510444964,0
신본기,6366.894914,93.1666295,21.01319275,8,9.433483923,0
장영석,2406.757815,23.92624457,45.15924708,11,8.9226583,0
안치홍,4424.320749,159.2193506,55.30369698,11,10.27505111,0
김민성,3319.950304,-55.46252498,68.02816866,13,10.59663473,1
김태진,2317.476818,47.20088322,53.44159069,6,9.104979856,0
강민호,6720.809951,-2.076170619,11.40854502,16,11.73606902,1
오태곤,1577.157465,190.7378931,12.96167526,10,9.159047078,0
노진혁,4661.449177,33.94574035,54.44591981,8,9.546812609,0
김혜성,5562.857088,124.008585,37.57151746,3,9.210340372,0
모창민,1071.517078,144.8191884,41.73486969,12,10.30895266,1
김주찬,1188.81528,144.9810694,24.96396507,20,10.59663473,0
박동원,4897.277216,1.392086242,31.17128461,11,10.02127059,0
장진혁,2063.680817,60.11282788,40.11188985,4,8.665613197,0
김성욱,2654.637541,57.16922612,43.54031648,8,9.392661929,0
이지영,4853.493083,-1.716944209,6.574197807,12,10.30895266,0
류지혁,3849.409538,69.20953807,27.86719,8,9.259130536,0
강로한,3937.190039,61.77217871,26.37662832,5,8.5754621,0
정근우,1616.019399,77.75465919,28.21390989,15,10.46310334,1
한승택,5620.265298,-4.101911688,-9.096796049,7,8.987196821,0
이원재,1046.767674,107.0440204,18.05832615,7,8.867850063,0
최영진,1852.835159,46.31983483,26.95607583,9,8.987196821,0
이상호,2064.084264,75.33267198,16.17527841,10,9.210340372,0
최원준,1734.265214,3.349840674,22.48558824,4,8.853665428,0
김규민,1046.264345,36.00441773,24.50906168,8,8.594154233,0
나주환,2787.581909,86.66525986,9.714391242,17,9.392661929,0
박승욱,2155.544185,99.68097435,8.614541576,8,8.987196821,0
오윤석,1675.772816,106.0698725,1.514386009,6,8.29404964,0
정훈,1041.61282,74.33385646,10.49358071,14,8.764053269,0
박용택,49.66764207,5.154836908,28.09518369,22,11.28978191,1
김동엽,253.5441216,10.56497107,19.51548685,4,9.510444964,0
조용호,895.2720208,36.55502428,28.48522245,6,8.853665428,0
김용의,1041.681159,120.9181338,-1.590942242,12,9.259130536,0
한동희,1408.002412,-8.744733303,19.92988197,2,8.455317788,0
오재원,2834.607634,89.37095215,6.120567527,17,10.30895266,1
유민상,559.7657592,75.54347116,20.97462722,8,8.699514748,0
노시환,1450.211014,45.85770365,-0.359733933,1,8.101677747,0
채태인,677.0468747,88.76953224,4.808060762,13,9.210340372,1
윤석민,822.8062111,37.91200117,7.683181725,16,9.798127037,0
지석훈,1970.773217,5.765428199,17.21369254,17,9.433483923,1
이우성,555.6658179,18.75330812,16.75798771,7,8.29404964,0
허일,467.5654283,16.80365723,16.57000536,9,8.318742253,0
김찬형,2511.85755,36.18030058,12.43681757,4,8.665613197,0
나지완,164.7032609,8.113104832,16.17018662,12,11.00209984,1
최항,1719.596786,60.87576115,8.207619269,8,8.9226583,0
