Name,March_score,kWAR_score,GEN,POW,SPD,연차,20연봉
이대호,-1.525371168,-1.387256764,0.140947592,0.007746551,-0.322171165,1.63685531,12.4292162
박병호,-0.8794887,-1.387256764,2.06369416,1.97143692,-0.634650173,0.730573839,12.20607265
양의지,0.818511881,0.945804147,2.305025895,2.377357041,-1.435744974,0.504003471,12.20607265
손아섭,-0.526682788,-0.707441714,0.042359791,0.087813012,0.766702499,0.277433103,12.20607265
최형우,-1.351397615,-1.160796251,1.483021557,1.377906815,-1.155128387,1.410284942,11.91839057
김현수,-0.760265843,-0.848927772,0.578443315,0.473454125,0.265749173,0.504003471,11.77528973
이재원,1.89238525,1.960327835,-0.753201809,-0.81926814,0.019993255,0.504003471,11.77528973
최정,0.236273722,0.7523454,1.916399106,1.800628258,0.469360632,0.730573839,11.69524702
황재균,0.114061787,0.56310529,0.553461296,0.630563624,1.437169297,0.504003471,11.69524702
김재호,1.265809586,1.132184384,-0.378001499,-0.344163762,-0.937249297,0.957144207,11.08214255
김재환,-0.786370523,-0.733756426,0.462335556,0.409532499,0.2034484,0.050862736,11.08214255
오지환,1.585273763,1.408123284,-0.29758712,-0.194457373,1.554537004,-0.175707632,11.00209984
김하성,1.175102619,1.155021309,1.778055003,1.916841646,3.043908622,-1.308559471,10.91508846
박민우,0.692669219,0.384081784,0.726721911,0.639401526,-1.435933197,-0.855418735,10.858999
김태균,-1.460795849,-1.387256764,-0.020992123,0.035688378,-1.34724941,1.63685531,10.81977828
이성열,-1.114208659,-1.14399288,0.311138946,0.464268936,1.003025568,1.183714574,10.81977828
유한준,-1.250946499,-1.145351644,0.602950188,0.530926205,-0.262048631,1.863425677,10.81977828
전준우,-0.658484346,-0.634353201,0.909963024,0.884302235,1.635823959,0.050862736,10.81977828
허경민,0.151505961,0.654304174,-0.532720022,-0.588686163,0.290560441,-0.175707632,10.77895629
오재일,-0.760838147,-1.387256764,1.034541015,1.017191172,-0.239553543,0.730573839,10.75790288
김선빈,0.98986876,0.873103852,-0.59352586,-0.56186618,-0.792771782,0.050862736,10.71441777
박건우,-0.568048764,-0.711100669,1.032720067,1.073092619,0.274658903,-0.175707632,10.71441777
박경수,0.834909652,0.491585825,-0.840370904,-0.845015957,-0.717177235,1.183714574,10.59663473
이정후,-0.41649266,-0.448412944,1.020279616,0.912618312,0.538566655,-1.988270574,10.57131693
김강민,-0.247376199,-0.174838938,-0.969673904,-0.806347262,0.38245841,1.63685531,10.46310334
서건창,-0.44285631,-0.474132388,-0.087962485,-0.091969262,-0.839738499,0.050862736,10.46310334
정수빈,-0.149044791,-0.08990654,-0.7551708,-0.846333226,-0.713024926,-0.175707632,10.4341158
채은성,-0.71203222,-0.819510552,0.101115426,0.059646203,-0.532083765,-0.175707632,10.37349118
박해민,0.071909053,0.089608708,-1.053825182,-1.107023126,1.565867639,-0.855418735,10.30895266
이원석,-0.485471338,-0.071058555,-0.239915086,-0.228889982,0.422362283,0.730573839,10.30895266
이천웅,-0.071469996,-0.027396968,3.32312E-05,-0.092373207,-0.545361954,-0.628848368,10.23995979
구자욱,-0.728051594,-0.829196591,0.103668242,0.173023472,1.833781779,-0.855418735,10.23995979
한동민,-0.842368988,-0.898315575,-0.034743728,-0.056422789,-1.2859558,-0.855418735,10.1266311
송광민,-0.068399159,0.406944591,-1.595311897,-1.511003528,0.555562312,1.410284942,10.1266311
김상수,0.855938077,0.507476883,-0.455453371,-0.456931716,0.462363379,-0.175707632,10.1266311
이명기,-0.557799943,-0.595330819,-0.562791868,-0.623648956,-0.461619168,0.504003471,10.08580911
박세혁,1.985772242,2.048553616,-0.354013217,-0.358469067,0.067217077,-0.855418735,10.05190756
유강남,1.638394871,1.72037351,-0.370801538,-0.380738821,-0.705211659,-0.628848368,10.04324949
강백호,-0.987866033,-0.975030692,1.496403955,1.640226009,-0.777919924,-2.214840942,9.952277717
김성현,1.618174178,1.436540844,-2.110203973,-2.143851739,-0.008140705,0.504003471,9.952277717
이형종,-0.844904333,-0.795735433,0.196749966,0.277645397,0.14508052,0.050862736,9.903487553
최재훈,1.826490249,1.89807384,-0.319665651,-0.243046831,-1.897084017,0.050862736,9.903487553
김헌곤,-0.784872345,-0.725345035,-0.50103761,-0.441309333,-0.442484708,-0.628848368,9.852194258
고종욱,-1.21354085,-1.056605004,-0.025750295,0.002470273,-0.497424751,-0.628848368,9.740968623
정은원,1.356970714,0.886151212,-0.610981323,-0.645848148,1.815913293,-2.214840942,9.392661929
박찬호,0.767450982,0.988216966,-1.527288782,-1.594375236,0.606251669,-1.308559471,9.259130536
오선진,1.199623939,1.074184612,-2.141606946,-2.084792655,0.084386768,0.050862736,9.259130536
김민혁,-0.769225803,-0.68979397,-1.349900333,-1.449212344,-0.87794006,-1.308559471,9.104979856
이창진,-0.112425043,-0.070754451,-0.377531533,-0.247736427,-0.581081806,-1.308559471,9.047821442
