Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉,FA유무
이대호,293.568,0,3.229,97.42471716,146.3404663,6.85699418,19,250000,1
박병호,1802.46,0,19.827,127.1288957,190.3790863,14.16214417,15,200000,0
양의지,5769.28,721.16,266.829,124.0504444,192.1568763,3.14449761,14,200000,1
손아섭,2626.675,210.134,37.824,99.16703691,158.9286663,5.188145325,13,200000,1
최형우,700,70,12.6,122.4740332,183.2301463,8.082643422,18,150000,1
김현수,2080.985,166.4,34.539,116.1247263,177.6901063,4.660659025,14,130000,1
이재원,8278.032,1034.754,382.859,75.8815177,116.5285563,6.080281872,14,130000,1
최정,4409.072,661.361,136.681,143.4127314,218.4580763,10.05186682,15,120000,1
황재균,4123.564,602.866,127.589,99.26721681,161.3698063,5.643166964,14,120000,1
김재호,6814.244,778.771,213.188,77.86573166,121.0990963,6.556381202,16,65000,1
김재환,2020,202,36.36,107.6794636,165.7484663,10.66506282,12,65000,0
오지환,7560.567,864.065,236.538,85.86306436,141.6868363,8.522892006,11,60000,0
김하성,6602.337,785.83,206.309,143.3686794,235.1616163,4.84352732,6,55000,0
박민우,5475.29,547.529,113.156,113.0854114,170.8651563,1.22000775,8,52000,0
김태균,444.427,0,4.889,87.30215194,135.2928363,7.159975642,19,50000,1
이성열,1254.114,75.194,16.991,85.68849431,140.2119763,10.22178659,17,50000,0
유한준,934.671,74.774,13.459,111.1583851,170.7676863,3.671288777,20,50000,1
전준우,2318.764,232.726,41.806,121.4577565,191.9178763,5.740445682,12,50000,0
허경민,4211.04,631.056,130.418,87.22280991,136.5172663,3.485832017,11,48000,0
오재일,2079.648,0,22.876,111.3178966,170.2322563,9.059673797,15,47000,0
김선빈,6169.599,698.688,188.256,75.31302607,117.5762963,1.452667392,12,45000,0
박건우,2530.037,209.003,37.346,112.8681306,178.9573263,4.221298925,11,45000,0
박경수,5807.588,580.759,120.023,67.53562647,102.8699863,10.2051397,17,40000,1
이정후,2884.098,290.201,50.647,132.9650236,205.2455163,-0.262976317,3,39000,0
김강민,3279.183,374.764,62.773,66.91798291,111.2933563,7.07364154,19,35000,0
서건창,2822.508,282.251,58.332,90.15705817,139.0209363,3.333890801,12,35000,0
정수빈,3508.902,401.017,67.17,79.38877641,119.8804163,5.611896256,11,34000,0
채은성,2193.667,175.493,31.589,97.77837834,149.8771463,5.185370283,11,32000,0
박해민,4025.088,456.506,76.802,78.66355704,126.0887963,6.425504758,8,30000,0
이원석,2722.952,406.843,83.914,76.50179078,119.4981763,8.878549985,15,30000,1
이천웅,3690.13,420.339,70.483,104.1978618,159.1479363,4.030001903,9,28000,0
구자욱,2156.243,172.499,31.05,93.80742188,152.6476963,7.332312355,8,28000,0
한동민,1889.178,151.134,27.204,86.00621502,129.8764363,8.462104621,8,25000,0
송광민,3697.304,554.596,114.616,56.70990578,93.53901627,6.664485932,18,25000,1
김상수,5856.714,585.671,121.039,86.38092882,137.3841263,4.643554432,11,25000,1
이명기,2553.98,244.788,43.043,86.54868864,133.3601363,3.810447894,14,24000,0
박세혁,8496.2,1062.025,392.949,85.02701501,133.0536563,5.000066399,8,23200,0
유강남,7684.667,960.583,355.416,73.56328223,111.8505463,8.611049024,9,23000,0
강백호,1549.272,127.421,23.109,115.1376839,182.3059363,5.061808399,2,21000,0
김성현,7637.428,872.849,238.942,49.99093678,78.38395627,3.125813768,14,21000,0
이형종,1883.255,182.842,32.126,89.30842942,142.2114463,7.57652265,12,20000,0
최재훈,8124.09,1015.511,375.739,75.58283399,117.4365863,4.556034232,12,20000,0
김헌곤,2023.5,204.6,36.563,75.15926239,120.0165363,2.674635011,9,19000,0
고종욱,1022.057,102.206,18.397,93.46612974,145.4502563,4.67210438,9,17000,0
정은원,7027.212,702.721,145.229,90.80261603,145.4665963,7.736995721,2,12000,0
박찬호,5649.993,734.27,171.659,68.15988382,106.6565063,6.036018321,6,10500,0
오선진,6659.623,760.843,207.194,47.90512103,77.66955627,6.058853138,12,10500,0
김민혁,2060.053,215.589,37.846,71.38108018,107.9058963,4.546759622,6,9000,0
이창진,3594.452,406.937,69.22,74.10064273,118.7899263,7.560801143,6,8500,0
