Unnamed: 0,PA,RBI,RUN,HIT,HR,SB,OPS,Money_19,kWAR_score,Error,WAR
강로한,306,25,38,69,4,7,0.65369,2900,449.717,0.230769231,0.39
강민호,393,45,36,81,13,0,0.7192,125000,832.738,0.692307692,1.96
강백호,505,65,72,147,13,9,0.91128,12000,127.421,0.884615385,4.6
고종욱,513,56,76,159,3,31,0.76771,11000,102.206,0.884615385,1.72
구자욱,526,71,66,127,15,11,0.77121,30000,172.499,0.923076923,1.84
권희동,413,41,37,89,6,3,0.71416,14000,155.383,0.846153846,1.21
김강민,460,50,54,114,8,15,0.69358,40000,374.764,0.884615385,1.03
김규민,250,24,33,55,3,2,0.65733,5800,104.586,0.961538462,-0.12
김동엽,211,25,15,42,6,2,0.60386,18500,25.232,0.961538462,-0.93
김민성,401,50,44,94,8,2,0.69442,40000,492.377,0.769230769,1.13
김민혁,521,32,68,131,0,22,0.64795,3900,215.589,0.846153846,0.25
김상수,543,38,76,127,5,21,0.71224,25000,585.671,0.615384615,2.63
김선빈,447,40,55,115,3,5,0.73029,30000,698.688,0.615384615,2.36
김성욱,333,36,38,66,9,6,0.68923,13000,297.528,0.923076923,0.56
김성현,472,34,45,105,1,6,0.60219,28000,872.849,0,0.26
김용의,210,17,35,39,0,8,0.59486,8500,14.4,0.807692308,-0.53
김재호,470,48,51,101,4,3,0.73688,65000,778.771,0.615384615,2.87
김재환,574,91,76,140,15,3,0.79671,73000,202,1,2.86
김주찬,363,32,35,101,3,3,0.71367,40000,13.134,0.769230769,0.33
김찬형,154,12,16,39,1,3,0.67698,4300,286.502,0.884615385,0.35
김태균,500,62,47,132,6,3,0.77692,100000,0,0.961538462,1.71
김태진,399,46,44,103,5,12,0.68425,3300,262.562,0.884615385,0.4
김하성,625,104,112,166,19,33,0.88016,32000,785.83,0.230769231,6.77
김헌곤,467,46,57,122,5,10,0.74833,15500,204.6,1,1.51
김현수,595,82,75,160,11,3,0.80701,130000,166.4,0.961538462,2.77
김혜성,387,32,57,96,0,20,0.69366,7000,598.641,0.423076923,1.6
나종덕,209,13,12,23,3,0,0.38271,4300,551.103,0.807692308,-1.61
나주환,245,20,14,50,3,1,0.57193,32000,278.042,0.961538462,-0.76
나지완,153,17,12,24,6,0,0.66499,60000,15.6,1,-0.16
노수광,445,28,69,97,2,27,0.64442,26500,234.149,0.884615385,0.33
노진혁,390,43,51,92,13,0,0.77954,10000,569.782,0.807692308,2.2
류지혁,316,34,36,69,0,18,0.60881,12500,430.931,0.576923077,0.32
모창민,386,55,49,104,10,3,0.82379,30000,0,0.807692308,1.68
민병헌,420,43,52,112,9,13,0.83205,125000,311.7,0.923076923,3.45
박건우,537,64,83,146,10,12,0.86245,38500,209.003,0.884615385,4.49
박경수,490,65,43,104,10,0,0.71069,40000,580.759,0.653846154,1.72
박계범,204,25,26,43,4,5,0.74044,3000,278.591,0.653846154,1.18
박동원,361,55,50,94,10,1,0.81203,9000,606.784,0.961538462,2.99
박민우,526,45,89,161,1,18,0.83643,38000,547.529,0.653846154,4.71
박병호,532,98,92,121,33,0,0.95868,150000,0,0.769230769,5.14
박석민,444,74,49,96,19,1,0.87096,75000,261.527,0.576923077,3.76
박세혁,505,63,58,123,4,8,0.73548,10000,1062.025,0.692307692,3.36
박승욱,245,15,24,52,3,4,0.60739,6600,181.675,0.807692308,-0.29
박용택,215,22,19,55,1,3,0.68312,80000,4.934,1,-0.13
박찬호,541,49,60,131,2,39,0.61783,4200,734.27,0.384615385,0.54
박해민,581,44,64,121,5,24,0.64617,36000,456.506,0.923076923,1.02
서건창,486,41,67,128,2,17,0.7553,35000,282.251,0.769230769,2.35
손아섭,568,63,78,151,10,13,0.76018,150000,210.134,0.846153846,2.1
송광민,486,51,50,120,7,8,0.65496,25000,554.596,0.384615385,0.28
신본기,413,26,43,96,1,3,0.60173,16000,723,0.423076923,0.16
심우준,433,28,54,109,3,24,0.66794,8500,802.905,0.576923077,1.65
안치홍,408,49,45,114,5,4,0.7915,50000,425.345,0.576923077,2.74
양의지,459,68,61,138,20,4,1.01227,200000,721.16,0.923076923,7.02
오선진,453,36,37,88,3,7,0.59526,7500,760.843,0.538461538,0.26
오윤석,228,21,21,44,1,0,0.54212,3000,112.623,0.807692308,-0.94
오재원,204,18,30,29,3,6,0.53851,55000,281.48,0.730769231,-0.55
오재일,529,102,76,137,21,2,0.86327,30000,0,0.846153846,3.45
오지환,547,53,63,119,9,27,0.71732,40000,864.065,0.538461538,3
오태곤,392,35,63,88,6,19,0.66847,8000,16.385,0.653846154,0.1
유강남,468,49,44,113,16,0,0.77185,21000,960.583,0.730769231,3.2
유민상,202,26,23,51,5,0,0.849,4300,0,0.884615385,1.31
유한준,562,86,61,159,14,3,0.82568,60000,74.774,0.923076923,3.22
윤석민,178,17,4,39,2,0,0.54837,24000,69.633,0.807692308,-0.92
이대호,549,88,48,138,16,0,0.79024,250000,0,0.961538462,1.72
이명기,547,36,62,142,2,14,0.71257,22000,244.788,0.923076923,1.01
이상호,256,12,30,65,0,10,0.61414,8000,195.358,0.807692308,-0.48
이성열,476,85,60,106,21,8,0.80693,32000,75.194,0.807692308,2.01
이원석,455,76,44,97,19,2,0.76722,30000,406.843,0.5,1.98
이원재,285,36,31,66,8,1,0.70525,5000,31.934,0.846153846,0.06
이재원,502,75,33,121,12,1,0.71759,140000,1034.754,0.769230769,2.53
이정후,630,68,91,193,6,13,0.84241,23000,290.201,0.923076923,4.81
이지영,331,39,40,87,1,5,0.63186,21000,601.37,0.884615385,0.54
이창진,470,48,57,108,6,8,0.74516,3100,406.937,0.807692308,2.33
이천웅,613,48,88,168,2,21,0.75129,15000,420.339,0.961538462,3.41
이형종,482,63,56,120,13,6,0.79912,17000,182.842,0.923076923,2.3
임병욱,419,41,39,92,0,10,0.61907,10000,356.44,0.846153846,0.24
장성우,413,41,25,96,7,0,0.66398,9500,905.288,0.807692308,1.41
장영석,413,62,41,92,7,0,0.65401,5300,292.803,0.615384615,0.04
장진혁,349,24,42,80,1,13,0.66592,3800,216.425,0.884615385,0.36
전준우,606,83,85,164,22,8,0.83941,50000,232.726,0.846153846,3.84
정근우,305,30,37,77,3,8,0.68823,70000,137.831,0.769230769,0.47
정수빈,513,41,75,117,0,26,0.6847,24500,401.017,0.884615385,1.96
정은원,624,57,83,148,8,14,0.69127,5500,702.721,0.5,1.56
정의윤,419,59,44,107,13,0,0.78947,30000,74.058,0.961538462,1.47
정주현,425,27,53,87,2,15,0.59946,8800,568.62,0.5,-0.37
정훈,222,17,26,43,2,4,0.61367,8000,63.381,0.846153846,-0.26
조용호,211,19,15,55,0,3,0.72002,4000,84.934,1,0.64
지석훈,169,15,15,34,2,0,0.62826,15000,250.27,0.807692308,-0.01
채은성,514,72,59,148,12,2,0.79202,31000,175.493,0.923076923,2.25
채태인,182,29,11,42,5,0,0.70938,20000,0,0.961538462,-0.03
최영진,275,20,29,63,5,4,0.67437,5300,196.761,0.692307692,0.02
최원준,255,18,33,46,1,8,0.54535,10000,224.517,0.769230769,-0.95
최재훈,451,31,47,108,3,3,0.76014,12500,1015.511,0.769230769,3.62
최정,606,99,86,147,29,3,0.91823,120000,661.361,0.461538462,6.63
최주환,325,47,27,79,4,0,0.69722,38500,295.925,0.884615385,0.74
최항,147,14,12,29,0,2,0.58963,11000,164.64,0.884615385,0
최형우,555,86,65,137,17,0,0.89726,150000,70,1,4.47
한동민,502,52,52,113,12,0,0.77029,33000,151.134,0.846153846,2.3
한동희,207,9,12,38,2,1,0.55395,4900,193.044,0.653846154,-0.68
한승택,288,27,22,56,3,1,0.60172,6000,696.384,0.807692308,0.44
허경민,540,60,71,137,4,11,0.72062,38500,631.056,0.692307692,2.12
허일,162,17,14,38,1,2,0.61683,3000,46.765,0.961538462,-0.2
황재균,507,67,78,127,20,10,0.82352,120000,602.866,0.576923077,3.67
