Name,P1,P2,P3,March_score,kWAR_score,AHP_score,연차,20연봉,FA유무,pos_weight,pos_weight_2
이정후,60.16920168,-33.64357186,29.75292219,2884.098,290.201,50.647,3,10.57131693,0,1,0.4
김하성,65.79949671,-36.44537748,43.25300708,6602.337,785.83,206.309,6,10.91508846,0,1,0.8
정은원,41.61420345,-22.51050529,23.9101533,7027.212,702.721,145.229,2,9.392661929,0,2,0.8
이천웅,47.17522554,-25.91805496,21.45800513,3690.13,420.339,70.483,9,10.23995979,0,0,0.4
최정,64.83420162,-35.11143595,30.25160927,4409.072,661.361,136.681,15,11.69524702,1,0,0.6
전준우,55.37030671,-30.32857798,30.4951079,2318.764,232.726,41.806,12,10.81977828,0,0,0.4
김현수,52.57447524,-28.79055609,24.45117617,2080.985,166.4,34.539,14,11.77528973,1,2,0.2
박해민,36.12766507,-19.45084326,20.2581672,4025.088,456.506,76.802,8,10.30895266,0,1,0.4
김재환,48.91470773,-26.19488922,23.43135182,2020,202,36.36,12,11.08214255,0,1,0.2
손아섭,45.43030914,-24.84686602,26.04698962,2626.675,210.134,37.824,13,12.20607265,1,1,0.2
유한준,50.41026654,-27.64559735,23.62676606,934.671,74.774,13.459,20,10.81977828,1,0,0
최형우,55.2881756,-29.76274615,22.41172955,700,70,12.6,18,11.91839057,1,1,0
이대호,44.08034299,-23.65818058,17.79326038,293.568,0,3.229,19,12.4292162,1,1,0
오지환,39.72014031,-21.26408233,25.3726502,7560.567,864.065,236.538,11,11.00209984,0,1,0.8
이명기,39.35936438,-21.46429966,18.10490271,2553.98,244.788,43.043,14,10.08580911,0,1,0.2
김상수,39.58052248,-21.50365346,21.3826853,5856.714,585.671,121.039,11,10.1266311,1,1,0.6
박찬호,31.19619842,-16.68663406,15.11952464,5649.993,734.27,171.659,6,9.259130536,0,0,0.8
허경민,39.7978962,-21.72412984,19.90478191,4211.04,631.056,130.418,11,10.77895629,0,0,0.6
박건우,51.58588904,-28.23920684,28.20055219,2530.037,209.003,37.346,11,10.71441777,0,1,0.2
박병호,57.48685671,-30.31461735,23.60911012,1802.46,0,19.827,15,12.20607265,0,1,0
오재일,50.541495,-27.06170596,23.03496151,2079.648,0,22.876,15,10.75790288,0,1,0
박민우,51.08961008,-28.2183437,21.64788821,5475.29,547.529,113.156,8,10.858999,0,0,0.6
구자욱,43.21823009,-23.26460214,26.19987561,2156.243,172.499,31.05,8,10.23995979,0,1,0.2
김민혁,32.3956292,-17.47143147,12.87623276,2060.053,215.589,37.846,6,9.104979856,0,0,0.2
채은성,44.39507011,-24.10793417,20.17443727,2193.667,175.493,31.589,11,10.37349118,0,0,0.2
정수빈,36.03001057,-19.29314965,14.40815211,3508.902,401.017,67.17,11,10.4341158,0,1,0.4
고종욱,42.60027941,-23.20702425,20.80872882,1022.057,102.206,18.397,9,9.740968623,0,0,0.2
황재균,45.71299024,-24.76679535,27.54047848,4123.564,602.866,127.589,14,11.69524702,1,0,0.6
박세혁,38.85915404,-20.97916094,19.20156295,8496.2,1062.025,392.949,8,10.05190756,0,0,1
강백호,52.65042647,-28.7018425,28.42319827,1549.272,127.421,23.109,2,9.952277717,0,1,0.2
이재원,34.60487874,-18.40661056,15.11865273,8278.032,1034.754,382.859,14,11.77528973,1,0,1
한동민,39.06732478,-20.64404537,15.74465613,1889.178,151.134,27.204,8,10.1266311,0,0,0.2
김태균,39.83539369,-21.33918792,18.73600671,444.427,0,4.889,19,10.81977828,1,0,0
박경수,30.8677823,-15.84741592,12.48245968,5807.588,580.759,120.023,17,10.59663473,1,1,0.6
서건창,41.04083075,-22.31943038,18.77225727,2822.508,282.251,58.332,12,10.46310334,0,1,0.6
송광민,26.38918181,-13.84582923,15.63031796,3697.304,554.596,114.616,18,10.1266311,1,0,0.6
이형종,41.0137772,-21.89473471,22.15040567,1883.255,182.842,32.126,12,9.903487553,0,2,0.2
이성열,39.67338839,-20.84465913,24.04797036,1254.114,75.194,16.991,17,10.81977828,0,2,0
김성현,23.0222552,-12.17653509,10.12361289,7637.428,872.849,238.942,14,9.952277717,0,0,0.8
김재호,35.63299425,-18.8987188,16.57973495,6814.244,778.771,213.188,16,11.08214255,1,1,0.8
이창진,34.18317715,-18.03749789,18.38274794,3594.452,406.937,69.22,6,9.047821442,0,0,0.4
유강남,33.58236835,-17.44842017,13.49515808,7684.667,960.583,355.416,9,10.04324949,0,2,1
김헌곤,34.57847351,-18.72969412,18.18052599,2023.5,204.6,36.563,9,9.852194258,0,0,0.2
김강민,31.13036609,-16.50239017,19.60556592,3279.183,374.764,62.773,19,10.46310334,0,0,0.4
양의지,56.48621638,-30.76535236,27.10927517,5769.28,721.16,266.829,14,12.20607265,1,1,1
이원석,35.11284285,-18.25485341,16.64276367,2722.952,406.843,83.914,15,10.30895266,1,1,0.6
오선진,22.26817513,-11.47798934,11.65146031,6659.623,760.843,207.194,12,9.259130536,0,1,0.8
최재훈,34.59631556,-18.5054169,15.7090112,8124.09,1015.511,375.739,12,9.903487553,0,0,1
김선빈,34.46251091,-18.71400027,16.06705756,6169.599,698.688,188.256,12,10.71441777,0,1,0.8
