Name,P1,P2,P3,March_score,kWAR_score,AHP_score,연차,20연봉,FA유무
이정후,132.96502362097095,-0.44485721742185913,-0.26297631701685475,2884.098,290.201,50.647,3,39000,0
김하성,143.36867939813587,15.896482458541323,4.843527320333973,6602.337,785.83,206.309,6,55000,0
정은원,90.8026160292407,5.680991309975378,7.736995720581338,7027.212,702.721,145.229,2,12000,0
이천웅,104.19786175340157,-2.4614611034408065,4.030001902941036,3690.13,420.339,70.483,9,28000,0
최정,143.41273144032195,-2.209159637836269,10.051866815701732,4409.072,661.361,136.681,15,120000,1
전준우,121.4577565170961,4.904906905861425,5.740445682448805,2318.764,232.726,41.806,12,50000,0
김현수,116.1247263487187,-2.059972171016558,4.660659024904537,2080.985,166.4,34.539,14,130000,1
박해민,78.66355703911445,4.320419221162634,6.425504758159089,4025.088,456.506,76.802,8,30000,0
김재환,107.67946355275019,-0.20079417091640941,10.665062817741287,2020.0,202.0,36.36,12,65000,0
손아섭,99.16703690514548,5.8411906475718025,5.1881453245356175,2626.675,210.134,37.824,13,200000,1
유한준,111.1583851366565,-1.6700999150607125,3.6712887769876925,934.671,74.774,13.459,20,50000,1
최형우,122.47403320099349,-6.691440264170984,8.082643421824095,700.0,70.0,12.6,18,150000,1
이대호,97.42471715749906,-5.251138237536661,6.8569941798659855,293.568,0.0,3.229,19,250000,1
오지환,85.86306436311787,9.509888141983696,8.522892006314736,7560.567,864.065,236.538,11,60000,0
이명기,86.54868863599113,-1.4931479332993804,3.8104478938613386,2553.98,244.788,43.043,14,24000,0
김상수,86.38092882124967,3.3096954224405066,4.643554432494582,5856.714,585.671,121.039,11,25000,1
박찬호,68.15988382087879,0.40152807128289336,6.036018320831712,5649.993,734.27,171.659,6,10500,0
허경민,87.22280991356418,0.8127934166827331,3.4858320166085717,4211.04,631.056,130.41799999999998,11,48000,0
박건우,112.86813063476554,4.374947146012228,4.221298925465747,2530.037,209.003,37.346,11,45000,0
박병호,127.12889565132936,-5.971536024091996,14.162144171672898,1802.46,0.0,19.827,15,200000,0
오재일,111.31789656386178,-2.081398698289998,9.059673796837354,2079.648,0.0,22.876,15,47000,0
박민우,113.08541141216485,-5.306739674894778,1.220007749735993,5475.29,547.529,113.156,8,52000,0
구자욱,93.80742187656416,7.965644487082631,7.332312355296539,2156.243,172.499,31.05,8,28000,0
김민혁,71.38108018314423,-3.928536930140532,4.546759622130573,2060.053,215.58900000000003,37.846,6,9000,0
채은성,97.77837833730334,-2.072131976743223,5.185370283288178,2193.667,175.493,31.589,11,32000,0
정수빈,79.38877641133456,-4.275542995688053,5.611896256241466,3508.902,401.017,67.17,11,34000,0
고종욱,93.466129739578,0.20004431112346124,4.672104380336315,1022.057,102.206,18.397,9,17000,0
황재균,99.26721681198049,7.972685564464006,5.643166964103933,4123.564,602.866,127.589,14,120000,1
박세혁,85.02701501221735,0.670509505859746,5.0000663992164895,8496.2,1062.025,392.949,8,23200,0
강백호,115.13768392879732,4.090098220612397,5.061808399426857,1549.2720000000002,127.421,23.109,2,21000,0
이재원,75.8815176997102,-2.0898451707065404,6.08028187232707,8278.032,1034.754,382.859,14,130000,1
한동민,86.00621502213521,-4.229850208221555,8.462104620811255,1889.178,151.134,27.204,8,25000,0
김태균,87.30215194470341,-0.46958017397342205,7.159975642478508,444.427,0.0,4.889,19,50000,1
박경수,67.53562646883326,-2.7212502640989293,10.205139697942656,5807.588,580.759,120.023,17,40000,1
서건창,90.157058172727,-1.7311279818475238,3.333890800728069,2822.508,282.251,58.332,12,35000,0
송광민,56.70990578264687,4.981248430877081,6.664485932474404,3697.304,554.596,114.616,18,25000,1
이형종,89.30842941646591,3.7475768865878627,7.576522650388464,1883.255,182.842,32.126000000000005,12,20000,0
이성열,85.68849430748766,7.8624581772834,10.22178658876478,1254.114,75.194,16.991,17,50000,0
김성현,49.99093677848165,-1.0204030125883876,3.1258137682934994,7637.428,872.849,238.942,14,21000,0
김재호,77.8657316575027,-0.5321901873930683,6.5563812023496055,6814.244,778.771,213.188,16,65000,1
이창진,74.10064273080512,3.3692474174314673,7.560801143154627,3594.452,406.937,69.22,6,8500,0
유강남,73.56328223065928,-3.386900163575622,8.611049023936875,7684.667,960.583,355.416,9,23000,0
김헌곤,75.15926238566396,2.2813104750740014,2.674635011426591,2023.5,204.6,36.563,9,19000,0
김강민,66.91798290835918,7.395427451807561,7.073641540060143,3279.183,374.764,62.773,19,35000,0
양의지,124.05044438309834,-0.8546022244821531,3.1444976098839557,5769.28,721.16,266.829,14,200000,1
이원석,76.50179077708816,0.14283101026820397,8.878549984665597,2722.952,406.843,83.914,15,30000,1
오선진,47.90512102680546,2.13784681086139,6.058853138010897,6659.623,760.8430000000001,207.194,12,10500,0
최재훈,75.58283399349368,-1.1554696816302978,4.556034231973062,8124.09,1015.511,375.739,12,20000,0
김선빈,75.3130260711766,-0.8992596117103576,1.4526673915243367,6169.599,698.688,188.25600000000003,12,45000,0
