index,DC
강경학한화,147.829
강로한롯데,449.71700000000004
강민국KT,171.30599999999998
강민호삼성,832.738
강백호KT,127.42099999999999
강승호SK,59.352999999999994
강진성NC,26.608999999999998
고명성KT,36.45
고승민롯데,109.113
고장혁KIA,33.128
고종욱SK,102.206
공민규삼성,0.0
구본혁LG,184.777
구자욱삼성,172.499
국해성두산,14.044
권희동NC,155.383
김강민SK,374.764
김경호두산,19.534
김규민키움,104.586
김대한두산,18.498
김도환삼성,298.172
김동엽삼성,25.232
김동한롯데,105.36600000000001
김문호롯데,55.010999999999996
김민성LG,492.377
김민수롯데,51.104
김민수삼성,104.33
김민식KIA,256.36
김민하한화,76.572
김민혁KT,215.58900000000003
김병희KT,10.2
김사훈롯데,6.0
김상수삼성,585.671
김선빈KIA,698.688
김성욱NC,297.528
김성현SK,872.849
김성훈삼성,120.044
김영환KT,18.4
김용의LG,14.4
김웅빈키움,12.0
김은성키움,12.341
김응민삼성,29.33
김인태두산,32.0
김인환한화,0.0
김재성LG,17.0
김재율LG,11.4
김재현SK,39.534
김재현삼성,7.199999999999999
김재호두산,778.771
김재환두산,202.0
김종민한화,50.67
김주찬KIA,13.134
김주형키움,1.8
김준완NC,5.2
김준태롯데,233.876
김지수키움,82.916
김진곤KT,13.065999999999999
김진형NC,0.0
김찬형NC,286.502
김창평SK,76.4
김창혁한화,6.0
김철호NC,0.0
김태군NC,71.33
김태균한화,0.0
김태연한화,5.55
김태진NC,262.562
김하성키움,785.83
김헌곤삼성,204.60000000000002
김현수LG,166.4
김형준NC,285.523
김혜성키움,598.641
김호재삼성,53.599999999999994
김회성한화,57.462
나경민롯데,39.334
나성범NC,72.39800000000001
나종덕롯데,551.103
나주환SK,278.04200000000003
나지완KIA,15.600000000000001
남태혁SK,0.0
노수광SK,234.149
노시환한화,140.98000000000002
노진혁NC,569.7819999999999
러프삼성,0.0
로맥SK,38.391
로하스KT,357.60699999999997
류승현KIA,59.774
류지혁두산,430.931
류형우LG,6.6
모창민NC,0.0
문규현롯데,86.523
문상철KT,0.0
문선재KIA,17.666
민병헌롯데,311.7
박건우두산,209.003
박경수KT,580.759
박계범삼성,278.591
박동원키움,606.784
박민석KT,1.6
박민우NC,547.529
박병호키움,0.0
박석민NC,261.527
박세혁두산,1062.025
박승규삼성,19.0
박승욱KT,181.675
박용택LG,4.934
박유연두산,2.0
박정권SK,0.0
박정음키움,50.266
박준태KIA,29.002000000000002
박준혁한화,0.0
박지규LG,25.698
박찬도삼성,20.799999999999997
박찬호KIA,734.27
박한결한화,23.2
박한이삼성,12.383
박해민삼성,456.506
박헌욱NC,8.0
배성근롯데,62.547000000000004
배영섭SK,31.334000000000003
배정대KT,71.337
백동훈두산,38.266
백승민삼성,0.0
백승현LG,48.56
백용환KIA,102.139
백창수한화,21.334
베탄코트NC,118.25
변우혁한화,0.0
샌즈키움,183.055
서건창키움,282.251
서상우LG,0.0
서예일두산,7.8
손시헌NC,269.955
손아섭롯데,210.134
손주인삼성,30.183
송광민한화,554.596
송민섭KT,44.464
송성문키움,379.51800000000003
송승환두산,0.0
송준석삼성,25.18
스몰린스키NC,89.22
신민재LG,102.932
신범수KIA,125.657
신본기롯데,723.0
신성현두산,16.576
신용수롯데,32.43
심우준KT,802.905
아수아헤롯데,228.162
안상현SK,178.25
안승한KT,116.501
안중열롯데,375.563
안치영KT,7.800000000000001
안치홍KIA,425.345
양성우한화,58.666
양의지NC,721.16
양종민LG,52.629000000000005
예진원키움,3.6
오선우KIA,22.934
오선진한화,760.8430000000001
오윤석롯데,112.62299999999999
오재원두산,281.48
오재일두산,0.0
오정환KIA,41.544
오준혁SK,0.0
오지환LG,864.065
오태곤KT,16.384999999999998
윌리엄슨삼성,60.864
윌슨롯데,249.189
유강남LG,960.583
유민상KIA,0.0
유영준NC,1.2
유장혁한화,35.066
유재신KIA,32.417
유한준KT,74.774
윤석민KT,69.633
윤수강NC,4.8
윤진호LG,155.89
윤해진KIA,0.0
이대형KT,2.2
이대호롯데,0.0
이동훈한화,20.066
이명기NC,244.78799999999998
이범호KIA,3.0
이상호NC,195.358
이성곤삼성,8.0
이성규삼성,53.230999999999995
이성열한화,75.194
이성우LG,206.01
이우성KIA,56.394000000000005
이원석삼성,402.443
이원석한화,4.4
이원재NC,31.934
이유찬두산,19.277
이인행KIA,7.4
이인혁NC,5.0
이재원SK,1034.754
이정후키움,290.201
이정훈KIA,32.0
이준수KT,138.978
이지영키움,601.37
이진영KIA,9.6
이찬건롯데,2.4
이창열한화,5.4
이창진KIA,406.937
이천웅LG,420.339
이학주삼성,716.837
이해창KT,101.987
이현동삼성,0.934
이현석SK,9.0
이형종LG,182.84199999999998
이흥련두산,91.0
임병욱키움,356.44
임재현SK,1.0
임지열키움,12.495
장성우KT,905.288
장승현두산,119.0
장영석키움,292.803
장운호한화,5.0
장진혁한화,216.425
전민수LG,27.0
전병우롯데,21.762
전준우롯데,232.726
전준호LG,24.0
정근우한화,137.831
정범모NC,101.867
정병곤두산,49.273
정보근롯데,89.67
정상호LG,64.0
정수빈두산,401.017
정은원한화,702.721
정의윤SK,74.05799999999999
정주현LG,568.62
정준혁롯데,4.4
정진기SK,8.2
정진호두산,70.066
정현SK,75.99600000000001
정훈롯데,63.381
조셉LG,0.0
조용호KT,84.934
조홍석롯데,33.998
주효상키움,64.878
지석훈NC,250.26999999999998
지성준한화,186.33
채은성LG,175.493
채태인롯데,0.0
최경모SK,30.741
최민재SK,1.2
최선호삼성,5.8
최승민NC,9.732
최승준SK,0.0
최영진삼성,196.761
최원준KIA,224.517
최윤석한화,21.254
최재훈한화,1015.511
최정SK,661.361
최정민KIA,3.0
최정용KIA,17.4
최주환두산,295.925
최준우SK,45.6
최진행한화,53.4
최항SK,164.64
최형우KIA,70.0
추재현키움,0.8
터커KIA,149.992
페게로LG,8.8
페르난데스두산,0.0
하주석한화,27.755
한동민SK,151.134
한동희롯데,193.044
한승택KIA,696.384
한준수KIA,39.0
해즐베이커KIA,30.327
