,index,타석,안타,홈런,득점,타점,도루,OPS,WAR,DC,팀명,Salary_19
178,이대호롯데,549,138,16,48,88,0,0.79,1.72,0,롯데,250000
153,양의지NC,459,138,20,61,68,4,1.012,7.02,721.16,NC,200000
99,박병호키움,532,121,33,92,98,0,0.958,5.14,0,키움,150000
132,손아섭롯데,568,151,10,78,63,13,0.76,2.1,210.134,롯데,150000
260,최형우KIA,555,137,17,65,86,0,0.898,4.47,70,KIA,150000
194,이재원SK,502,121,12,33,75,1,0.717,2.53,1034.754,SK,140000
68,김현수LG,595,160,11,75,82,3,0.807,2.77,166.4,LG,130000
3,강민호삼성,393,81,13,36,45,0,0.72,1.96,832.738,삼성,125000
92,민병헌롯데,420,112,9,52,43,13,0.832,3.45,311.7,롯데,125000
253,최정SK,606,147,29,86,99,3,0.918,6.63,661.361,SK,120000
280,황재균KT,507,127,20,78,67,10,0.825,3.67,602.866,KT,120000
63,김태균한화,500,132,6,47,62,3,0.777,1.71,0,한화,100000
104,박용택LG,215,55,1,19,22,3,0.684,-0.13,4.934,LG,80000
100,박석민NC,444,96,19,49,74,1,0.871,3.76,261.527,NC,75000
49,김재환*두산,574,140,15,76,91,3,0.796,2.86,202,두산,73000
222,정근우한화,305,77,3,37,30,8,0.688,0.47,137.831,한화,70000
48,김재호두산,470,101,4,51,48,3,0.737,2.87,778.771,두산,65000
181,이범호KIA,31,6,1,1,5,0,0.675,-0.03,3,KIA,65000
77,나지완KIA,153,24,6,12,17,0,0.665,-0.16,15.6,KIA,60000
172,유한준KT,562,159,14,61,86,3,0.826,3.22,74.774,KT,60000
74,나성범NC,106,34,4,19,14,2,1.088,1.82,72.398,NC,55000
159,오재원두산,204,29,3,30,18,6,0.538,-0.55,281.48,두산,55000
131,손시헌NC,149,36,2,17,10,1,0.673,0.38,269.955,NC,50000
151,안치홍KIA,408,114,5,45,49,4,0.792,2.74,425.345,KIA,50000
220,전준우롯데,606,164,22,85,83,8,0.84,3.84,232.726,롯데,50000
226,정상호LG,24,2,0,1,2,0,0.208,-0.4,64,LG,50000
16,김강민SK,460,114,8,54,50,14,0.694,1.03,374.764,SK,40000
24,김민성LG,401,94,8,44,50,2,0.694,1.13,492.377,LG,40000
51,김주찬KIA,363,101,3,35,32,3,0.714,0.33,13.134,KIA,40000
94,박경수KT,490,104,10,43,65,0,0.71,1.72,580.759,KT,40000
106,박정권SK,37,6,1,5,5,0,0.61,-0.07,0,SK,40000
163,오지환LG,547,119,9,63,53,27,0.717,3,864.065,LG,40000
93,박건우두산,537,146,10,83,64,12,0.862,4.49,209.003,두산,38500
256,최주환두산,325,79,4,27,47,0,0.697,0.74,295.925,두산,38500
271,허경민두산,540,137,4,71,60,11,0.721,2.12,631.056,두산,38500
98,박민우NC,526,161,1,89,45,18,0.837,4.71,547.529,NC,38000
115,박해민삼성,581,121,5,64,44,24,0.646,1.02,456.506,삼성,36000
128,서건창키움,486,128,2,67,41,17,0.756,2.35,282.251,키움,35000
266,한동민SK,502,113,12,52,52,0,0.771,2.3,151.134,SK,33000
66,김하성키움,625,166,19,112,104,33,0.88,6.77,785.83,키움,32000
76,나주환SK,245,50,3,14,20,1,0.572,-0.76,278.042,SK,32000
185,이성열한화,476,106,21,60,85,8,0.807,2.01,75.194,한화,32000
242,채은성LG,514,148,12,59,72,2,0.792,2.25,175.493,LG,31000
13,구자욱삼성,526,127,15,66,71,11,0.771,1.84,172.499,삼성,30000
33,김선빈KIA,447,115,3,55,40,5,0.731,2.36,698.688,KIA,30000
88,모창민NC,386,104,10,49,55,3,0.824,1.68,0,NC,30000
160,오재일두산,529,137,21,76,102,2,0.864,3.45,0,두산,30000
188,이원석삼성,455,97,19,44,76,2,0.768,1.98,402.443,삼성,30000
229,정의윤SK,419,107,13,44,59,0,0.789,1.47,74.058,SK,30000
35,김성현SK,472,105,1,45,34,6,0.602,0.26,872.849,SK,28000
79,노수광SK,445,97,2,69,28,27,0.645,0.33,234.149,SK,26500
32,김상수삼성,543,127,5,76,38,21,0.713,2.63,585.671,삼성,25000
114,박한이삼성,85,19,2,6,13,0,0.711,0.11,12.383,삼성,25000
134,송광민한화,486,119,7,50,51,8,0.651,0.28,554.596,한화,25000
227,정수빈두산,513,117,0,75,41,26,0.685,1.96,401.017,두산,24500
173,윤석민KT,178,39,2,4,17,0,0.548,-0.92,69.633,KT,24000
62,김태군NC,28,4,0,0,1,0,0.539,0.08,71.33,NC,23000
195,이정후키움,630,193,6,91,68,13,0.842,4.81,290.201,키움,23000
180,이명기NC,245,67,1,25,15,10,0.722,0.61,244.788,NC,22000
167,유강남LG,468,113,16,44,49,0,0.772,3.2,960.583,LG,21000
198,이지영키움,331,87,1,40,39,5,0.632,0.54,601.37,키움,21000
177,이대형KT,19,2,0,2,4,0,0.53,-0.05,2.2,KT,20000
243,채태인롯데,182,42,5,11,29,0,0.709,-0.03,0,롯데,20000
258,최진행*한화,129,27,6,10,19,0,0.731,0.19,53.4,한화,20000
21,김동엽삼성,211,42,6,15,25,2,0.603,-0.93,25.232,삼성,18500
89,문규현롯데,72,16,0,7,10,0,0.552,-0.25,86.523,롯데,18000
265,하주석한화,20,5,0,3,2,0,0.631,-0.01,27.755,한화,18000
208,이형종LG,482,120,13,56,63,6,0.8,2.3,182.842,LG,17000
142,신본기롯데,413,96,1,43,26,3,0.602,0.16,723,롯데,16000
67,김헌곤삼성,467,122,5,57,46,10,0.748,1.51,204.6,삼성,15500
133,손주인삼성,35,6,1,2,4,0,0.532,-0.24,30.183,삼성,15000
203,이천웅LG,613,168,2,88,48,21,0.752,3.41,420.339,LG,15000
240,지석훈NC,169,34,2,15,15,0,0.628,-0.01,250.27,NC,15000
15,권희동NC,413,89,6,37,41,3,0.714,1.21,155.383,NC,14000
27,김민식KIA,116,16,0,6,14,2,0.481,-0.15,256.36,KIA,14000
34,김성욱NC,333,66,9,38,36,6,0.689,0.56,297.528,NC,13000
86,류지혁두산,316,69,0,36,34,18,0.609,0.32,430.931,두산,12500
252,최재훈한화,451,108,3,47,31,3,0.761,3.62,1015.511,한화,12500
4,강백호KT,505,147,13,72,65,9,0.911,4.6,127.421,KT,12000
118,배영섭SK,80,16,0,5,7,2,0.539,-0.27,31.334,SK,12000
233,정진호두산,110,20,1,13,3,5,0.53,-0.44,70.066,두산,11300
10,고종욱SK,513,159,3,76,56,31,0.768,1.72,102.206,SK,11000
259,최항SK,147,29,0,12,14,2,0.59,0,164.64,SK,11000
81,노진혁NC,390,92,13,51,43,0,0.78,2.2,569.782,NC,10000
101,박세혁두산,505,123,4,58,63,8,0.735,3.36,1062.025,두산,10000
210,임병욱키움,419,92,0,39,41,10,0.619,0.24,356.44,키움,10000
250,최원준KIA,255,46,1,33,18,8,0.545,-0.95,224.517,KIA,10000
5,강승호SK,42,6,2,5,5,0,0.503,-0.25,59.353,SK,9600
213,장성우KT,413,96,7,25,41,0,0.664,1.41,905.288,KT,9500
96,박동원키움,361,94,10,50,55,1,0.812,2.99,606.784,키움,9000
209,이흥련두산,44,13,0,3,5,0,0.746,0.29,91,두산,9000
0,강경학한화,135,27,0,21,12,1,0.615,0.08,147.829,한화,8800
230,정주현LG,425,87,2,53,27,14,0.6,-0.37,568.62,LG,8800
38,김용의LG,210,39,0,35,17,8,0.595,-0.53,14.4,LG,8500
145,심우준KT,433,109,3,54,28,24,0.668,1.65,802.905,KT,8500
152,양성우한화,129,20,1,11,6,1,0.445,-1.14,58.666,한화,8500
232,정진기SK,17,3,0,1,2,0,0.423,-0.16,8.2,SK,8200
23,김문호롯데,109,25,0,6,4,2,0.58,-0.32,55.011,롯데,8000
53,김준완NC,19,4,0,0,1,0,0.566,-0.05,5.2,NC,8000
164,오태곤KT,392,88,6,63,35,19,0.668,0.1,16.385,KT,8000
182,이상호NC,256,65,0,30,12,9,0.614,-0.48,195.358,NC,8000
235,정훈롯데,222,43,2,26,17,4,0.613,-0.26,63.381,롯데,8000
136,송성문키움,335,70,3,33,34,2,0.597,-0.56,379.518,키움,7500
157,오선진한화,453,88,3,37,36,7,0.595,0.26,760.843,한화,7500
36,김성훈삼성,88,14,1,14,5,4,0.51,-0.45,120.044,삼성,7000
47,김재현삼성,2,0,0,1,0,0,0,-0.05,7.2,삼성,7000
70,김혜성키움,387,96,0,57,32,20,0.694,1.6,598.641,키움,7000
108,박준태KIA,47,7,0,13,4,1,0.478,-0.41,29.002,KIA,7000
186,이성우LG,74,10,0,2,6,0,0.442,-0.32,206.01,LG,7000
223,정범모NC,45,9,2,4,4,1,0.679,0.11,101.867,NC,6800
103,박승욱KT,230,51,2,21,13,4,0.614,-0.29,181.675,KT,6600
72,김회성한화,117,24,3,7,18,2,0.658,-0.07,57.462,한화,6500
91,문선재KIA,61,8,3,7,6,2,0.642,-0.08,17.666,KIA,6500
205,이해창KT,43,5,0,0,0,0,0.311,-0.44,101.987,KT,6100
124,백창수한화,48,10,0,4,3,0,0.556,-0.24,21.334,한화,6000
175,윤진호LG,62,6,1,6,5,1,0.303,-0.92,155.89,LG,6000
268,한승택KIA,288,56,3,22,27,1,0.602,0.44,696.384,KIA,6000
272,허도환SK,93,10,1,3,6,0,0.405,-0.68,240.391,SK,6000
18,김규민키움,250,55,3,33,24,2,0.657,-0.12,104.586,키움,5800
171,유재신KIA,59,13,0,17,6,4,0.661,-0.06,32.417,KIA,5700
241,지성준한화,109,26,2,7,11,0,0.649,0.13,186.33,한화,5700
46,김재현SK,49,12,0,29,2,13,0.729,0.12,39.534,SK,5600
73,나경민롯데,49,9,0,10,7,2,0.554,-0.11,39.334,롯데,5500
111,박찬도삼성,34,9,0,10,2,0,0.637,-0.13,20.8,삼성,5500
228,정은원한화,624,148,8,83,57,14,0.691,1.56,702.721,한화,5500
50,김종민한화,21,4,1,2,1,0,0.55,-0.06,50.67,한화,5300
129,서상우LG,24,5,0,2,1,0,0.619,-0.03,0,LG,5300
215,장영석키움,413,92,7,41,62,0,0.654,0.04,292.803,키움,5300
234,정현SK,34,2,0,3,1,1,0.277,-0.41,75.996,SK,5300
249,최영진삼성,275,63,5,29,20,4,0.674,0.02,196.761,삼성,5300
149,안중열롯데,145,26,2,10,4,0,0.53,-0.37,375.563,롯데,5100
9,고장혁KIA,32,7,0,2,3,0,0.54,-0.18,33.128,KIA,5000
14,국해성두산,41,6,0,2,2,0,0.55,-0.14,14.044,두산,5000
22,김동한롯데,85,22,0,9,2,3,0.666,0.13,105.366,롯데,5000
55,김지수키움,32,8,0,3,3,0,0.646,0.04,82.916,키움,5000
143,신성현두산,54,8,1,9,6,0,0.62,0.02,16.576,두산,5000
190,이원재NC,285,66,8,31,35,1,0.706,0.06,31.934,NC,5000
248,최승준SK,24,5,0,2,0,0,0.519,-0.14,0,SK,5000
267,한동희롯데,207,38,2,12,9,1,0.554,-0.68,193.044,롯데,4900
45,김재율LG,9,1,0,0,0,0,0.222,-0.16,11.4,LG,4800
216,장운호한화,12,1,0,2,0,0,0.282,-0.23,5,한화,4800
107,박정음키움,88,14,0,13,7,6,0.599,-0.13,50.266,키움,4500
110,박지규LG,18,1,0,2,1,0,0.503,0.07,25.698,LG,4500
123,백용환KIA,51,11,2,3,6,0,0.698,0.2,102.139,KIA,4500
239,주효상키움,30,6,0,3,5,0,0.578,-0.03,64.878,키움,4500
254,최정민KIA,5,0,0,0,0,0,0,-0.14,3,KIA,4500
54,김준태롯데,104,14,0,10,8,0,0.468,-0.28,233.876,롯데,4400
58,김찬형NC,154,39,1,16,12,3,0.677,0.35,286.502,NC,4300
75,나종덕롯데,209,23,3,12,13,0,0.383,-1.61,551.103,롯데,4300
168,유민상KIA,202,51,5,23,26,0,0.849,1.31,0,KIA,4300
