선수명,연봉,VRS_수비x,VRS_수비o,포지션,VRS_수비x,VRS_수비o,수비o-수비x,산출부족분_수비x,산출부족분_수비o,팀명
강로한롯데,2900,0.6416,0.6913,2,0.0345,0.0345,0,81184.5,81184.5,롯데
강민호삼성,125000,0.9518,0.9518,포,0.9264,0.9264,0,9936,9936,삼성
강백호KT,12000,0.4346,0.5969,우,0.0628,0.0628,0,179210,179115,KT
고종욱SK,11000,0.6117,0.7109,좌,0.1071,0.1071,0,91661,91661,SK
구자욱삼성,30000,0.552,0.694,우,0.1453,0.1453,0,176450,176450,삼성
권희동NC,14000,0.5638,0.7311,우,0.1086,0.1086,0,114889.5,114889.5,NC
김강민SK,40000,0.6371,0.7214,중,0.271,0.271,0,107583.5,107583.5,SK
김규민키움,5800,0.7108,0.8181,좌,0.0734,0.0734,0,73224.21,73224.21,키움
김동엽삼성,18500,0.8288,1,좌,0.4773,1,0.5227,20258.13,0,삼성
김민성LG,40000,0.6397,0.6919,3,0.2714,0.2714,0,107375.03,107375.03,LG
김민혁KT,3900,0.9105,0.9105,좌,0.2886,0.2886,0,9612.8,9612.8,KT
김상수삼성,25000,0.6219,0.6429,2,0.2061,0.2061,0,96314,96314,삼성
김선빈KIA,30000,0.6857,0.6857,유,0.2922,0.2922,0,72661,72661,KIA
김성욱NC,13000,0.6103,0.7121,유,0.1143,0.1143,0,100706,100706,NC
김성현SK,28000,0.9388,0.9388,2,0.6172,0.6172,0,17361.87,17361.87,SK
김용의LG,8500,1,1,1,1,1,0,0,0,LG
김재호두산,65000,0.7775,0.7775,유,0.5702,0.5702,0,49000,49000,두산
김재환*두산,73000,0.6241,0.7165,좌,0.3059,0.3059,0,165661,165661,두산
김주찬KIA,40000,0.7289,0.9163,1,0.3896,0.3896,0,62661,62661,KIA
김찬형NC,4300,0.9484,0.9484,유,0.1394,0.1394,0,26538.1,26538.1,NC
김태균한화,100000,0.8147,1,1,0.7317,1,0.2683,36661,0,한화
김태진NC,3300,0.5714,0.7126,좌,0.0282,0.0282,0,113930.5,113930.5,NC
김하성키움,32000,0.4874,0.5152,유,0.128,0.128,0,218000,218000,키움
김헌곤삼성,15500,0.5658,0.6871,좌,0.1237,0.1237,0,109839,109839,삼성
김현수LG,130000,0.7714,0.788,좌,0.6724,0.6724,0,63339,63339,LG
김혜성키움,7000,0.8501,0.8501,2,0.3526,0.3526,0,12851.95,12851.95,키움
나종덕롯데,4300,1,1,포,1,1,0,0,0,롯데
나주환SK,32000,0.8805,0.8946,2,0.6905,0.6905,0,14333.45,14333.45,SK
나지완KIA,60000,1,1,좌,1,1,0,0,0,KIA
