Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_18
백창수,169.0,152.0,18.0,21.0,37.0,15.0,1.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,36.0,5.0,4.0,24.0,6.833333333,40.0,10.0,외,5000
김창혁,10.0,10.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,포,2700
김응민,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,3000
이해창,174.0,162.0,24.0,19.0,35.0,4.0,0.0,8.0,0.0,3.0,1.0,0.0,8.0,0.0,3.0,49.0,3.0,2.0,22.0,7.666666667,49.0,12.0,포,7100
백상원,8.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,내,6000
정훈,194.0,174.0,26.0,33.0,53.0,10.0,1.0,7.0,4.0,2.0,0.0,3.0,16.0,1.0,1.0,39.0,4.0,2.0,40.0,9.666666666,48.0,13.0,내,10000
오태곤,374.0,342.0,39.0,55.0,87.0,17.0,2.0,12.0,13.0,8.0,3.0,1.0,24.0,0.0,4.0,92.0,7.0,2.0,65.0,13.833333333,89.0,22.0,내,8300
이상호,204.0,187.0,8.0,32.0,47.0,2.0,0.0,0.0,13.0,5.0,7.0,0.0,8.0,0.0,2.0,15.0,8.0,2.0,49.0,5.333333333000001,35.0,7.0,내,8000
홍재호,87.0,76.0,9.0,16.0,20.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,12.0,2.0,4.0,24.0,3.0,17.0,4.0,내,3500
이인행,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,외,3200
최윤석,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,내,4800
유강남,465.0,425.0,66.0,53.0,126.0,33.0,0.0,19.0,0.0,0.0,2.0,1.0,28.0,1.0,9.0,80.0,21.0,7.0,81.0,23.666666666,117.0,33.0,포,18500
정병곤,16.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.5,2.0,1.0,내,4500
김재율,41.0,36.0,3.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,9.0,1.0,0.0,7.0,2.0,5.0,2.0,내,6800
이천웅,405.0,359.0,39.0,61.0,122.0,22.0,3.0,2.0,10.0,10.0,2.0,2.0,39.0,2.0,3.0,48.0,11.0,1.0,76.0,21.833333332,91.0,29.0,외,8000
최영진,140.0,126.0,18.0,13.0,37.0,7.0,0.0,4.0,2.0,4.0,2.0,2.0,10.0,0.0,0.0,30.0,6.0,3.0,29.0,5.333333333000001,38.0,8.0,내,3300
김동한,96.0,83.0,9.0,11.0,16.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,9.0,0.0,0.0,18.0,1.0,3.0,19.0,1.833333333,18.0,3.0,내,6300
정진호,299.0,269.0,37.0,53.0,81.0,12.0,1.0,2.0,8.0,1.0,9.0,1.0,19.0,0.0,1.0,44.0,8.0,0.0,54.0,18.666666666,78.0,24.0,외,8500
고종욱,351.0,330.0,54.0,47.0,92.0,22.0,0.0,6.0,17.0,4.0,1.0,4.0,15.0,1.0,1.0,96.0,2.0,3.0,68.0,18.166666665,93.0,29.0,외,11000
홍성갑,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,외,3000
