Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_18,OBP,SLG,OPS
가르시아,206,183,34,27,62,9,0,8,5,0,0,6,9,0,8,25,3,9,33,9.333333333,57,15,내,800000,0.383495146,0.519125683,0.902620829
강경학,289,245,27,42,68,11,1,5,6,3,1,1,38,0,4,59,7,2,60,10.75,71,18,내,5800,0.381944444,0.391836735,0.773781179
강구성,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,외,2700,0.2,0.4,0.6
강민국,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,내,2700,0.25,0.25,0.5
강민호,477,427,71,46,115,14,0,22,0,0,0,7,29,5,14,96,11,8,85,18.66666667,120,27,포,100000,0.331236897,0.456674473,0.78791137
강백호,585,527,84,108,153,32,2,29,3,5,0,3,52,0,3,124,4,6,70,20.83333333,107,33,외,2700,0.355555556,0.523719165,0.879274721
강상원,7,6,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,1,0,외,3000,0.142857143,0,0.142857143
강승호,212,184,31,14,47,10,0,3,1,1,6,1,18,0,3,57,2,11,47,12.5,56,19,내,6600,0.330097087,0.358695652,0.68879274
강진성,75,68,1,5,16,3,0,0,0,0,2,1,4,0,0,17,3,0,17,1,13,1,내,3000,0.273972603,0.279411765,0.553384367
강한울,209,193,8,20,50,5,2,0,3,4,3,0,12,0,1,34,1,4,52,6,47,8,내,15500,0.305825243,0.305699482,0.611524725
고명성,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,내,2700,0,0,0
고종욱,351,330,54,47,92,22,0,6,17,4,1,4,15,1,1,96,2,3,68,18.16666667,93,29,외,11000,0.308571429,0.4,0.708571429
구자욱,529,478,84,100,159,26,5,20,10,0,1,2,43,2,5,110,4,4,97,30.58333334,127,48,외,25000,0.392045455,0.533472803,0.925518258
국해성,28,24,1,4,8,3,0,0,1,0,0,0,3,0,1,5,1,0,6,1,5,1,외,5000,0.428571429,0.458333333,0.886904762
권정웅,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,포,4500,0,0,0
권희동,391,343,57,43,97,19,1,8,1,3,5,4,35,2,4,58,5,0,74,15.25,96,24,외,13000,0.352331606,0.413994169,0.766325775
김강민,267,235,46,40,70,14,0,14,10,6,5,0,22,0,5,57,1,2,50,13.5,62,17,외,60000,0.370229008,0.536170213,0.90639922
김규민,336,298,40,47,88,9,2,3,8,4,1,4,27,0,6,89,3,7,67,22.66666667,78,31,외,2900,0.36119403,0.369127517,0.730321547
김기연,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,포,2700,,,
김동엽,446,421,76,58,106,15,0,27,11,2,1,3,17,0,4,108,13,3,69,19.5,97,32,외,11500,0.285393258,0.479809976,0.765203235
김동욱,12,11,0,2,1,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,4,0,내,4000,0.166666667,0.090909091,0.257575758
