,RBI,RUN,HIT,HR,SB,OPS,Money_19,kWAR_score
이정후,68.0,91.0,193.0,6.0,13.0,0.84241,23000.0,290.201
김하성,104.0,112.0,166.0,19.0,33.0,0.88016,32000.0,785.83
정은원,57.0,83.0,148.0,8.0,14.0,0.69127,5500.0,702.721
이천웅,48.0,88.0,168.0,2.0,21.0,0.75129,15000.0,420.339
최정,99.0,86.0,147.0,29.0,3.0,0.91823,120000.0,661.361
전준우,83.0,85.0,164.0,22.0,8.0,0.83941,50000.0,232.726
김현수,82.0,75.0,160.0,11.0,3.0,0.80701,130000.0,166.4
박해민,44.0,64.0,121.0,5.0,24.0,0.64617,36000.0,456.506
김재환,91.0,76.0,140.0,15.0,3.0,0.79671,73000.0,202.0
손아섭,63.0,78.0,151.0,10.0,13.0,0.76018,150000.0,210.134
유한준,86.0,61.0,159.0,14.0,3.0,0.82568,60000.0,74.774
최형우,86.0,65.0,137.0,17.0,0.0,0.89726,150000.0,70.0
이대호,88.0,48.0,138.0,16.0,0.0,0.79024,250000.0,0.0
오지환,53.0,63.0,119.0,9.0,27.0,0.71732,40000.0,864.065
이명기,36.0,62.0,142.0,2.0,14.0,0.71257,22000.0,244.788
김상수,38.0,76.0,127.0,5.0,21.0,0.71224,25000.0,585.671
박찬호,49.0,60.0,131.0,2.0,39.0,0.61783,4200.0,734.27
허경민,60.0,71.0,137.0,4.0,11.0,0.72062,38500.0,631.056
박건우,64.0,83.0,146.0,10.0,12.0,0.86245,38500.0,209.003
박병호,98.0,92.0,121.0,33.0,0.0,0.95868,150000.0,0.0
오재일,102.0,76.0,137.0,21.0,2.0,0.86327,30000.0,0.0
박민우,45.0,89.0,161.0,1.0,18.0,0.83643,38000.0,547.529
구자욱,71.0,66.0,127.0,15.0,11.0,0.77121,30000.0,172.499
김민혁,32.0,68.0,131.0,0.0,22.0,0.64795,3900.0,215.58900000000003
채은성,72.0,59.0,148.0,12.0,2.0,0.79202,31000.0,175.493
정수빈,41.0,75.0,117.0,0.0,26.0,0.6847,24500.0,401.017
고종욱,56.0,76.0,159.0,3.0,31.0,0.76771,11000.0,102.206
황재균,67.0,78.0,127.0,20.0,10.0,0.82352,120000.0,602.866
박세혁,63.0,58.0,123.0,4.0,8.0,0.73548,10000.0,1062.025
강백호,65.0,72.0,147.0,13.0,9.0,0.91128,12000.0,127.421
이재원,75.0,33.0,121.0,12.0,1.0,0.71759,140000.0,1034.754
한동민,52.0,52.0,113.0,12.0,0.0,0.77029,33000.0,151.134
김태균,62.0,47.0,132.0,6.0,3.0,0.77692,100000.0,0.0
박경수,65.0,43.0,104.0,10.0,0.0,0.71069,40000.0,580.759
