,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
60100,48.0,44.0,3.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,7.0,1.0,6.0,1.0
60140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60184,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
60288,13.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0
60339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60343,43.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,1.0,7.0,1.0,13.0,1.0
60523,222.0,190.0,17.0,26.0,43.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,23.0,1.0,5.0,47.0,4.0,4.0,43.0,7.5,51.0,9.0
60558,392.0,352.0,35.0,63.0,88.0,16.0,1.0,6.0,19.0,2.0,3.0,2.0,31.0,0.0,4.0,78.0,8.0,9.0,74.0,12.5,82.0,18.0
60559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60566,256.0,234.0,12.0,30.0,65.0,7.0,0.0,0.0,10.0,5.0,8.0,3.0,9.0,0.0,2.0,22.0,10.0,5.0,42.0,4.5,39.0,7.0
60605,20.0,19.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,3.0,1.3333333330000001,4.0,2.0
60634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60648,20.0,16.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,1.0,5.0,1.0
60757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60805,15.0,12.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,4.0,1.5,4.0,2.0
60845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61102,468.0,418.0,49.0,44.0,113.0,22.0,0.0,16.0,0.0,0.0,1.0,6.0,30.0,2.0,13.0,82.0,21.0,7.0,78.0,15.166666666,100.0,21.0
61104,31.0,27.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,7.0,2.5,9.0,3.0
61114,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
61186,613.0,546.0,48.0,88.0,168.0,24.0,3.0,2.0,21.0,10.0,4.0,1.0,57.0,1.0,5.0,82.0,13.0,1.0,122.0,21.399999999,105.0,35.0
61197,275.0,251.0,20.0,29.0,63.0,15.0,1.0,5.0,4.0,1.0,8.0,0.0,14.0,2.0,2.0,47.0,4.0,8.0,59.0,7.666666666999999,57.0,13.0
61204,85.0,78.0,2.0,9.0,22.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,15.0,1.0,2.0,23.0,1.5,12.0,2.0
61208,110.0,96.0,3.0,13.0,20.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,11.0,0.0,0.0,24.0,2.0,0.0,26.0,3.5,20.0,4.0
61329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61353,513.0,492.0,56.0,76.0,159.0,25.0,7.0,3.0,31.0,10.0,0.0,2.0,18.0,1.0,1.0,89.0,5.0,3.0,103.0,29.333333333,126.0,43.0
61404,467.0,411.0,46.0,57.0,122.0,20.0,1.0,5.0,10.0,8.0,5.0,6.0,37.0,1.0,8.0,41.0,18.0,0.0,108.0,22.416666667,99.0,31.0
61456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61554,140.0,125.0,14.0,14.0,32.0,6.0,0.0,2.0,5.0,2.0,2.0,1.0,9.0,0.0,3.0,41.0,4.0,2.0,30.0,7.5,30.0,8.0
61566,162.0,149.0,17.0,14.0,38.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,28.0,1.0,1.0,40.0,11.75,48.0,14.0
61591,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61700,135.0,113.0,12.0,21.0,27.0,4.0,0.0,0.0,1.0,2.0,3.0,1.0,15.0,0.0,3.0,32.0,3.0,4.0,25.0,6.0,27.0,6.0
61743,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61869,17.0,16.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,2.0,1.0
62025,285.0,256.0,36.0,31.0,66.0,11.0,0.0,8.0,1.0,2.0,5.0,3.0,20.0,0.0,1.0,47.0,5.0,4.0,49.0,13.166666667000001,68.0,19.0
62164,24.0,21.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0
62234,316.0,276.0,34.0,36.0,69.0,6.0,2.0,0.0,18.0,5.0,6.0,3.0,24.0,0.0,7.0,40.0,6.0,11.0,71.0,13.500000000000002,76.0,20.0
62244,505.0,441.0,63.0,58.0,123.0,19.0,9.0,4.0,8.0,2.0,10.0,6.0,41.0,1.0,7.0,68.0,5.0,8.0,101.0,24.166666667,141.0,41.0
62265,202.0,175.0,26.0,23.0,51.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,35.0,6.0,3.0,38.0,10.333333333,44.0,15.0
62353,88.0,71.0,7.0,13.0,14.0,2.0,1.0,0.0,6.0,5.0,1.0,0.0,11.0,0.0,5.0,31.0,1.0,0.0,25.0,4.916666667,25.0,8.0
62356,250.0,222.0,24.0,33.0,55.0,8.0,1.0,3.0,2.0,4.0,0.0,2.0,22.0,0.0,4.0,68.0,4.0,1.0,50.0,9.75,66.0,14.0
62404,526.0,475.0,71.0,66.0,127.0,27.0,6.0,15.0,11.0,3.0,0.0,6.0,38.0,2.0,7.0,88.0,5.0,2.0,95.0,20.666666667,106.0,32.0
62409,34.0,32.0,2.0,10.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,8.0,1.0,9.0,1.0
62415,581.0,506.0,44.0,64.0,121.0,16.0,7.0,5.0,24.0,7.0,12.0,3.0,58.0,0.0,2.0,82.0,4.0,2.0,102.0,19.333333333,117.0,28.0
62499,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
62537,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
62556,413.0,375.0,26.0,43.0,96.0,9.0,0.0,1.0,3.0,3.0,5.0,1.0,24.0,1.0,8.0,62.0,9.0,15.0,82.0,14.583333332999999,94.0,21.0
