Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,¿¬ºÀ»ó½Â·ü,¿¬ºÀ»ó½ÂÆø
ÀÌ´ëÈ£,0.8323,0.8009,0.8316,0.4074,0.6765,0.5833,0.1,0.4848,0.0,0.0,0.0,0.6364,0.519,0.4444,0.3846,0.4583,0.8261,0.0385,0.7155,0.7454,0.7559,0.6182,1.0,1.0,0.6689,0.6332,0.6473,0.6525,0.4544,0.5469,0.7034,0.7034,0.6637,0.4915,0.0,0.0803,0.4928,0.2102,0.5
¹Úº´È£,0.7971,0.6823,0.9368,0.8148,0.5765,0.5556,0.0,1.0,0.0,0.1,0.0,0.8182,0.9114,0.5556,0.5,1.0,0.3043,0.2308,0.7845,0.5278,0.6457,0.5455,0.5956,0.7973,0.8422,0.9627,0.9149,0.8974,1.0,0.9463,0.8611,0.8611,0.9152,1.0,0.0,0.1801,0.5226,0.322,1.0
¾çÀÇÁö,0.646,0.5884,0.6211,0.5278,0.6765,0.6667,0.0,0.6061,0.1026,0.3,0.0,0.5455,0.5316,0.4444,0.5769,0.2292,0.5652,0.0769,0.6983,0.6806,0.5906,0.6545,0.7978,0.7973,1.0,1.0,1.0,1.0,0.7407,1.0,0.9044,0.9044,0.8218,0.7662,0.2764,0.2039,0.8,0.2102,0.5
¼Õ¾Æ¼·,0.8716,0.8613,0.5684,0.6852,0.7529,0.5556,0.1,0.303,0.3333,0.8,0.0625,0.1818,0.5823,0.1111,0.0385,0.7396,0.2609,0.1538,0.8017,0.5648,0.6929,0.5818,0.5956,0.7973,0.6873,0.5419,0.5996,0.6207,0.3506,0.5347,0.7091,0.7091,0.672,0.3148,0.4688,0.0422,0.7352,0.322,1.0
ÃÖÇü¿ì,0.8447,0.736,0.8105,0.5648,0.6706,0.8056,0.1,0.5152,0.0,0.1,0.0,0.6364,1.0,0.6667,0.2692,0.5833,0.5652,0.0,0.8276,0.6713,0.8031,0.5818,0.5956,0.5946,0.8987,0.7638,0.8173,0.8369,0.7658,0.8131,0.8701,0.8701,0.8411,0.6238,0.0,0.1252,0.6443,0.2102,0.5
±èÇö¼ö,0.9275,0.8926,0.7684,0.6574,0.8059,0.9722,0.0,0.3333,0.0769,0.1,0.0,0.8182,0.6076,1.0,0.2308,0.3229,0.4783,0.0385,0.9397,0.7894,0.874,0.8,0.5148,0.5136,0.7271,0.639,0.674,0.6868,0.4563,0.6019,0.8417,0.8417,0.7777,0.4231,0.1955,0.0539,0.5934,0.2102,0.5
ÀÌÀç¿ø,0.735,0.7248,0.6947,0.2685,0.5765,0.4722,0.0,0.3636,0.0256,0.0,0.0625,0.6364,0.3544,0.2222,0.3462,0.3958,0.6957,0.2308,0.7155,0.6551,0.7638,0.6545,0.5552,0.5136,0.5574,0.5152,0.5319,0.5381,0.323,0.4234,0.5553,0.5553,0.5145,0.3794,0.0766,0.0916,0.4118,0.1864,0.4
°­¹ÎÈ£,0.5093,0.4899,0.3789,0.2963,0.3412,0.5,0.0,0.3939,0.0,0.0,0.125,0.2727,0.3418,0.2222,0.3462,0.5729,0.3913,0.3077,0.4483,0.2824,0.3937,0.2909,0.4945,0.4933,0.5063,0.5531,0.5345,0.5277,0.5213,0.4598,0.4033,0.4033,0.393,0.57,0.0,0.2371,0.3043,0.2102,0.5
¹Îº´Çå,0.5652,0.5414,0.3579,0.4444,0.5235,0.6111,0.2,0.2727,0.3333,0.6,0.0625,0.2727,0.4557,0.0,0.1923,0.3542,0.3913,0.0769,0.5431,0.2644,0.378,0.3636,0.4945,0.4933,0.7661,0.6793,0.7137,0.7263,0.5542,0.678,0.6185,0.6185,0.5568,0.4858,0.4411,0.1935,0.6935,0.2102,0.5
ÃÖÁ¤,0.9503,0.8412,0.9474,0.7593,0.7294,0.6944,0.0,0.8788,0.0769,0.2,0.0,0.7273,0.7975,0.6667,1.0,0.7396,0.1739,0.5385,1.0,0.7917,0.8346,0.7818,0.4743,0.473,0.8456,0.8539,0.8506,0.8494,0.7685,0.8794,0.9943,0.9943,1.0,0.7903,0.2255,0.1095,0.5234,0.2102,0.5
È²Àç±Õ,0.7453,0.7181,0.6105,0.6852,0.6118,0.3889,0.3,0.6061,0.2564,0.7,0.0,0.4545,0.5823,0.2222,0.0769,0.5208,0.4348,0.4231,0.5862,0.4815,0.5354,0.4182,0.4743,0.473,0.6761,0.716,0.7002,0.6944,0.5887,0.6436,0.7035,0.7035,0.6774,0.6191,0.5529,0.1166,0.4861,0.2102,0.5
¹Ú¿ëÅÃ,0.1408,0.1521,0.1368,0.1389,0.1882,0.1944,0.0,0.0303,0.0769,0.1,0.0,0.1818,0.1519,0.1111,0.0,0.0938,0.1304,0.0,0.1983,0.1366,0.189,0.1636,0.3126,0.3109,0.6062,0.3923,0.4772,0.5083,0.2101,0.3917,0.2737,0.2737,0.1873,0.1424,0.0622,0.5635,0.6448,0.2102,0.5
¹Ú¼®¹Î,0.6149,0.5213,0.6842,0.4167,0.4294,0.4167,0.1,0.5758,0.0256,0.2,0.25,0.2727,0.7468,0.2222,0.4615,0.5,0.7391,0.4231,0.6293,0.4745,0.5669,0.4727,0.2924,0.2704,0.8209,0.7457,0.7755,0.7865,0.7995,0.7406,0.6291,0.6291,0.6042,0.7293,0.0788,0.2228,0.4029,0.1864,0.45
