Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,¿¬ºÀ»ó½Â·ü,¿¬ºÀ»ó½ÂÆø
¹Úº´È£,532,432,98,92,121,22,0,33,0,1,0,9,78,5,13,117,7,6,110,21.0,117,34,150000,200000,0.3984962406015037,0.5601851851851852,0.9586814257866888,0.319369604566973,0.5856481481481481,1.0438871473354232,81.93949674185461,3.034796175624245,98.34399999999998,0.2800925925925926,0.0,0.7706660341555976,0.3024054982817869,0.33,50000
¼Õ¾Æ¼·,568,512,63,78,151,22,1,10,13,8,1,2,52,1,1,92,6,4,112,22.33333333,123,36,150000,200000,0.3597883597883597,0.400390625,0.7601789847883598,0.2620024181547619,0.28125,0.7226666666666667,66.2069613458529,2.4521096794760333,73.324,0.10546875,11.304347826086955,0.5887173144876325,0.3422330097087379,0.33,50000
¿ÀÁöÈ¯,547,473,53,63,119,23,5,9,27,5,7,3,57,1,7,113,7,12,112,19.66666667,125,32,40000,60000,0.3388888888888889,0.3784355179704017,0.7173244068592906,0.2471088794926004,0.3720930232558139,0.7377049180327869,53.85896063375998,1.994776319768888,66.686,0.1268498942917547,13.5,0.6310556586270871,0.3107344632768362,0.5,20000
±èÇÏ¼º,625,540,104,112,166,38,2,19,33,4,1,7,70,4,7,80,12,20,125,38.0,162,59,32000,55000,0.3894230769230769,0.4907407407407407,0.8801638176638177,0.2979255698005698,0.4759259259259259,0.9615384615384616,96.32271448888888,3.567507944032922,104.67000000000002,0.1833333333333333,24.115384615384617,0.6252,0.328125,0.72,23000
¹Ú¹Î¿ì,526,468,45,89,161,23,8,1,18,7,2,6,41,1,9,40,10,9,100,25.83333333,96,32,38000,52000,0.4026717557251908,0.4337606837606838,0.8364324394858746,0.2896424610165068,0.2692307692307692,0.8364197530864198,80.63714127587644,2.986560787995424,79.37999999999998,0.0897435897435897,1.894736842105263,0.5993862332695984,0.3695150115473441,0.37,14000
ÀÌ¼º¿­,476,414,85,60,106,21,1,21,8,4,1,4,48,1,9,114,7,5,93,25.33333333,118,37,32000,50000,0.3431578947368421,0.463768115942029,0.8069260106788712,0.2703630816170862,0.4371980676328502,0.8056426332288401,52.84577366946769,1.9572508766469516,67.648,0.2077294685990338,11.586206896551724,0.7561940928270042,0.3003533568904594,0.56,18000
Çã°æ¹Î,540,475,60,71,137,25,1,4,11,5,3,11,34,2,17,36,16,8,103,26.66666667,111,36,38500,48000,0.3500931098696462,0.3705263157894737,0.7206194256591198,0.2501734783887092,0.2294736842105263,0.6629526462395543,59.66739197530865,2.209903406492913,63.402000000000015,0.0821052631578947,5.866666666666666,0.603203738317757,0.2982062780269058,0.25,9500
¿ÀÀçÀÏ,529,467,102,76,137,29,1,21,2,1,0,4,55,1,3,99,5,4,94,27.7,131,45,30000,47000,0.3686200378071834,0.4946466809421841,0.8632667187493676,0.2895406872487785,0.430406852248394,0.8660714285714286,73.51494039067416,2.7227755700249685,83.968,0.2012847965738758,3.652173913043478,0.6992253787878787,0.3304843304843304,0.57,17000
±è¼±ºó,447,394,40,55,115,22,0,3,5,4,5,4,43,0,1,26,7,10,89,18.66666667,91,27,30000,45000,0.3597285067873303,0.3705583756345177,0.730286882421848,0.2545174219629281,0.2538071065989847,0.6724137931034483,52.8426434004474,1.957134940757311,53.51200000000001,0.0786802030456852,3.75,0.7075950226244343,0.3035230352303523,0.5,15000
¹Ú°Ç¿ì,537,458,64,83,146,27,5,10,12,3,1,11,60,0,7,57,23,3,115,23.66666667,116,33,38500,45000,0.3973880597014925,0.4650655021834061,0.8624535618848986,0.2950910024115232,0.388646288209607,0.863905325443787,76.8712961721497,2.847085043412952,82.08399999999999,0.1462882096069868,10.909090909090908,0.6532873134328359,0.3383084577114428,0.17,6500
ÀÌÁ¤ÈÄ,630,574,68,91,193,31,10,6,13,7,3,4,45,0,4,40,15,2,130,27.66666667,137,42,23000,39000,0.3859649122807017,0.4564459930313589,0.8424109053120606,0.2877957087841555,0.2909407665505226,0.8039702233250621,95.03027160493832,3.5196396890717896,92.56000000000002,0.1202090592334494,8.210526315789474,0.5330988835725677,0.3515037593984962,0.7,16000
Á¤¼öºó,513,441,41,75,117,19,5,0,26,8,4,5,57,0,6,60,6,3,93,20.33333333,110,27,24500,34000,0.3536345776031434,0.3310657596371882,0.6847003372403316,0.2419019998307116,0.2902494331065759,0.6952662721893491,53.45886722980293,1.9799580455482568,59.06999999999999,0.0657596371882086,0.0,0.620351669941061,0.3031088082901554,0.39,9500
Ã¤Àº¼º,514,470,72,59,148,18,1,12,2,2,0,8,24,1,12,67,9,2,112,24.65,133,44,31000,32000,0.357976653696498,0.4340425531914894,0.7920192068879874,0.2696001324612965,0.2361702127659574,0.7267267267267268,66.5002220060527,2.462971185409359,71.764,0.1191489361702127,3.4285714285714284,0.6257348927875244,0.3408521303258145,0.03,1000
ÀÌÁö¿µ,331,308,39,40,87,5,1,1,5,1,6,1,15,1,1,28,14,3,54,20.33333333,91,28,21000,30000,0.3169230769230769,0.3149350649350649,0.6318581418581419,0.2213491508491508,0.1168831168831168,0.5,27.114075058744504,1.0042250021757224,27.326,0.0324675324675324,1.6666666666666667,0.8231327160493827,0.3071428571428571,0.43,9000
ÀÌÃµ¿õ,613,546,48,88,168,24,3,2,21,10,4,1,57,1,5,82,13,1,122,21.4,105,35,15000,28000,0.3776683087027914,0.3736263736263736,0.7512946823291651,0.2633573323228495,0.2435897435897435,0.71571072319202,71.92514290375209,2.663894181620448,75.394,0.0659340659340659,3.652173913043478,0.53459375,0.3585313174946004,0.87,13000
ÀÌ¸í±â,547,484,36,62,142,17,3,2,14,4,7,4,48,2,4,66,12,2,126,19.0,108,29,22000,24000,0.3592592592592593,0.3533057851239669,0.7125650443832262,0.2499931129476584,0.2252066115702479,0.6620111731843575,59.338395287426295,2.197718343978752,62.99199999999998,0.0599173553719007,3.5,0.5733085501858736,0.3333333333333333,0.09,2000
¹Ú¼¼Çõ,505,441,63,58,123,19,9,4,8,2,10,6,41,1,7,68,5,8,101,24.16666667,141,41,10000,23200,0.3454545454545454,0.3900226757369615,0.7354772211915069,0.2529602143887858,0.2902494331065759,0.7015384615384616,57.09437799779977,2.1146065925111026,62.93599999999999,0.1111111111111111,5.333333333333333,0.6342267206477733,0.3173333333333333,1.32,13200
À¯°­³²,468,418,49,44,113,22,0,16,0,0,1,6,30,2,13,82,21,7,78,15.16666667,100,21,21000,23000,0.3340471092077088,0.4377990430622009,0.7718461522699098,0.2597709599090192,0.3301435406698564,0.6932515337423313,47.12073974358981,1.7452125830959189,57.204,0.1674641148325358,0.0,0.7286903225806451,0.2975460122699386,0.1,2000
