Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%,FPCT
°­°æÇÐ,0.058935361216730014,0.05144032921810701,0.0891089108910891,0.15740740740740738,0.07262569832402235,0.10526315789473684,0.0,0.0,0.02564102564102564,0.2,0.1875,0.09090909090909091,0.14634146341463414,0.0,0.11538461538461539,0.1904761904761905,0.13043478260869565,0.15384615384615385,0.08333333333333334,0.11111111113580247,0.049295774647887314,0.07017543859649122,8800,7800,0.5985192729551864,0.1897478477472359,0.3294467663101225,0.3898118846694796,0.1603437261730583,0.26989129593382655,0.1475012015195902,0.1475007042473943,0.07035517797779894,0.05619841086168327,0.0,0.6986061729328994,0.45913709321160356,0.16982485317810925,0.7494112059778626
°­·ÎÇÑ,0.3840304182509505,0.41152263374485604,0.21782178217821782,0.3148148148148148,0.3072625698324023,0.39473684210526316,0.6000000000000001,0.12121212121212122,0.1794871794871795,0.1,0.0625,0.09090909090909091,0.12195121951219512,0.0,0.11538461538461539,0.9047619047619049,0.13043478260869565,0.7692307692307693,0.2916666666666667,0.23148148141023664,0.2676056338028169,0.24561403508771928,2900,5300,0.3547869006581009,0.409692785036927,0.3839059290217469,0.3773734177215189,0.3530199682650896,0.31190215528204446,0.24681139644350203,0.24681002013625883,0.250082622134956,0.44198873717503673,0.2111063561926041,0.19236042817157117,0.5912973052569578,0.5255340159035394,0.3602693598215492
°­¹ÎÈ£,0.5494296577946768,0.5308641975308643,0.4158415841584159,0.2962962962962963,0.3743016759776536,0.5263157894736842,0.0,0.3939393939393939,0.0,0.0,0.125,0.2727272727272727,0.36585365853658536,0.2222222222222222,0.34615384615384615,0.6095238095238096,0.3913043478260869,0.3076923076923077,0.4666666666666667,0.2824074075199331,0.4577464788732394,0.3157894736842105,125000,125000,0.4953776245691007,0.47441331993182717,0.47671601615074033,0.48092475386779177,0.5036165433676099,0.39681960433046926,0.4032737363515827,0.4032729245568458,0.3930480763622932,0.5773740646455296,0.0,0.14788372796731974,0.20979973494330728,0.8131905826100515,0.8649060481350936
°­¹éÈ£,0.7623574144486692,0.7201646090534981,0.6138613861386139,0.6296296296296295,0.7430167597765364,0.763157894736842,0.1,0.3939393939393939,0.23076923076923075,0.5,0.0,0.36363636363636365,0.7073170731707317,0.4444444444444444,0.07692307692307693,0.7142857142857143,0.4782608695652174,0.11538461538461539,0.7333333333333333,0.5347222222351465,0.676056338028169,0.543859649122807,12000,21000,0.8920401128172984,0.6728357295809118,0.7488418219168379,0.7809862869198313,0.5965957096049621,0.7032920855035444,0.8226355181266436,0.8226339895875718,0.7781838682711563,0.5361027539921315,0.4410612646369247,0.08151146077615551,0.689368281549109,0.9824645288706408,0.7565588798798046
°­Áø¼º,0.0,0.018518518518518517,0.10891089108910892,0.06481481481481481,0.055865921787709494,0.10526315789473684,0.1,0.06060606060606061,0.05128205128205128,0.1,0.0,0.0,0.0,0.0,0.15384615384615385,0.0761904761904762,0.2608695652173913,0.038461538461538464,0.04999999999999999,0.08333333335879631,0.06338028169014084,0.07017543859649122,3200,3800,0.4307427138827954,0.40123672595376486,0.4058936034568251,0.41148030942334746,0.24775897953716486,0.2843225071603136,0.13490212747458696,0.13490250086074684,0.044557631369194585,0.3968217233665047,0.08293462512305426,0.9396607156365835,0.32682962744809296,0.12451535782963463,0.552188553084175
°íÁ¾¿í,0.7775665399239543,0.831275720164609,0.5247524752475248,0.6666666666666667,0.8100558659217877,0.6578947368421052,0.7000000000000001,0.09090909090909091,0.7948717948717948,1.0,0.0,0.18181818181818182,0.18292682926829268,0.1111111111111111,0.038461538461538464,0.7333333333333334,0.21739130434782608,0.11538461538461539,0.7333333333333333,0.7592592591733538,0.7464788732394366,0.719298245614035,11000,17000,0.6222970855531181,0.5096141240221999,0.5454416660763618,0.5626758087201126,0.2701382735384425,0.4789613951276692,0.6820307250899026,0.6820296931568021,0.6257120083982971,0.295957725835069,0.2268506654259647,0.023772600045389225,0.6755632454719481,0.9575489839405437,0.6873040751308785
±¸ÀÚ¿í,0.8022813688212928,0.7962962962962963,0.6732673267326732,0.574074074074074,0.6312849162011173,0.7105263157894737,0.6000000000000001,0.4545454545454546,0.28205128205128205,0.30000000000000004,0.0,0.5454545454545454,0.426829268292683,0.2222222222222222,0.2692307692307693,0.7238095238095239,0.21739130434782608,0.07692307692307693,0.6666666666666666,0.5185185186244856,0.6056338028169014,0.5263157894736842,30000,28000,0.5440300846129741,0.5609185858497574,0.5504002266770561,0.548962728551336,0.5313742864796918,0.4916674960466222,0.654744951806385,0.654744019113796,0.6520344485701511,0.6017511378538919,0.5263159858977965,0.058608820636961934,0.3377632160212046,0.9507613949378931,0.893939391924242
±ÇÈñµ¿,0.5874524714828897,0.5349794238683128,0.37623762376237624,0.3055555555555555,0.4189944134078213,0.4473684210526315,0.0,0.18181818181818182,0.07692307692307693,0.0,0.3125,0.2727272727272727,0.573170731707317,0.1111111111111111,0.2692307692307693,0.4571428571428572,0.43478260869565216,0.15384615384615385,0.6916666666666667,0.31481481474125517,0.5422535211267605,0.3508771929824561,14000,13500,0.6648386085866499,0.36887645850631484,0.46957568888574064,0.5134054149085795,0.41644857502009186,0.4186931183580489,0.4688164730147153,0.4688148820516031,0.42131456676840534,0.3075676926637353,0.16586925024610852,0.12109463650805657,0.31909880724488293,0.869393482667221,0.7032905783876178
±è°­¹Î,0.6768060836501901,0.6872427983539096,0.4653465346534653,0.46296296296296297,0.5586592178770949,0.3684210526315789,0.2,0.24242424242424243,0.3846153846153846,0.8,0.0,0.2727272727272727,0.3414634146341463,0.3333333333333333,0.15384615384615385,0.8666666666666667,0.08695652173913043,0.11538461538461539,0.5333333333333333,0.5416666666793981,0.5915492957746479,0.5087719298245613,40000,35000,0.5319257286117204,0.39804658480094396,0.4404193525536587,0.4609704641350211,0.2670059966616523,0.37865065410432497,0.472168845502694,0.47216918630734406,0.46744687882734903,0.3035562755534984,0.4327022837707721,0.06349288902337547,0.48972905315859216,0.8717114495088614,0.8685770778586956
±è±Ô¹Î,0.2775665399239544,0.2757201646090535,0.2079207920792079,0.2685185185185185,0.22905027932960895,0.21052631578947367,0.1,0.09090909090909091,0.05128205128205128,0.4,0.0,0.18181818181818182,0.23170731707317074,0.0,0.15384615384615385,0.5333333333333333,0.17391304347826086,0.038461538461538464,0.2916666666666667,0.2152777777995756,0.323943661971831,0.21052631578947367,5800,5400,0.5322782826700093,0.31864266049032036,0.38906283204646874,0.421193741209564,0.2325509510169596,0.30683740835351503,0.23182541618464997,0.2318252005800912,0.19479383347265697,0.24978785774897788,0.0995215501476651,0.2822027006581435,0.4981593285230451,0.4797047970479705,0.9024926702793259
±èµµÈ¯,0.0038022813688212975,0.010288065843621408,0.03960396039603961,0.027777777777777776,0.027932960893854747,0.15789473684210525,0.0,0.06060606060606061,0.0,0.0,0.25,0.09090909090909091,0.06097560975609756,0.0,0.0,0.22857142857142856,0.0,0.038461538461538464,0.033333333333333326,0.08333333335879631,0.007042253521126751,0.05263157894736842,2700,5000,0.30002350360388597,0.31864266049032036,0.3050648154707092,0.30392932489451474,0.37958250046365943,0.2450983644627277,0.11202384201285323,0.11202228551754359,0.046812729640933935,0.4173416647381008,0.0,0.9775039715560936,0.3645265792961273,0.054331895431630375,0.9447903700552089
±èµ¿¿±,0.20342205323193915,0.220164609053498,0.21782178217821782,0.10185185185185186,0.1564245810055866,0.10526315789473684,0.1,0.18181818181818182,0.05128205128205128,0.1,0.0,0.18181818181818182,0.10975609756097562,0.0,0.07692307692307693,0.33333333333333337,0.08695652173913043,0.038461538461538464,0.19166666666666665,0.16203703705105452,0.18309859154929578,0.15789473684210525,18500,13500,0.3027264180507677,0.3298518550889306,0.31331019338386334,0.3109616736990155,0.26638778412018055,0.24356124694511716,0.19072924390002388,0.1907284526380586,0.14121580901650502,0.394391730309342,0.12440193768458138,0.36512784628186706,0.16731703725519065,0.3356790187620186,0.609970669026394
±è¹®È£,0.00950570342205323,0.030864197530864196,0.009900990099009903,0.018518518518518517,0.06145251396648044,0.18421052631578946,0.0,0.0,0.05128205128205128,0.0,0.0625,0.09090909090909091,0.01219512195121951,0.0,0.0,0.17142857142857146,0.043478260869565216,0.038461538461538464,0.033333333333333326,2.7777780076121417e-11,0.007042253521126751,0.0,8000,5000,0.3149482920714509,0.2691517720578596,0.2783735921229724,0.2865682137834037,0.1592721577678406,0.19420761039047207,0.12052948975870587,0.12052802904629253,0.042321973599797814,0.18178662346679014,0.0,0.8840542022845903,0.49068620232660864,0.07810404864612026,0.6899766859463874
±è¹Î¼º,0.564638783269962,0.5617283950617284,0.4653465346534653,0.37037037037037035,0.44692737430167595,0.42105263157894735,0.0,0.24242424242424243,0.05128205128205128,0.1,0.3125,0.09090909090909091,0.3292682926829268,0.0,0.15384615384615385,0.6,0.5217391304347826,0.23076923076923078,0.3416666666666667,0.45601851862622167,0.47887323943661975,0.4736842105263158,40000,40000,0.5292619868379819,0.40136782764497675,0.44160940709782537,0.46127812939521784,0.3014404352216293,0.333687202114366,0.39683030679202724,0.3968303650609827,0.35920216178386055,0.3470261513538533,0.13269540019688683,0.11681102957863676,0.38171845089088496,0.8063198378462658,0.7026825628427709
±è¹Î½Ä,0.022813688212927757,0.016460905349794247,0.10891089108910892,0.018518518518518517,0.011173184357541902,0.05263157894736842,0.0,0.0,0.05128205128205128,0.0,0.0,0.18181818181818182,0.14634146341463414,0.0,0.11538461538461539,0.1619047619047619,0.043478260869565216,0.11538461538461539,0.09166666666666667,2.7777780076121417e-11,0.028169014084507032,0.03508771929824561,14000,8800,0.4112347226574743,0.0,0.13868385634341585,0.19985056258790435,0.2099243719990933,0.18108129029404285,0.10609174054905218,0.1060909574634574,0.035692762300977864,0.0,0.0,0.819275285573795,0.10061110293034892,0.03974845382256639,0.8358700080732202
