,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Money_19,Money_20,OBP,SLG,OPS,선수 수
두산,4993,4313,599,643,1162,200,31,69,101,36,39,77,500,12,64,740,99,63,1002,219.533333333,1187,323,443000,452100,6.151440719,6.229688553,12.38112927,23
KT,4929,4380,502,574,1194,154,17,80,99,39,43,39,419,10,48,835,106,83,971,202.500000002,1126,299,329800,348700,5.974517199,6.016746496,11.9912637,21
키움,4670,4122,590,643,1166,197,32,81,107,30,32,39,414,12,63,779,97,72,908,230.249999997,1124,342,325600,439700,5.19918517,5.540188612,10.739373781,18
KIA,4507,3982,474,495,1046,191,16,64,79,34,27,42,412,12,44,763,85,82,874,182.91666667200002,1073,274,431400,426900,7.184555554,8.04433336,15.228888911999999,25
NC,5208,4580,563,624,1300,228,26,106,86,44,61,54,437,15,76,786,117,64,1050,208.16666665900001,1148,300,548400,564100,7.3266075520000005,8.373726835,15.700334385999998,23
LG,5005,4438,518,591,1193,217,15,75,105,44,47,45,404,17,71,831,111,59,961,191.383333346,1123,300,477400,486100,6.334873181,6.128952555999999,12.463825737,21
삼성,4726,4177,467,544,1052,187,24,93,114,43,58,42,378,9,71,827,84,84,918,165.08333333000002,1016,251,356400,365500,7.122288746000001,8.04016339,15.162452136,27
한화,4861,4325,485,523,1100,195,14,70,81,44,42,38,393,7,63,973,105,80,910,198.24999999899998,1073,274,360900,302300,6.643191263,7.3579337339999995,14.001124997999998,24
롯데,4678,4204,460,486,1071,184,14,77,57,26,29,34,355,11,56,914,96,88,886,174.349999985,1047,258,684300,716100,6.189511473999999,6.673211011999999,12.862722486,23
SK,4612,4105,501,505,1084,182,12,84,90,38,30,30,367,17,79,761,78,66,858,196.33333332600003,1029,290,516800,457400,5.348756817,5.393421373000001,10.742178192,21
