#,선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
1,이형종,LG,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,2.0,0.7,0.0,inf,0.6583333333333333,0.024382716049382715,0.5,0.0,,10.702,,1.0
2,이정후,Hero,2,10,9,5,3,2,0,0,2,5,1,0,0,1,0,0,0,0,0,0.556,0.6,0.7777777777777778,1.3777777777777778,0.46444444444444444,0.5555555555555556,2.0,3.215,0.11907407407407407,2.912,0.2222222222222222,,1.7525,,0.625
3,채은성,LG,3,14,11,6,4,2,0,0,3,0,3,0,0,1,0,0,0,0,0,0.545,0.6428571428571429,0.7272727272727273,1.3701298701298703,0.47110389610389614,0.6363636363636364,2.2,4.423095238095241,0.1638183421516756,4.002,0.18181818181818188,,1.4139285714285716,,0.6
4,강백호,KT,4,17,12,6,6,0,0,0,3,1,4,1,1,2,0,0,1,0,0,0.5,0.6470588235294118,0.5,1.1470588235294117,0.4161764705882353,0.3333333333333333,1.5714285714285714,3.9940392156862714,0.1479273783587508,3.684,0.0,,1.1219375,,0.6
5,김민성,LG,3,13,10,5,4,1,0,0,1,3,1,0,2,2,0,0,0,0,0,0.5,0.6153846153846154,0.6,1.2153846153846155,0.42692307692307696,0.3,1.8,3.464034188034187,0.12829756251978472,3.2739999999999996,0.09999999999999998,,1.3604615384615384,,0.625
6,안재석,두산,5,4,4,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.75,1.25,0.4125,0.5,1.5,1.0448333333333335,0.038697530864197534,1.0319999999999998,0.25,,3.21925,,0.6666666666666666
7,김호재,삼성,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.35,0.0,1.0,0.4958333333333329,0.01836419753086418,0.41000000000000003,0.0,,5.351,,0.5
8,문보경,LG,3,14,13,6,4,2,0,0,2,1,1,0,0,3,0,0,1,0,0,0.462,0.5,0.6153846153846154,1.1153846153846154,0.37884615384615383,0.38461538461538464,1.125,2.790571428571429,0.10335449735449737,2.756,0.15384615384615385,,1.3155000000000001,,0.6
9,페르난데스,두산,11,51,47,21,14,6,0,1,4,15,4,0,0,1,0,0,2,0,0,0.447,0.49019607843137253,0.6382978723404256,1.1284939507717981,0.38016270337922403,0.425531914893617,1.2142857142857142,12.190309368191706,0.45149293956265574,11.031999999999998,0.19148936170212771,0.0,0.8064901960784314,,0.4444444444444444
10,송성문,Hero,2,10,9,4,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0.444,0.5,0.6666666666666666,1.1666666666666665,0.39166666666666666,0.4444444444444444,1.4,2.5742222222222235,0.09534156378600828,2.33,0.2222222222222222,,1.6666,,0.4444444444444444
11,구자욱,삼성,2,10,7,3,1,1,0,1,3,2,3,0,0,1,0,0,0,0,0,0.429,0.6,1.0,1.6,0.52,1.2857142857142858,2.5,3.3383333333333347,0.12364197530864203,3.3120000000000003,0.5714285714285714,0.0,1.7971,,0.4
12,이용규,Hero,2,9,7,3,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0.429,0.5555555555555556,0.42857142857142855,0.9841269841269842,0.35714285714285715,0.2857142857142857,1.25,2.065469135802468,0.07649885688157289,1.8200000000000003,0.0,,1.5404444444444445,,0.42857142857142855
13,이원석,삼성,2,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.3,0.0,0.75,1.3607142857142858,0.0503968253968254,1.1400000000000001,0.0,,1.7837142857142858,,0.42857142857142855
14,호잉,KT,4,17,15,6,2,3,0,1,1,4,1,0,0,2,0,1,1,0,0,0.4,0.4375,0.8,1.2375,0.396875,0.7333333333333333,1.3,3.674494117647054,0.13609237472766866,3.784,0.4,0.0,1.3646875,,0.4166666666666667
15,심우준,KT,4,15,15,6,5,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0.4,0.4,0.4666666666666667,0.8666666666666667,0.2966666666666667,0.2,0.8888888888888888,2.804400000000001,0.1038666666666667,2.582,0.06666666666666665,0.0,1.0963333333333334,,0.42857142857142855
16,김헌곤,삼성,2,7,5,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.4,0.5,0.4,0.9,0.325,0.2,0.75,0.8714539682539684,0.03227607289829512,0.7400000000000001,0.0,,2.047166666666667,,0.4
17,김지찬,삼성,2,7,5,2,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0.4,0.5714285714285714,0.4,0.9714285714285714,0.3571428571428571,0.4,1.3333333333333333,1.4356190476190474,0.05317107583774249,1.4020000000000001,0.0,,1.8531428571428574,,0.5
18,김상수,삼성,2,6,5,2,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.4,0.3333333333333333,0.4,0.7333333333333334,0.25,0.0,0.6666666666666666,0.8123682539682546,0.030087713109935358,1.1320000000000001,0.0,,1.9323333333333335,,0.4
19,박세혁,두산,11,42,34,13,11,1,0,1,7,5,6,0,0,5,0,2,1,2,1,0.382,0.475,0.5,0.975,0.33875,0.38235294117647056,1.0869565217391304,7.544585714285702,0.2794291005291001,7.519999999999999,0.11764705882352944,1.3333333333333333,0.72395,,0.42857142857142855
20,유강남,LG,3,13,11,4,4,0,0,0,2,2,1,0,0,2,0,1,0,0,0,0.364,0.4166666666666667,0.36363636363636365,0.7803030303030303,0.27840909090909094,0.09090909090909091,0.7142857142857143,1.753405128205129,0.06494093067426404,1.734,0.0,,1.17225,,0.4444444444444444
21,김재환*,두산,11,49,42,14,8,4,0,2,8,8,6,2,0,17,1,1,1,1,1,0.333,0.40816326530612246,0.5714285714285714,0.9795918367346939,0.326530612244898,0.5238095238095238,1.0333333333333334,6.84384,0.25347555555555557,8.863999999999997,0.23809523809523808,1.3333333333333333,0.7331063829787234,,0.5
22,박병호,Hero,2,10,9,3,3,0,0,0,1,2,0,0,0,2,1,1,1,0,0,0.333,0.3,0.3333333333333333,0.6333333333333333,0.21833333333333332,0.0,0.42857142857142855,0.587632323232322,0.021764160119715627,0.9840000000000002,0.0,,1.2486000000000002,,0.375
23,전병우,Hero,2,8,6,2,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0.333,0.42857142857142855,0.6666666666666666,1.0952380952380951,0.35952380952380947,0.8333333333333334,1.25,1.3599500000000004,0.050368518518518535,1.452,0.3333333333333333,,2.1212857142857144,,0.4
24,강승호,두산,11,47,41,13,9,3,1,0,7,8,2,0,1,9,0,3,1,1,0,0.317,0.36363636363636365,0.43902439024390244,0.8026607538802661,0.27339246119733923,0.2926829268292683,0.7586206896551724,5.573034042553182,0.20640866824271045,6.058000000000001,0.12195121951219512,0.0,0.6217045454545453,,0.40625
25,정수빈,두산,10,50,45,14,12,1,1,0,8,6,5,0,0,6,0,0,0,1,0,0.311,0.38,0.37777777777777777,0.7577777777777778,0.2654444444444445,0.24444444444444444,0.7419354838709677,6.816728888888896,0.25247144032921837,6.8020000000000005,0.06666666666666665,0.0,0.5405200000000001,,0.358974358974359
26,허경민,두산,11,45,37,11,8,3,0,0,8,2,6,0,2,3,0,0,0,2,1,0.297,0.4222222222222222,0.3783783783783784,0.8006006006006006,0.2845945945945946,0.35135135135135137,0.8888888888888888,6.531911111111107,0.24192263374485581,6.555999999999999,0.08108108108108109,0.0,0.6455333333333333,,0.3235294117647059
27,황재균,KT,4,17,14,4,1,2,0,1,3,5,1,0,0,0,1,2,0,0,0,0.286,0.3125,0.6428571428571429,0.9553571428571429,0.3013392857142857,0.6428571428571429,1.0,2.8422728395061725,0.10526936442615453,3.27,0.3571428571428572,0.0,1.173,,0.21428571428571427
