DMU,VRS_DF,VRS,VRS_DF-VRS,Position
이재원,1,0.0239,0.9761,C
장성우,1,0.3146,0.6854,C
박세혁,1,0.466,0.534,C
최재훈,0.7342,0.2641,0.4701,C
한승택,0.8742,0.4833,0.3909,C
심우준,0.7038,0.3575,0.3463,SS
오선진,0.7356,0.3957,0.3399,SS
유강남,1,0.682,0.318,C
박찬호,1,0.7309,0.2691,SS
오지환,1,0.7457,0.2543,SS
김성현,0.2376,0.1064,0.1312,SS
김혜성,0.5274,0.4313,0.0961,2B/SS
박민우,0.3913,0.3005,0.0908,2B
김재환,0.9053,0.8277,0.0776,OF
신본기,0.2593,0.1841,0.0752,SS
박동원,0.415,0.3401,0.0749,C
정주현,0.4025,0.3326,0.0699,2B
노진혁,0.7169,0.6669,0.05,SS
강민호,0.113,0.0672,0.0458,C
김선빈,0.1496,0.1084,0.0412,SS
김재호,0.0887,0.0559,0.0328,SS
이지영,0.1711,0.1391,0.032,C
양의지,0.1094,0.0887,0.0207,C
이천웅,0.6242,0.6039,0.0203,OF
이원석,0.5914,0.5724,0.019,3B
김민성,0.0804,0.0749,0.0055,3B
박건우,0.3024,0.2988,0.0036,OF
김현수,0.0987,0.0969,0.0018,OF
이정후,1,1,0,
김하성,1,1,0,
정은원,1,1,0,
최정,1,1,0,
전준우,0.3961,0.3961,0,
박해민,0.1117,0.1117,0,
손아섭,0.0557,0.0557,0,
유한준,0.182,0.182,0,
최형우,0.2674,0.2674,0,
이대호,0.029,0.029,0,
이명기,0.2215,0.2215,0,
김상수,0.1942,0.1942,0,
허경민,0.1291,0.1291,0,
박병호,1,1,0,
오재일,1,1,0,
구자욱,0.4465,0.4465,0,
김민혁,0.7913,0.7913,0,
채은성,0.237,0.237,0,
정수빈,0.1571,0.1571,0,
고종욱,0.5628,0.5628,0,
황재균,0.095,0.095,0,
강백호,1,1,0,
한동민,0.4205,0.4205,0,
김태균,0.0499,0.0499,0,
박경수,1,1,0,
서건창,0.154,0.154,0,
송광민,0.17,0.17,0,
이형종,0.3108,0.3108,0,
이성열,1,1,0,
이창진,1,1,0,
김헌곤,0.2088,0.2088,0,
김강민,0.2661,0.2661,0,
노수광,0.1143,0.1143,0,
박석민,0.0675,0.0675,0,
민병헌,0.0462,0.0462,0,
정의윤,0.1036,0.1036,0,
임병욱,0.6638,0.6638,0,
권희동,0.2174,0.2174,0,
장영석,0.5608,0.5608,0,
안치홍,0.0736,0.0736,0,
김태진,1,1,0,
오태곤,1,1,0,
모창민,0.1127,0.1127,0,
김주찬,0.0754,0.0754,0,
장진혁,0.7777,0.7777,0,
김성욱,0.4244,0.4244,0,
최주환,0.0772,0.0772,0,
류지혁,0.2336,0.2336,0,
강로한,1,1,0,
정근우,0.0419,0.0419,0,
이원재,0.5863,0.5863,0,
최영진,0.5481,0.5481,0,
이상호,0.3625,0.3625,0,
최원준,0.29,0.29,0,
김규민,0.5,0.5,0,
나주환,0.0906,0.0906,0,
박승욱,0.4394,0.4394,0,
오윤석,0.9667,0.9667,0,
정훈,0.3625,0.3625,0,
박용택,0.0363,0.0363,0,
김동엽,0.1568,0.1568,0,
조용호,0.725,0.725,0,
김용의,0.3412,0.3412,0,
나종덕,1,1,0,
한동희,0.5918,0.5918,0,
오재원,0.0527,0.0527,0,
박계범,0.9667,0.9667,0,
유민상,0.6796,0.6796,0,
채태인,0.145,0.145,0,
윤석민,0.1208,0.1208,0,
지석훈,0.1933,0.1933,0,
이우성,0.725,0.725,0,
허일,0.9667,0.9667,0,
김찬형,0.6744,0.6744,0,
나지완,0.0483,0.0483,0,
최항,0.2636,0.2636,0,
