DMU,VRS_DF,VRS,VRS_DF - VRS,Position
이재원,1,0.6833,0.3167,C
유강남,1,0.8698,0.1302,C
장성우,1,0.8732,0.1268,C
박경수,1,0.8933,0.1067,2B
최재훈,0.9576,0.8571,0.1005,C
박세혁,1,0.9118,0.0882,C
강민호,0.7958,0.7095,0.0863,C
김성현,0.8294,0.7716,0.0578,SS
오지환,1,0.9613,0.0387,SS
심우준,0.9093,0.8732,0.0361,SS
한승택,0.9456,0.9114,0.0342,C
노진혁,0.9242,0.8977,0.0265,SS
오선진,0.9078,0.8855,0.0223,SS
김재호,0.7565,0.7365,0.02,SS
이원석,0.8594,0.8512,0.0082,3B
김선빈,0.7911,0.7833,0.0078,SS
박찬호,0.9582,0.9509,0.0073,SS
신본기,0.8186,0.8162,0.0024,SS
박민우,0.886,0.8839,0.0021,2B
양의지,0.7964,0.7947,0.0017,C
허경민,0.8037,0.8022,0.0015,3B
김상수,0.8351,0.8337,0.0014,2B
이천웅,0.9403,0.9391,0.0012,OF
정주현,0.875,0.874,0.001,2B
황재균,0.7605,0.7599,0.0006,3B
안치홍,0.7556,0.7554,0.0002,2B
박건우,0.8828,0.8826,0.0002,OF
정수빈,0.8127,0.8125,0.0002,OF
김현수,0.8006,0.8005,1.00E-04,OF
박해민,0.7813,0.7812,1.00E-04,OF
이정후,0.9964,0.9964,0,
김하성,1,1,0,
정은원,1,1,0,
최정,1,1,0,
전준우,0.8904,0.8904,0,
김재환,0.9053,0.9053,0,
손아섭,0.7446,0.7446,0,
유한준,0.8416,0.8416,0,
최형우,0.8606,0.8606,0,
이대호,0.7101,0.7101,0,
이명기,0.8448,0.8448,0,
박병호,1,1,0,
오재일,0.9639,0.9639,0,
구자욱,0.8742,0.8742,0,
김민혁,0.9662,0.9662,0,
채은성,0.8528,0.8528,0,
고종욱,0.9324,0.9324,0,
강백호,1,1,0,
한동민,0.842,0.842,0,
김태균,0.7369,0.7369,0,
서건창,0.8187,0.8187,0,
송광민,0.7809,0.7809,0,
이형종,0.8786,0.8786,0,
이성열,1,1,0,
이창진,1,1,0,
김헌곤,0.8365,0.8365,0,
김강민,0.8086,0.8086,0,
노수광,0.7758,0.7758,0,
박석민,0.7577,0.7577,0,
이학주,1,1,0,
민병헌,0.715,0.715,0,
정의윤,0.78,0.78,0,
임병욱,0.8915,0.8915,0,
권희동,0.8276,0.8276,0,
장영석,0.9265,0.9265,0,
김민성,0.7456,0.7456,0,
김태진,0.9752,0.9752,0,
오태곤,0.8872,0.8872,0,
김혜성,0.8961,0.8961,0,
모창민,0.7861,0.7861,0,
김주찬,0.7456,0.7456,0,
박동원,0.8678,0.8678,0,
장진혁,0.9585,0.9585,0,
김성욱,0.8363,0.8363,0,
이지영,0.7939,0.7939,0,
최주환,0.7483,0.7483,0,
류지혁,0.8375,0.8375,0,
강로한,1,1,0,
정근우,0.7082,0.7082,0,
이원재,0.9277,0.9277,0,
최영진,0.9214,0.9214,0,
이상호,0.8791,0.8791,0,
최원준,0.8578,0.8578,0,
김규민,0.9118,0.9118,0,
나주환,0.7617,0.7617,0,
박승욱,0.8984,0.8984,0,
오윤석,0.9868,0.9868,0,
정훈,0.8791,0.8791,0,
박용택,0.6998,0.6998,0,
김동엽,0.8041,0.8041,0,
조용호,0.9526,0.9526,0,
김용의,0.8732,0.8732,0,
나종덕,1,1,0,
한동희,0.9299,0.9299,0,
오재원,0.7239,0.7239,0,
박계범,0.9868,0.9868,0,
유민상,0.9444,0.9444,0,
노시환,1,1,0,
채태인,0.7978,0.7978,0,
윤석민,0.7834,0.7834,0,
지석훈,0.8217,0.8217,0,
이우성,0.9526,0.9526,0,
허일,0.9868,0.9868,0,
김찬형,0.9444,0.9444,0,
나지완,0.7181,0.7181,0,
최항,0.8491,0.8491,0,
