DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
이재원,14,34,120,70,포수,-106
장성우,9,6,59,34,포수,-50
유강남,17,2,63,36,포수,-46
최재훈,29,15,68,58,포수,-39
박경수,16,12,46,14,2루수,-30
박세혁,10,4,39,40,포수,-29
강민호,95,36,116,59,포수,-21
김성현,81,46,101,91,유격수,-20
오지환,6,7,19,7,유격수,-13
심우준,48,31,61,69,유격수,-13
정은원,0,0,8,3,2루수,-8
이성열,2,11,9,4,우익수,-7
박병호,3,10,10,5,,-7
한승택,35,16,40,30,,-5
나종덕,7,1,11,6,,-4
오선진,46,22,50,50,,-4
김재호,107,45,111,62,,-4
김하성,4,9,6,1,,-2
최정,5,8,7,2,,-2
이원석,69,29,70,24,,-1
박찬호,28,19,28,41,,0
노진혁,43,20,43,32,,0
강로한,1,5,0,0,,1
최항,72,111,71,117,,1
정진호,73,117,72,113,,1
이명기,74,61,73,49,,1
한동민,75,44,74,33,,1
유한준,76,47,75,35,,1
류지혁,77,83,76,96,,1
김성욱,78,37,77,25,,1
김헌곤,79,73,78,67,,1
김상수,80,51,79,48,,1
김민식,82,100,81,100,,1
채태인,92,92,91,88,,1
김선빈,97,59,96,72,,1
이대호,118,66,117,55,,1
정근우,119,104,118,101,,1
박용택,120,112,119,109,,1
김용의,64,101,62,98,,2
강경학,66,105,64,104,,2
박동원,67,52,65,66,,2
최형우,68,30,66,18,,2
채은성,71,49,69,39,,2
지석훈,84,97,82,97,,2
서건창,85,68,83,57,,2
신본기,86,56,84,92,,2
정수빈,87,60,85,52,,2
김강민,88,38,86,23,,2
김동엽,89,88,87,82,,2
허경민,90,57,88,61,,2
김현수,91,48,89,37,,2
양의지,94,43,92,38,,2
나주환,104,89,102,86,,2
황재균,105,54,103,43,,2
박석민,106,58,104,45,,2
김주찬,110,91,108,87,,2
오재원,114,80,112,79,,2
나성범,115,116,113,112,,2
나지완,116,98,114,94,,2
민병헌,117,76,115,71,,2
최원준,70,82,67,78,,3
권희동,83,74,80,68,,3
최진행,93,106,90,103,,3
이지영,96,77,93,102,,3
박해민,100,55,97,44,,3
송광민,101,50,98,46,,3
정의윤,102,69,99,63,,3
노수광,103,75,100,74,,3
안치홍,108,78,105,73,,3
최주환,109,85,106,84,,3
손아섭,112,64,109,53,,3
김태균,113,63,110,51,,3
정주현,62,27,58,29,,4
모창민,98,67,94,56,,4
윤석민,99,118,95,116,,4
김민성,111,72,107,75,,4
오윤석,19,86,14,81,,5
강진성,22,119,17,115,,5
김민혁,25,53,20,42,,5
오재일,26,18,21,12,,5
장진혁,27,62,22,60,,5
박민우,56,40,51,26,,5
박건우,57,39,52,22,,5
정훈,58,94,53,90,,5
김문호,59,110,54,107,,5
이상호,60,107,55,108,,5
이형종,61,28,56,17,,5
양성우,65,108,60,105,,5
김도환,8,87,2,85,,6
이정후,18,14,12,8,,6
허일,21,115,15,111,,6
김태진,24,65,18,54,,6
황윤호,32,113,26,118,,6
임병욱,53,23,47,19,,6
전준우,54,25,48,16,,6
오태곤,55,35,49,21,,6
구자욱,63,24,57,15,,6
이학주,12,3,5,10,유격수,7
박계범,20,79,13,76,유격수,7
김형준,23,99,16,110,,7
김민하,30,93,23,89,,7
이우성,31,84,24,80,,7
전민수,34,120,27,120,,7
김찬형,36,103,29,114,,7
유민상,37,96,30,93,,7
이천웅,38,33,31,20,,7
고종욱,39,41,32,27,,7
한동희,40,71,33,65,,7
이원재,41,81,34,77,,7
장영석,42,32,35,31,,7
박승욱,51,95,44,95,,7
김혜성,52,26,45,47,,7
노시환,11,42,3,28,1루수,8
조용호,33,102,25,99,우익수,8
최영진,44,90,36,83,3루수,8
지성준,45,114,37,119,포수,8
김재환,49,21,41,13,좌익수,8
김회성,50,109,42,106,1루수,8
김규민,47,70,38,64,좌익수,9
강백호,15,17,4,11,우익수,11
이창진,13,13,1,9,중견수,12
