DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
나종덕,20,5,4,3,포수,16
이정후,26,2,12,0,좌익수,14
나성범,19,18,5,19,우익수,14
이지영,14,19,0,10,포수,14
양성우,18,6,6,5,좌익수,12
김찬형,44,29,33,20,유격수,11
지석훈,45,33,34,24,3루수,11
김민혁,88,70,77,51,좌익수,11
황재균,51,97,41,88,3루수,10
조용호,10,1,1,6,우익수,9
김형준,36,24,27,15,,9
김도환,35,28,26,18,,9
김선빈,49,46,40,37,,9
안치홍,48,50,39,48,,9
최주환,47,60,38,46,,9
정수빈,53,72,44,55,,9
양의지,16,73,7,64,,9
한승택,91,74,82,58,,9
송광민,89,94,80,83,,9
윤석민,17,23,9,14,,8
강경학,37,26,29,17,,8
김회성,43,31,35,21,,8
정근우,38,34,30,28,,8
나주환,39,41,31,32,,8
정의윤,50,45,42,52,,8
박동원,86,78,78,61,,8
강민호,25,85,17,70,,8
오선진,109,92,101,80,,8
김재호,76,98,68,86,,8
김강민,84,100,76,89,,8
박해민,92,103,84,94,,8
박민우,22,4,15,4,,7
한동희,69,55,62,43,,7
권희동,90,76,83,72,,7
이재원,32,82,25,66,,7
최재훈,93,93,86,82,,7
김상수,94,96,87,85,,7
장성우,107,101,100,90,,7
김혜성,110,104,103,92,,7
박경수,82,112,75,104,,7
황윤호,24,3,18,1,,6
나지완,9,10,3,26,,6
지성준,28,21,22,13,,6
최항,29,25,23,16,,6
노시환,52,38,46,31,,6
김민하,55,39,49,30,,6
오윤석,62,43,56,36,,6
류지혁,56,48,50,38,,6
박승욱,66,49,60,39,,6
최원준,64,53,58,41,,6
김성현,57,58,51,45,,6
신본기,67,62,61,49,,6
손아섭,34,69,28,77,,6
김민성,70,79,64,62,,6
노수광,79,80,73,65,,6
허경민,73,81,67,67,,6
김성욱,104,89,98,76,,6
정주현,105,91,99,78,,6
박석민,65,99,59,96,,6
유강남,100,110,94,102,,6
이원석,103,114,97,108,,6
오지환,98,115,92,109,,6
최영진,74,61,69,47,,5
박계범,77,67,72,50,,5
장진혁,111,95,106,84,,5
최정,71,119,66,119,,5
강진성,23,9,19,9,,4
허일,41,30,37,22,,4
심우준,95,84,91,69,,4
임병욱,99,87,95,75,,4
김태진,108,88,104,81,,4
한동민,75,90,71,98,,4
박세혁,112,106,108,99,,4
김재환,97,117,93,116,,4
오재원,11,37,8,27,,3
이우성,58,40,55,35,,3
민병헌,27,56,24,53,,3
강로한,114,107,111,100,,3
노진혁,113,111,110,103,,3
김규민,83,65,81,57,,2
채은성,81,71,79,87,,2
장영석,115,102,113,91,,2
이상호,12,20,11,12,,1
최진행,33,32,32,25,,1
최형우,21,44,20,71,,1
이형종,116,109,115,110,,1
박용택,2,14,2,23,,0
전준우,96,83,96,106,,0
김하성,102,108,102,113,,0
박찬호,117,113,117,105,,0
이학주,118,116,118,111,,0
이창진,119,118,119,115,,0
정은원,120,120,120,118,,0
박병호,46,63,47,120,,-1
김헌곤,68,52,70,59,,-2
서건창,63,59,65,56,,-2
이명기,72,64,74,63,,-2
구자욱,106,105,109,107,,-3
정훈,59,42,63,42,,-4
이천웅,85,77,90,74,,-5
정진호,8,12,14,7,,-6
김문호,15,17,21,11,,-6
김동엽,42,27,48,40,,-6
박건우,78,66,85,97,,-7
전민수,4,11,13,8,,-9
이대호,0,0,10,54,,-10
이성열,101,86,112,114,,-11
김민식,1,7,16,2,,-15
김용의,30,22,52,34,,-22
김태균,31,36,53,95,,-22
고종욱,80,68,105,101,,-25
이원재,60,47,88,60,좌익수,-28
강백호,87,75,116,112,우익수,-29
김현수,6,57,36,73,좌익수,-30
채태인,13,8,45,33,1루수,-32
김주찬,3,15,43,44,1루수,-40
오태곤,61,51,107,79,1루수,-46
유민상,7,13,54,29,1루수,-47
모창민,40,35,89,93,1루수,-49
유한준,5,16,57,68,우익수,-52
오재일,54,54,114,117,1루수,-60
