DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
이재원,4,34,120,70,포수,-116
유강남,12,10,63,36,포수,-51
장성우,10,8,59,34,포수,-49
박경수,7,12,46,14,2루수,-39
최재훈,29,15,68,58,포수,-39
박세혁,14,1,39,40,포수,-25
강민호,95,36,116,59,포수,-21
김성현,81,46,101,91,유격수,-20
심우준,48,31,62,69,유격수,-14
강로한,0,0,10,6,2루수,-10
김도환,2,87,8,85,포수,-6
오지환,13,11,19,7,유격수,-6
한승택,35,16,40,30,포수,-5
오선진,46,22,50,50,유격수,-4
김재호,107,45,111,62,유격수,-4
최정,8,6,11,1,3루수,-3
이원석,69,29,70,24,3루수,-1
노시환,3,42,3,28,,0
박찬호,28,19,28,41,,0
노진혁,43,20,43,32,,0
정은원,1,2,0,0,,1
최항,72,111,71,117,,1
정진호,73,117,72,113,,1
이명기,74,61,73,49,,1
한동민,75,44,74,33,,1
유한준,76,47,75,35,,1
류지혁,77,83,76,96,,1
김성욱,78,37,77,25,,1
김헌곤,79,73,78,67,,1
김상수,80,51,79,48,,1
권희동,82,74,81,68,,1
신본기,85,56,84,92,,1
김선빈,97,59,96,72,,1
오재원,114,80,113,79,,1
이대호,118,66,117,55,,1
정근우,119,104,118,101,,1
박용택,120,112,119,109,,1
김하성,9,7,7,4,,2
이성열,11,9,9,5,,2
강경학,66,105,64,104,,2
박동원,67,52,65,66,,2
최형우,68,30,66,18,,2
채은성,71,49,69,39,,2
지석훈,84,97,82,97,,2
정수빈,87,60,85,52,,2
김강민,88,38,86,23,,2
김동엽,89,88,87,82,,2
허경민,90,57,88,61,,2
김현수,91,48,89,37,,2
채태인,92,92,90,88,,2
최진행,93,106,91,103,,2
양의지,94,43,92,38,,2
나주환,104,89,102,86,,2
황재균,105,54,103,43,,2
박석민,106,58,104,45,,2
김민성,110,72,108,75,,2
나지완,116,98,114,94,,2
민병헌,117,76,115,71,,2
이상호,58,107,55,108,,3
최원준,70,82,67,78,,3
김민식,83,100,80,100,,3
서건창,86,68,83,57,,3
이지영,96,77,93,102,,3
박해민,100,55,97,44,,3
송광민,101,50,98,46,,3
정의윤,102,69,99,63,,3
노수광,103,75,100,74,,3
안치홍,108,78,105,73,,3
최주환,109,85,106,84,,3
손아섭,112,64,109,53,,3
김태균,113,63,110,51,,3
나성범,115,116,112,112,,3
강백호,5,17,1,11,,4
이창진,6,13,2,9,,4
허일,19,115,15,111,,4
황윤호,31,113,27,118,,4
김용의,64,101,60,98,,4
양성우,65,108,61,105,,4
모창민,98,67,94,56,,4
윤석민,99,118,95,116,,4
김주찬,111,91,107,87,,4
김민혁,25,53,20,42,,5
오재일,26,18,21,12,,5
장진혁,27,62,22,60,,5
박민우,56,40,51,26,,5
박건우,57,39,52,22,,5
이형종,61,28,56,17,,5
정주현,62,27,57,29,,5
구자욱,63,24,58,15,,5
이정후,18,14,12,8,,6
김형준,22,99,16,110,,6
강진성,23,119,17,115,,6
김태진,24,65,18,54,,6
유민상,36,96,30,93,,6
임병욱,53,23,47,19,,6
전준우,54,25,48,16,,6
오태곤,55,35,49,21,,6
김문호,59,110,53,107,,6
정훈,60,94,54,90,,6
박계범,20,79,13,76,,7
오윤석,21,86,14,81,,7
김민하,30,93,23,89,,7
이천웅,38,33,31,20,,7
고종욱,39,41,32,27,,7
한동희,40,71,33,65,,7
이원재,41,81,34,77,,7
장영석,42,32,35,31,,7
박승욱,51,95,44,95,,7
김혜성,52,26,45,47,,7
이우성,32,84,24,80,,8
전민수,33,120,25,120,,8
조용호,34,102,26,99,,8
김찬형,37,103,29,114,,8
최영진,44,90,36,83,,8
지성준,45,114,37,119,,8
김재환,49,21,41,13,,8
김회성,50,109,42,106,,8
김규민,47,70,38,64,,9
박병호,15,5,5,2,,10
나종덕,16,4,6,3,,10
이학주,17,3,4,10,,13
