DMU,kWAR_v,kWAR_c,bat_v,bat_c,포지션,kWAR-bat
김민혁,29,6,1,1,,28
노진혁,27,22,6,24,,21
노시환,17,14,2,14,,15
나성범,12,103,0,103,,12
전준우,14,71,3,71,,11
이창진,19,4,9,3,,10
유민상,25,11,15,11,,10
김회성,63,37,54,37,,9
황윤호,42,17,34,15,,8
조용호,43,18,35,17,,8
김도환,26,7,19,7,,7
허일,32,10,25,10,,7
김형준,35,15,28,13,,7
김찬형,49,23,42,22,,7
최영진,53,28,46,25,,7
한동희,52,32,45,31,,7
김준태,50,36,43,34,,7
박승욱,62,39,55,39,,7
나종덕,48,40,41,41,,7
이형종,44,49,37,47,,7
구자욱,51,66,44,66,,7
이원재,39,20,33,21,,6
이우성,46,21,40,20,,6
전민수,45,24,39,23,,6
지성준,55,31,49,29,,6
한승택,59,38,53,38,,6
유강남,36,46,30,48,,6
정훈,70,48,64,46,,6
오재일,28,54,22,51,,6
김성욱,64,55,58,54,,6
이원석,37,57,31,56,,6
정의윤,65,73,59,72,,6
채은성,58,75,52,73,,6
오윤석,31,16,26,16,,5
강백호,22,29,17,33,,5
김규민,56,30,51,30,,5
정주현,67,41,62,40,,5
오선진,66,43,61,43,,5
임병욱,81,51,76,50,,5
강경학,76,53,71,53,,5
양성우,75,65,70,65,,5
정수빈,82,70,77,68,,5
한동민,79,78,74,78,,5
이지영,104,85,99,85,,5
오지환,80,92,75,91,,5
최형우,94,110,89,108,,5
강진성,33,8,29,9,,4
정은원,9,9,5,8,,4
장진혁,40,12,36,18,,4
심우준,60,35,56,36,,4
장성우,71,44,67,44,,4
김용의,73,45,69,52,,4
김하성,8,58,4,57,,4
최재훈,77,59,73,58,,4
최원준,83,62,79,62,,4
정진호,87,67,83,67,,4
모창민,84,79,80,81,,4
박민우,54,83,50,83,,4
서건창,92,89,88,89,,4
김성현,110,96,106,94,,4
김재환,72,100,68,98,,4
박계범,13,0,10,4,,3
김민하,41,19,38,19,,3
박동원,30,25,27,28,,3
이상호,69,47,66,45,,3
김문호,68,50,65,49,,3
최항,85,64,82,63,,3
지석훈,93,76,90,75,,3
최진행,99,80,96,77,,3
채태인,101,81,98,79,,3
김민식,90,82,87,82,,3
김동엽,100,84,97,84,,3
김선빈,106,91,103,90,,3
최정,21,97,18,96,,3
윤석민,107,98,104,97,,3
김강민,103,99,100,99,,3
나주환,112,105,109,104,,3
고종욱,23,33,21,32,,2
류지혁,86,61,84,61,,2
권희동,88,63,86,64,,2
신본기,95,72,93,74,,2
최주환,114,102,112,102,,2
김주찬,115,104,113,105,,2
강민호,113,109,111,111,,2
김현수,97,113,95,110,,2
장영석,15,13,14,12,,1
김재호,118,108,117,107,,1
오재원,117,112,116,115,,1
김태균,111,114,110,112,,1
이재원,108,116,107,116,,1
이대호,109,120,108,120,,1
박건우,57,86,57,86,,0
박해민,102,88,102,88,,0
허경민,91,95,91,92,,0
박병호,11,101,11,101,,0
안치홍,105,106,105,106,,0
양의지,20,111,20,113,,0
정근우,119,115,119,114,,0
박용택,120,119,120,117,,0
김혜성,47,26,48,26,,-1
이정후,10,60,12,59,,-2
나지완,116,107,118,109,,-2
이학주,4,1,7,2,,-3
이명기,78,68,81,70,,-3
김민성,98,93,101,100,,-3
이천웅,3,42,8,42,,-5
송광민,89,77,94,80,,-5
강로한,18,5,24,6,,-6
박찬호,5,2,13,0,,-8
오태곤,38,27,47,27,,-9
박경수,74,87,85,87,,-11
김태진,7,3,23,5,,-16
이성열,0,52,16,55,,-16
김상수,61,69,78,69,,-17
민병헌,96,117,114,119,,-18
박세혁,6,34,32,35,,-26
박석민,34,90,63,95,,-29
유한준,24,94,60,93,,-36
김헌곤,1,56,72,60,,-71
노수광,16,74,92,76,,-76
손아섭,2,118,115,118,,-113
