순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,키움,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48,3.61,144,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.3
2,NC,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60,4.01,144,73,69,32,68,0.514,1284 1/3,1285,103,483,92,991,631,572,1.38
3,두산,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83,3.51,144,88,55,44,69,0.615,1283 2/3,1259,78,380,70,860,550,500,1.28
4,KT,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45,4.29,144,71,71,37,59,0.5,1277,1303,118,481,61,848,661,608,1.4
5,LG,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48,3.86,144,79,64,43,62,0.552,1283 1/3,1257,89,499,91,953,633,551,1.37
6,KIA,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45,4.65,144,62,80,30,64,0.437,1264,1362,101,504,76,976,723,653,1.48
7,SK,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38,3.48,144,88,55,51,92,0.615,1292 1/3,1240,99,436,50,1092,546,500,1.3
8,한화,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45,4.8,144,58,86,28,43,0.403,1268 2/3,1407,120,526,72,934,737,677,1.52
9,삼성,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,4.64,144,60,83,29,60,0.42,1275 1/3,1332,125,523,70,924,731,658,1.45
10,롯데,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40,4.83,144,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54
