선수명,IP,E,D_score
김성현,1143.66,26,872.841
오지환,1101,12,864.065
심우준,1039.99,11,802.905
김하성,1086.33,20,785.83
김재호,993.33,10,778.771
오선진,981.66,12,760.835
박찬호,1140.99,16,734.264
신본기,942.66,15,722.992
이학주,938.33,19,716.837
정은원,1192.66,13,702.715
김선빈,912.66,10,698.68
최정,1154.33,14,661.361
허경민,1083,8,631.056
황재균,1026.66,11,602.866
김혜성,890.33,15,598.641
김상수,993,10,585.671
박경수,983.66,9,580.753
노진혁,800,5,569.782
정주현,972,13,568.62
송광민,974,16,554.596
박민우,928.33,9,547.529
김민성,841.66,6,492.371
강로한,709.65,20,449.705
류지혁,684.99,11,430.925
안치홍,805.33,11,425.345
이원석,722,13,402.443
송성문,658.99,7,379.512
최주환,522,3,295.925
장영석,732.33,10,292.803
김찬형,372.33,3,286.502
서건창,481,6,282.251
오재원,483.99,7,281.474
박계범,415.32,9,278.578
나주환,528,1,278.042
손시헌,344.33,4,269.955
박석민,475.33,11,261.527
지석훈,396.99,5,250.265
윌슨,534.66,4,249.183
아수아헤,385.66,3,228.156
최영진,611.66,8,196.755
한동희,400.99,9,193.044
이상호,501.99,5,187.352
구본혁,273.33,1,184.777
박승욱,551.99,5,181.669
안상현,292.99,6,178.244
황윤호,297.66,6,177.793
최원준,340.66,6,176.851
강민국,245.66,9,171.3
최항,313,3,164.64
윤진호,250.33,2,155.89
강경학,273,4,147.829
노시환,428.66,7,137.98
김태진,214,1,126.131
김성훈,190.66,3,120.044
오윤석,482.66,5,112.623
고승민,185,2,109.113
김동한,177.33,2,105.366
문규현,153,3,86.523
김지수,141.33,2,82.916
신민재,136,0,81.6
김창평,126,0,76.4
정현,111.66,0,75.996
윤석민,308.66,5,69.627
배성근,112.99,3,62.539
류승현,299.66,1,59.774
강승호,94,1,59.353
김회성,272.32,2,57.456
김호재,79,0,53.6
이성규,82,3,53.231
양종민,119.66,4,52.624
김민수,89,1,51.104
정병곤,77.66,1,49.267
백승현,77,1,48.56
최준우,78,0,45.6
오정환,75.99,1,41.538
로맥,1180.33,4,38.391
고명성,58.99,2,36.442
고장혁,94.33,4,33.128
신용수,53.33,4,32.43
최경모,47,2,30.741
손주인,88.66,4,30.183
홍재호,49,1,29.792
하주석,38,2,27.755
이창진,54,1,27
박지규,45,1,25.698
박한결,29,0,23.2
전병우,100.66,2,21.762
최윤석,32,2,21.254
이유찬,33.66,1,19.271
김영환,28,0,18.4
최정용,36,1,17.4
김용의,505,5,14.4
임지열,30,2,12.495
김은성,23,1,12.341
김웅빈,20,0,12
김재율,19,0,11.4
김병희,17,0,10.2
서예일,15.33,0,7.8
안치영,13,0,7.8
김재현,13,0,7.2
류형우,29,0,6.6
신성현,77.66,2,6.437
황진수,10.33,0,5.598
김태연,15.33,1,5.55
이창열,15,0,5.4
오태곤,737.99,9,5.247
이범호,15,0,3
김주형,6,0,1.8
박민석,3,0,1.6
유영준,10,0,1.2
황대인,48,0,1.2
전민재,1,0,0.6
정훈,240.66,2,0.6
강백호,3,0,0
공민규,119,2,0
국해성,1,0,0
김민하,2,0,0
김인환,97,1,0
김주찬,538.66,6,0
김진형,39,0,0
김철호,1,0,0
김태균,223.33,1,0
김현수,209.33,1,0
남태혁,13,0,0
러프,780.33,5,0
로하스,3,0,0
모창민,545,5,0
문상철,105.33,4,0
문선재,45,2,0
박병호,906.66,6,0
박정권,42.33,0,0
박해민,15.33,0,0
백승민,53,1,0
베탄코트,140,3,0
변우혁,135,1,0
샌즈,140,1,0
서상우,6,0,0
오선우,5,0,0
오재일,1044,4,0
유민상,285,3,0
유재신,7,0,0
윤해진,3,0,0
이대호,147.66,1,0
이성열,159,2,0
이원재,369,4,0
이형종,3,0,0
정근우,206.66,4,0
정진기,1,0,0
조셉,357,4,0
채태인,342.33,1,0
최승준,26,0,0
최정민,3,0,0
페게로,189,6,0
페르난데스,117,3,0
허일,15.33,0,0
