선수명,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,팀명,포지션 수
강경학,58.0,26.0,273.0,4.0,0.0,121.0,68.0,31.0,0.9792746113989638,0.0,0.0,0.0,한화,3
강로한,117.0,84.0,709.6700000000001,20.0,0.0,123.0,235.0,51.0,0.9470899470899471,0.0,0.0,0.0,롯데,3
강민국,55.0,26.0,245.67000000000002,9.0,0.0,51.0,81.0,10.0,0.9361702127659575,0.0,0.0,0.0,KT,3
강민호,109.0,104.0,842.0,8.0,1.0,660.0,48.0,7.0,0.9888268156424581,3.0,63.0,23.0,삼성,1
강백호,79.0,76.0,622.6600000000001,3.0,0.0,140.0,6.0,1.0,0.9798657718120806,0.0,0.0,0.0,KT,5
강승호,17.0,9.0,94.0,1.0,0.0,18.0,27.0,6.0,0.9782608695652174,0.0,0.0,0.0,SK,3
강진성,31.0,16.0,135.67000000000002,1.0,0.0,26.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,NC,2
고명성,25.0,1.0,59.0,2.0,0.0,5.0,26.0,5.0,0.9393939393939394,0.0,0.0,0.0,KT,3
고승민,29.0,19.0,185.0,2.0,0.0,49.0,65.0,18.0,0.9827586206896551,0.0,0.0,0.0,롯데,1
고장혁,19.0,11.0,94.33,4.0,0.0,16.0,13.0,0.0,0.8787878787878788,0.0,0.0,0.0,KIA,2
고종욱,67.0,65.0,524.67,3.0,0.0,113.0,0.0,0.0,0.9741379310344828,0.0,0.0,0.0,SK,1
공민규,17.0,14.0,119.0,2.0,0.0,86.0,8.0,6.0,0.9791666666666666,0.0,0.0,0.0,삼성,1
구본혁,64.0,25.0,273.33,1.0,0.0,24.0,78.0,10.0,0.9902912621359223,0.0,0.0,0.0,LG,3
구자욱,104.0,103.0,870.33,2.0,0.0,218.0,8.0,1.0,0.9912280701754386,0.0,0.0,0.0,삼성,1
국해성,15.0,10.0,80.0,2.0,0.0,19.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,두산,3
권희동,112.0,86.0,785.3299999999999,4.0,0.0,156.0,3.0,2.0,0.9754601226993865,0.0,0.0,0.0,NC,3
김강민,123.0,100.0,947.33,3.0,0.0,264.0,9.0,2.0,0.9891304347826086,0.0,0.0,0.0,SK,1
김경호,29.0,4.0,74.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,두산,3
김규민,85.0,53.0,520.0,1.0,0.0,118.0,5.0,1.0,0.9919354838709677,0.0,0.0,0.0,키움,3
김대한,15.0,4.0,52.0,1.0,0.0,21.0,1.0,0.0,0.9565217391304348,0.0,0.0,0.0,두산,3
김도환,61.0,30.0,299.67,1.0,0.0,202.0,16.0,2.0,0.9954337899543378,2.0,21.0,4.0,삼성,1
김동엽,18.0,14.0,130.33,1.0,0.0,30.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,삼성,1
김동한,33.0,19.0,177.32999999999998,2.0,0.0,32.0,51.0,14.0,0.9764705882352941,0.0,0.0,0.0,롯데,3
김문호,35.0,21.0,185.66,1.0,0.0,38.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,롯데,3
김민성,105.0,104.0,841.67,6.0,0.0,61.0,177.0,12.0,0.9754098360655737,0.0,0.0,0.0,LG,1
김민수,40.0,18.0,193.32999999999998,1.0,0.0,76.0,20.0,1.0,0.9896907216494846,3.0,6.0,2.0,롯데,2
김민식,49.0,29.0,260.0,3.0,1.0,204.0,14.0,3.0,0.9864253393665159,4.0,22.0,6.0,KIA,1
김민하,75.0,33.0,346.0,2.0,0.0,88.0,4.0,0.0,0.9787234042553191,0.0,0.0,0.0,한화,4
김민혁,124.0,110.0,903.0,4.0,0.0,218.0,1.0,1.0,0.9820627802690582,0.0,0.0,0.0,KT,3
김병희,3.0,2.0,17.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,KT,1
김사훈,3.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,롯데,1
김상수,121.0,117.0,993.0,10.0,0.0,235.0,328.0,75.0,0.9825479930191972,0.0,0.0,0.0,삼성,1
김선빈,123.0,110.0,912.67,10.0,0.0,152.0,291.0,68.0,0.977924944812362,0.0,0.0,0.0,KIA,2
김성욱,116.0,83.0,775.0,2.0,0.0,191.0,3.0,1.0,0.9897959183673469,0.0,0.0,0.0,NC,2
김성현,144.0,132.0,1143.67,26.0,0.0,179.0,358.0,83.0,0.9538188277087034,0.0,0.0,0.0,SK,1
