선수명,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,팀명,포지션 수
강경학,58,26,273,4,0,121,68,31,0.979274611,0,0,0,한화,3
강로한,117,84,709.67,20,0,123,235,51,0.947089947,0,0,0,롯데,3
강민국,55,26,245.67,9,0,51,81,10,0.936170213,0,0,0,KT,3
강민호,109,104,842,8,1,660,48,7,0.988826816,3,63,23,삼성,1
강백호,79,76,622.66,3,0,140,6,1,0.979865772,0,0,0,KT,5
강승호,17,9,94,1,0,18,27,6,0.97826087,0,0,0,SK,3
강진성,31,16,135.67,1,0,26,0,0,0.962962963,0,0,0,NC,2
고명성,25,1,59,2,0,5,26,5,0.939393939,0,0,0,KT,3
고승민,29,19,185,2,0,49,65,18,0.982758621,0,0,0,롯데,1
고장혁,19,11,94.33,4,0,16,13,0,0.878787879,0,0,0,KIA,2
고종욱,67,65,524.67,3,0,113,0,0,0.974137931,0,0,0,SK,1
공민규,17,14,119,2,0,86,8,6,0.979166667,0,0,0,삼성,1
구본혁,64,25,273.33,1,0,24,78,10,0.990291262,0,0,0,LG,3
구자욱,104,103,870.33,2,0,218,8,1,0.99122807,0,0,0,삼성,1
국해성,15,10,80,2,0,19,0,0,0.904761905,0,0,0,두산,3
권희동,112,86,785.33,4,0,156,3,2,0.975460123,0,0,0,NC,3
김강민,123,100,947.33,3,0,264,9,2,0.989130435,0,0,0,SK,1
김경호,29,4,74,0,0,17,0,0,1,0,0,0,두산,3
김규민,85,53,520,1,0,118,5,1,0.991935484,0,0,0,키움,3
김대한,15,4,52,1,0,21,1,0,0.956521739,0,0,0,두산,3
김도환,61,30,299.67,1,0,202,16,2,0.99543379,2,21,4,삼성,1
김동엽,18,14,130.33,1,0,30,0,0,0.967741935,0,0,0,삼성,1
김동한,33,19,177.33,2,0,32,51,14,0.976470588,0,0,0,롯데,3
김문호,35,21,185.66,1,0,38,0,0,0.974358974,0,0,0,롯데,3
김민성,105,104,841.67,6,0,61,177,12,0.975409836,0,0,0,LG,1
김민수,11,10,89,1,0,9,13,0,0.957,0,0,0,롯데,1
김민수,29,8,104.33,0,0,67,7,1,1,3,6,2,삼성,1
김민식,49,29,260,3,1,204,14,3,0.986425339,4,22,6,KIA,1
김민하,75,33,346,2,0,88,4,0,0.978723404,0,0,0,한화,4
김민혁,124,110,903,4,0,218,1,1,0.98206278,0,0,0,KT,3
김병희,3,2,17,0,0,2,5,0,1,0,0,0,KT,1
김사훈,3,0,6,0,0,5,0,0,1,0,0,0,롯데,1
김상수,121,117,993,10,0,235,328,75,0.982547993,0,0,0,삼성,1
김선빈,123,110,912.67,10,0,152,291,68,0.977924945,0,0,0,KIA,2
김성욱,116,83,775,2,0,191,3,1,0.989795918,0,0,0,NC,2
김성현,144,132,1143.67,26,0,179,358,83,0.953818828,0,0,0,SK,1
김성훈,54,13,192.66,3,0,44,56,14,0.970873786,0,0,0,삼성,4
김영환,8,3,28,0,0,4,6,0,1,0,0,0,KT,2
김용의,106,41,507,5,0,454,48,39,0.990138067,0,0,0,LG,3
김웅빈,3,3,20,0,0,3,5,0,1,0,0,0,키움,2
김은성,4,2,23,1,0,2,6,1,0.888888889,0,0,0,키움,2
김응민,8,2,29.33,0,0,24,1,0,1,1,0,0,삼성,1
김인태,25,17,160,0,0,48,0,0,1,0,0,0,두산,2
김인환,17,14,97,1,0,83,5,5,0.988764045,0,0,0,한화,1
김재성,3,2,17,0,0,16,2,1,1,0,1,1,LG,1
김재율,4,4,19,0,0,1,6,0,1,0,0,0,LG,1
김재현,6,1,13,0,0,2,3,0,2,0,0,0,삼성,3
김재현,60,7,141.67,0,0,29,0,0,3,0,0,0,SK,3
김재호,130,116,993.33,10,0,158,339,67,0.980276134,0,0,0,두산,1
김재환,124,124,1010,0,0,228,5,1,1,0,0,0,두산,1
김종민,10,5,50.67,0,0,42,5,0,1,0,4,0,한화,1
김주찬,91,73,604.34,6,0,493,41,48,0.988888889,0,0,0,KIA,2
김주형,3,0,6,0,0,0,1,0,1,0,0,0,키움,3
김준완,7,4,38.33,0,0,7,0,0,1,0,0,0,NC,3
김준태,42,26,236,2,1,216,14,0,0.99137931,3,20,2,롯데,1
김지수,68,3,141.33,2,0,29,37,9,0.970588235,0,0,0,키움,3
김진곤,14,5,50.33,0,0,13,0,0,1,0,0,0,KT,3
김진형,7,4,39,0,0,41,2,6,1,0,0,0,NC,1
김찬형,77,37,372.33,3,0,64,115,24,0.983516484,0,0,0,NC,3
김창평,19,15,126,0,0,30,48,11,1,0,0,0,SK,2
김창혁,2,0,6,0,0,5,0,0,1,0,0,0,한화,1
김철호,1,0,1,0,0,0,0,0,,0,0,0,NC,1
김태군,15,7,71.33,0,0,46,4,1,1,0,1,3,NC,1
김태균,31,30,223.33,1,0,201,13,19,0.995348837,0,0,0,한화,1
김태근,4,0,6,0,0,0,0,0,,0,0,0,두산,3
김태연,8,0,15.33,1,0,4,3,0,0.875,0,0,0,한화,3
김태진,116,83,720,3,0,178,70,17,0.988047809,0,0,0,NC,5
김하성,141,128,1086.33,20,0,157,328,66,0.96039604,0,0,0,키움,2
김헌곤,118,110,970,0,0,224,8,2,1,0,0,0,삼성,3
김현수,139,122,1041.33,1,0,409,24,28,0.997695853,0,0,0,LG,2
김형준,51,31,286.67,1,0,216,22,2,0.9958159,2,15,10,NC,1
김혜성,135,97,890.33,15,0,171,305,52,0.969450102,0,0,0,키움,3
김호재,27,5,79,0,0,15,20,10,1,0,0,0,삼성,3
김회성,61,25,272.34,2,0,147,39,25,0.989361702,0,0,0,한화,3
나경민,28,10,119.67,0,0,35,0,0,1,0,0,0,롯데,3
나성범,24,23,201.66,0,0,49,1,0,1,0,0,0,NC,2
나종덕,103,66,556.67,5,1,474,42,7,0.990403071,1,40,24,롯데,1
나주환,89,60,528,1,0,154,170,45,0.996923077,0,0,0,SK,3
나지완,15,9,78,0,0,16,0,0,1,0,0,0,KIA,2
남태혁,2,2,13,0,0,12,0,1,1,0,0,0,SK,1
노수광,142,101,896,3,0,248,7,0,0.988372093,0,0,0,SK,3
노시환,85,46,431.67,7,0,222,71,30,0.976666667,0,1,0,한화,4
노진혁,124,92,800,5,0,102,247,41,0.985875706,0,0,0,NC,3
러프,91,91,780.33,5,0,669,60,67,0.993188011,0,0,0,삼성,1
로맥,140,133,1180.33,4,0,1030,62,104,0.996350365,0,0,0,SK,2
로하스,141,129,1087.67,6,0,280,8,1,0.979591837,0,0,0,KT,4
류승현,56,37,309.67,1,0,210,33,19,0.995901639,0,0,0,KIA,5
류지혁,147,71,691,11,0,149,196,43,0.969101124,0,0,0,두산,5
류형우,10,3,29,0,0,17,1,2,1,0,0,0,LG,2
모창민,71,63,545,5,0,489,39,56,0.990619137,0,0,0,NC,1
문규현,37,15,153,3,0,29,49,9,0.962962963,0,0,0,롯데,4
문상철,20,13,105.33,4,0,101,9,10,0.964912281,0,0,0,KT,1
문선재,28,14,133.33,2,0,49,1,3,0.961538462,0,0,0,KIA,3
민병헌,102,92,799,2,0,201,5,1,0.990384615,0,0,0,롯데,2
박건우,133,121,1002.33,3,0,250,2,1,0.988235294,0,0,0,두산,2
박경수,126,121,983.67,9,0,222,349,81,0.984482759,0,0,0,KT,1
박계범,59,47,415.34,9,0,77,105,25,0.952879581,0,0,0,삼성,3
박동원,89,64,608,1,2,487,40,4,0.998106061,3,47,18,키움,1
박민석,3,0,3,0,0,0,1,0,1,0,0,0,KT,2
박민우,116,111,928.33,9,0,232,301,63,0.983394834,0,0,0,NC,1
박병호,108,108,906.67,6,0,923,79,88,0.994047619,0,0,0,키움,1
박석민,65,61,475.33,11,0,45,77,12,0.917293233,0,0,0,NC,1
박세혁,135,128,1071.67,8,0,786,55,5,0.99057715,4,85,23,두산,1
박승규,15,7,62,0,0,17,0,0,1,0,0,0,삼성,3
박승욱,114,52,552,5,0,324,96,47,0.988235294,0,0,0,KT,4
박용택,4,3,25.67,0,0,4,0,0,1,0,0,0,LG,2
박유연,2,0,2,0,0,2,0,0,1,1,0,0,두산,1
박정권,7,4,42.33,0,0,36,1,3,1,0,0,0,SK,1
박정음,50,21,208.33,0,0,49,1,1,1,0,0,0,키움,3
박준태,35,11,126.34,0,0,31,1,1,1,0,0,0,KIA,3
박준혁,3,0,8,0,0,0,0,0,,0,0,0,한화,3
박지규,11,5,45,1,0,11,5,1,0.941176471,0,0,0,LG,2
박찬도,27,6,92.67,0,0,19,0,0,1,0,0,0,삼성,3
박찬호,166,130,1141,16,0,186,296,48,0.967871486,0,0,0,KIA,3
박한결,7,2,29,0,0,5,8,1,1,0,0,0,한화,1
박한이,12,7,64.33,1,0,14,0,0,0.933333333,0,0,0,삼성,2
박해민,144,130,1162.33,2,0,393,11,5,0.995073892,0,0,0,삼성,2
박헌욱,7,3,27,0,0,8,0,0,1,0,0,0,NC,3
배성근,31,10,113,3,0,20,29,7,0.942307692,0,0,0,롯데,3
배영섭,27,18,159.67,0,0,31,0,0,1,0,0,0,SK,3
배정대,65,13,213.33,1,0,64,2,1,0.985074627,0,0,0,KT,3
백동훈,41,10,139,0,0,55,0,0,1,0,0,0,두산,3
백승민,8,5,53,1,0,57,3,7,0.983606557,0,0,0,삼성,1
백승현,14,10,77,1,0,14,21,2,0.972222222,0,0,0,LG,3
백용환,20,11,104.33,2,0,84,10,1,0.979166667,1,9,5,KIA,1
백창수,16,16,106.67,0,0,22,1,0,1,0,0,0,한화,2
베탄코트,47,46,386.33,10,0,229,14,10,0.960474308,0,4,4,NC,3
변우혁,28,14,135,1,0,124,12,18,0.99270073,0,0,0,한화,2
샌즈,138,125,1073,5,0,358,11,11,0.986631016,0,0,0,키움,2
서건창,62,61,481,6,0,106,163,35,0.978181818,0,0,0,키움,1
서상우,2,0,6,0,0,5,0,0,1,0,0,0,LG,1
서예일,8,0,15.33,0,0,2,3,0,1,0,0,0,두산,3
손시헌,67,35,344.33,4,0,54,138,31,0.979591837,0,0,0,NC,1
손아섭,129,125,1066.67,4,0,251,6,2,0.98467433,0,0,0,롯데,1
손주인,17,10,88.67,4,0,47,15,11,0.939393939,0,0,0,삼성,3
송광민,120,115,974,16,0,79,218,33,0.948881789,0,0,0,한화,1
송민섭,87,6,182.99,0,0,58,2,0,1,0,0,0,KT,3
송성문,96,73,659,7,0,84,154,33,0.971428571,0,0,0,키움,3
송승환,1,0,1,0,0,0,0,0,,0,0,0,두산,1
송준석,25,13,116,1,0,36,0,0,0.972972973,0,0,0,삼성,3
스몰린스키,53,52,455.67,3,0,135,3,1,0.978723404,0,0,0,NC,1
신민재,59,14,189.33,0,0,56,46,13,1,0,0,0,LG,3
신범수,31,12,126.67,1,0,101,16,0,0.991525424,1,10,6,KIA,1
신본기,125,111,942.67,15,0,165,281,58,0.967462039,0,0,0,롯데,3
신성현,32,11,115.34,2,0,79,9,5,0.977777778,0,0,0,두산,6
신용수,19,3,54.33,4,0,11,13,3,0.857142857,0,0,0,롯데,3
심우준,142,117,1039.99,11,0,220,315,79,0.97985348,0,0,0,KT,3
아수아헤,48,43,385.67,3,0,96,120,24,0.98630137,0,0,0,롯데,1
안상현,68,19,293,6,0,62,99,20,0.964071856,0,0,0,SK,2
안승한,36,11,119,2,0,88,5,0,0.978947368,1,8,2,KT,1
안중열,73,42,381.67,5,1,286,31,2,0.98447205,7,26,8,롯데,1
안치영,3,1,13,0,0,1,4,0,1,0,0,0,KT,2
안치홍,110,98,805.33,11,0,224,237,66,0.976694915,0,0,0,KIA,2
양성우,56,28,301.33,0,0,61,3,0,1,0,0,0,한화,3
양의지,91,87,723.33,2,1,590,45,10,0.996860283,2,37,15,NC,1
양종민,18,14,119.67,4,0,22,27,1,0.924528302,0,0,0,LG,3
예진원,2,2,18,0,0,5,0,0,1,0,0,0,키움,2
오선우,23,11,120.67,0,0,34,3,0,1,0,0,0,KIA,3
오선진,127,116,981.67,12,0,167,312,72,0.975560081,0,0,0,한화,3
오윤석,90,51,482.66,5,0,278,86,38,0.986449864,0,0,0,롯데,3
오재원,90,44,484,7,0,126,160,45,0.976109215,0,0,0,두산,2
오재일,126,119,1044,4,0,1031,76,100,0.99639964,0,0,0,두산,1
오정환,23,5,76,1,0,14,19,4,0.970588235,0,0,0,KIA,4
오준혁,1,0,1,0,0,0,0,0,,0,0,0,SK,1
오지환,134,131,1101,12,0,214,402,100,0.98089172,0,0,0,LG,1
오태곤,126,91,793.67,9,0,704,73,66,0.988549618,0,0,0,KT,4
윌리엄슨,36,35,296.33,2,0,85,1,0,0.977272727,0,0,0,삼성,3
윌슨,68,62,534.67,4,0,140,87,18,0.982683983,0,0,0,롯데,3
유강남,128,115,968.33,7,0,757,61,9,0.991515152,5,84,25,LG,1
유민상,38,31,285,3,0,283,18,28,0.990131579,0,0,0,KIA,1
유영준,3,1,10,0,0,12,2,0,1,0,0,0,NC,2
유장혁,25,15,137.33,0,0,35,0,0,1,0,0,0,한화,2
유재신,53,9,155.67,1,0,43,0,0,0.977272727,0,0,0,KIA,4
유한준,52,49,388.67,2,0,81,4,1,0.977011494,0,0,0,KT,2
윤석민,53,38,308.67,5,0,191,33,21,0.978165939,0,0,0,KT,2
윤수강,2,0,6,1,0,4,0,0,0.8,0,0,0,NC,1
윤진호,111,4,250.33,2,0,40,71,16,0.982300885,0,0,0,LG,3
윤해진,1,0,3,0,0,0,0,0,,0,0,0,KIA,1
이대형,2,0,6,0,0,3,0,0,1,0,0,0,KT,2
이대호,21,20,147.67,1,0,140,17,16,0.993670886,0,0,0,롯데,1
이동훈,21,5,72.33,0,0,20,0,0,1,0,0,0,한화,3
이명기,162,118,1027.34,2,0,267,2,1,0.992619926,0,0,0,NC,3
이범호,4,2,15,0,0,5,2,0,1,0,0,0,KIA,2
이상호,103,53,523,5,0,238,98,39,0.985337243,0,0,0,NC,5
이성곤,7,5,40,0,0,13,1,0,1,0,0,0,삼성,2
이성규,12,10,82,3,0,15,21,6,0.923076923,0,0,0,삼성,3
이성열,79,67,551,5,0,250,14,19,0.981412639,0,0,0,한화,3
이성우,53,19,210,3,0,143,16,0,0.981481481,0,23,8,LG,1
이우성,43,32,268.33,1,0,61,1,0,0.984126984,0,0,0,KIA,3
이원석,97,87,739,13,0,50,126,11,0.931216931,0,0,0,삼성,5
이원재,85,60,528.67,4,0,376,22,25,0.990049751,0,0,0,NC,3
이유찬,13,3,33.67,1,0,5,10,0,0.9375,0,0,0,두산,2
이인행,8,6,37,0,0,7,0,0,1,0,0,0,KIA,1
이인혁,6,2,21,0,0,5,0,0,1,0,0,0,NC,3
이재원,136,121,1041,6,0,889,58,4,0.993704092,3,84,19,SK,1
이정후,175,130,1142,2,0,262,6,4,0.992592593,0,0,0,키움,3
이정훈,6,4,32,0,0,29,1,0,1,0,8,1,KIA,1
이준수,32,14,141.67,2,0,96,10,0,0.981481481,1,16,3,KT,1
이지영,83,74,605,3,2,468,39,8,0.994117647,3,40,12,키움,1
이진영,9,4,40,0,0,11,0,0,1,0,0,0,KIA,3
이찬건,2,0,6,0,0,1,0,0,1,0,0,0,롯데,1
이창열,4,1,15,0,0,1,3,0,1,0,0,0,한화,3
이창진,137,116,1017.33,5,0,287,20,6,0.983974359,0,0,0,KIA,3
이천웅,134,124,1070.34,1,0,272,6,3,0.996415771,0,0,0,LG,3
이학주,117,110,938.33,19,0,159,281,67,0.958605664,0,0,0,삼성,2
이해창,25,12,103.33,1,0,68,10,1,0.987341772,3,6,5,KT,1
이현동,1,1,7,1,0,2,0,0,0.666666667,0,0,0,삼성,1
이현석,2,1,9,0,0,7,0,0,1,0,0,0,SK,1
이형종,110,91,756.33,2,0,201,7,2,0.99047619,0,0,0,LG,4
이흥련,23,8,91,0,0,47,4,0,1,0,6,3,두산,1
임병욱,117,101,904.67,4,0,248,9,2,0.98467433,0,0,0,키움,1
임재현,4,1,11,0,0,1,0,0,1,0,0,0,SK,2
임지열,8,3,30,2,0,7,3,0,0.833333333,0,0,0,키움,2
장성우,125,107,911.67,5,0,626,54,4,0.99270073,10,60,24,KT,1
장승현,34,8,119,0,0,69,7,1,1,1,5,3,두산,1
장영석,107,83,732.33,10,0,210,132,23,0.971590909,0,0,0,키움,2
장운호,6,2,25,0,0,2,1,0,1,0,0,0,한화,2
장진혁,125,80,742.66,3,0,203,6,0,0.985849057,0,0,0,한화,3
전민수,40,7,131,0,0,37,3,0,1,0,0,0,LG,3
전민재,1,0,1,0,0,0,1,0,1,0,0,0,두산,1
전병우,21,12,100.66,2,0,67,11,5,0.975,0,0,0,롯데,4
전준우,137,135,1165,4,0,238,7,2,0.983935743,0,0,0,롯데,2
전준호,8,2,24,0,0,20,0,0,1,0,0,0,LG,1
정근우,82,70,559,6,0,280,13,22,0.97993311,0,0,0,한화,2
정범모,25,8,103,1,0,89,5,1,0.989473684,0,7,4,NC,1
정병곤,18,7,77.67,1,0,15,26,4,0.976190476,0,0,0,두산,3
정보근,15,10,89.67,0,0,72,7,1,1,0,5,4,롯데,1
정상호,21,6,64,0,0,47,4,0,1,2,7,0,LG,1
정수빈,121,114,1012.67,3,0,302,4,1,0.990291262,0,0,0,두산,1
정은원,142,137,1192.67,13,0,299,421,115,0.982264666,0,0,0,한화,1
정의윤,52,45,376,1,0,69,0,0,0.985714286,0,0,0,SK,2
정주현,128,124,972,13,0,209,307,77,0.975425331,0,0,0,LG,1
정준혁,4,2,24,0,0,2,0,0,1,0,0,0,롯데,2
정진기,12,3,42,0,0,11,1,0,1,0,0,0,SK,3
정진호,61,24,271.33,0,0,61,2,0,1,0,0,0,두산,3
정현,28,12,111.66,0,0,28,29,13,1,0,0,0,SK,3
정훈,79,42,414,4,0,263,14,25,0.985765125,0,0,0,롯데,5
