Name,P1,P2,P3,연차,20연봉,FA유무
손아섭,213.8666769,1491.159405,526.8797141,13,12.20607265,1
양의지,445.9548105,3490.532015,1278.756078,14,12.20607265,1
최형우,100.5132938,412.0019143,129.8548012,18,11.91839057,1
김현수,185.8309443,1185.805582,413.024319,14,11.77528973,1
이재원,593.0416988,5001.142334,1850.382036,14,11.77528973,1
민병헌,219.9783273,1610.641218,577.2077793,14,11.73606902,1
강민호,474.9042441,4024.135586,1490.265693,16,11.73606902,1
최정,365.1321153,2695.195859,975.299338,15,11.69524702,1
황재균,326.3991974,2510.58795,913.7964815,14,11.69524702,1
박용택,17.92763444,30.26263535,5.948139726,22,11.28978191,1
박석민,158.6408564,1067.631495,381.2540194,16,11.15625052,1
김재환,180.3941138,1172.949348,411.4737475,12,11.08214255,0
김재호,487.4806952,4030.849975,1476.875396,16,11.08214255,1
오지환,541.8299727,4472.978644,1638.618752,11,11.00209984,0
나지완,19.24037261,94.65605686,32.55241125,12,11.00209984,1
김하성,506.7246602,3927.554066,1426.937001,6,10.91508846,0
박민우,407.7587834,3173.744831,1145.689298,8,10.858999,0
전준우,206.8576917,1347.177918,472.5663681,12,10.81977828,0
유한준,110.2592086,535.752487,175.9346623,20,10.81977828,1
이성열,119.0375253,701.2855346,240.3859077,17,10.81977828,0
허경민,326.6911547,2570.466999,938.5647234,11,10.77895629,0
오재일,174.7698917,1093.184901,374.6085075,15,10.75790288,0
박건우,214.1624421,1441.268549,506.5781961,11,10.71441777,0
김선빈,443.1038972,3644.27926,1333.5121,12,10.71441777,0
박경수,408.9639616,3362.558753,1223.758648,17,10.59663473,1
김주찬,98.57049616,635.811657,219.5973234,20,10.59663473,0
이정후,248.2204757,1673.811128,590.0048799,3,10.57131693,0
김강민,247.4328183,1922.933974,695.2101829,19,10.46310334,0
정근우,122.6667669,919.7352796,329.6832488,15,10.46310334,1
정수빈,266.6900628,2057.501411,742.7548637,11,10.4341158,0
채은성,184.5627704,1245.930199,437.8447815,11,10.37349118,0
박해민,301.2033396,2357.987443,852.9952966,8,10.30895266,0
이원석,220.3551083,1662.459653,603.9195905,15,10.30895266,1
정의윤,86.56707446,473.9827214,160.7931809,15,10.30895266,1
모창민,99.59566209,569.0512849,191.9108984,12,10.30895266,1
이지영,342.4525887,2906.034489,1076.15373,12,10.30895266,0
오재원,191.2978039,1631.819446,597.4980623,17,10.30895266,1
안치홍,322.1786867,2544.2606,920.1904062,11,10.27505111,0
구자욱,181.6590664,1225.070132,430.8227326,8,10.23995979,0
최주환,215.3346732,1715.54339,621.9338275,14,10.20359214,0
김상수,421.5444524,3392.861566,1230.899226,11,10.1266311,1
