Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉,FA유무
이대호,293.568,0,3.229,0.43073968,0.271901996,-0.353330562,19,250000,1
박병호,1802.46,0,19.827,6.306705577,21.72927764,-0.696031573,15,200000,0
양의지,5769.28,721.16,266.829,7.044221936,26.16479388,-1.574605781,14,200000,1
손아섭,2626.675,210.134,37.824,0.129452676,1.146793557,0.840855591,13,200000,1
최형우,700,70,12.6,4.532154282,15.2437346,-1.266848827,18,150000,1
김현수,2080.985,166.4,34.539,1.767738531,5.360719719,0.291451609,14,130000,1
이재원,8278.032,1034.754,382.859,-2.301805248,-8.764942702,0.021926941,14,130000,1
최정,4409.072,661.361,136.681,5.856567879,19.86284,0.514755738,15,120000,1
황재균,4123.564,602.866,127.589,1.691392801,7.077465689,1.576167861,14,120000,1
김재호,6814.244,778.771,213.188,-1.15518288,-3.573445469,-1.027897146,16,65000,1
김재환,2020,202,36.36,1.412910056,4.66224385,0.223125299,12,65000,0
오지환,7560.567,864.065,236.538,-0.909434347,-1.937593774,1.704887008,11,60000,0
김하성,6602.337,785.83,206.309,5.433784533,21.13271144,3.338306037,6,55000,0
박민우,5475.29,547.529,113.156,2.220881959,7.174038042,-1.574812209,8,52000,0
김태균,444.427,0,4.889,-0.064152501,0.577224206,-1.477551201,19,50000,1
이성열,1254.114,75.194,16.991,0.950849095,5.260352543,1.100035095,17,50000,0
유한준,934.671,74.774,13.459,1.842632201,5.988720967,-0.287393163,20,50000,1
전준우,2318.764,232.726,41.806,2.780871794,9.850084416,1.794035785,12,50000,0
허경민,4211.04,631.056,130.418,-1.628006901,-6.245358056,0.318662547,11,48000,0
오재일,2079.648,0,22.876,3.161585529,11.3021707,-0.26272242,15,47000,0
김선빈,6169.599,698.688,188.256,-1.813831198,-5.952294312,-0.869446214,12,45000,0
박건우,2530.037,209.003,37.346,3.156020662,11.91300954,0.301223061,11,45000,0
박경수,5807.588,580.759,120.023,-2.568196379,-9.046290809,-0.786540396,17,40000,1
이정후,2884.098,290.201,50.647,3.118002303,10.15949608,0.590655154,3,39000,0
김강민,3279.183,374.764,62.773,-2.963349869,-8.623755406,0.419448603,19,35000,0
서건창,2822.508,282.251,58.332,-0.268815751,-0.817699348,-0.920955406,12,35000,0
정수빈,3508.902,401.017,67.17,-2.30782254,-9.060684698,-0.781986489,11,34000,0
채은성,2193.667,175.493,31.589,0.309011497,0.839012958,-0.583545259,11,32000,0
박해민,4025.088,456.506,76.802,-3.220518467,-11.90926062,1.717313508,8,30000,0
이원석,2722.952,406.843,83.914,-0.733187038,-2.313841182,0.463211855,15,30000,1
이천웅,3690.13,420.339,70.483,0.000101555,-0.822113283,-0.598107673,9,28000,0
구자욱,2156.243,172.499,31.05,0.316812973,2.077893928,2.011139474,8,28000,0
한동민,1889.178,151.134,27.204,-0.10617778,-0.429280661,-1.410329462,8,25000,0
송광민,3697.304,554.596,114.616,-4.87531662,-16.32358142,0.609294578,18,25000,1
김상수,5856.714,585.671,121.039,-1.391877909,-4.805668422,0.507081733,11,25000,1
이명기,2553.98,244.788,43.043,-1.719907282,-6.627398823,-0.506265544,14,24000,0
박세혁,8496.2,1062.025,392.949,-1.081874037,-3.729760497,0.073718104,8,23200,0
유강남,7684.667,960.583,355.416,-1.133179604,-3.973103582,-0.773417547,9,23000,0
강백호,1549.272,127.421,23.109,4.573051255,18.11011392,-0.85315793,2,21000,0
김성현,7637.428,872.849,238.942,-6.448840832,-23.23875604,-0.008928049,14,21000,0
이형종,1883.255,182.842,32.126,0.601273256,3.221104691,0.159112259,12,20000,0
최재훈,8124.09,1015.511,375.739,-0.976906939,-2.468534026,-2.080564108,12,20000,0
김헌곤,2023.5,204.6,36.563,-1.531184588,-4.634961603,-0.485280459,9,19000,0
고종욱,1022.057,102.206,18.397,-0.078693602,0.214247752,-0.545534132,9,17000,0
정은원,7027.212,702.721,145.229,-1.867175569,-6.869970881,1.991542802,2,12000,0
박찬호,5649.993,734.27,171.659,-4.667436129,-17.23458964,0.664886453,6,10500,0
오선진,6659.623,760.843,207.194,-6.544809174,-22.59341349,0.092548395,12,10500,0
김민혁,2060.053,215.589,37.846,-4.125332194,-15.64838503,-0.962851704,6,9000,0
이창진,3594.452,406.937,69.22,-1.153746649,-2.51977755,-0.637282239,6,8500,0
