Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉,FA유무
이대호,293.568,0,3.229,44.08045532,145.6403449,17.79368835,19,250000,1
박병호,1802.46,0,19.827,57.48700319,189.6789649,23.60965702,15,200000,0
양의지,5769.28,721.16,266.829,56.48635932,191.4567549,27.10977401,14,200000,1
손아섭,2626.675,210.134,37.824,45.43042196,158.2285449,26.04734143,13,200000,1
최형우,700,70,12.6,55.2883177,182.5300249,22.41226708,18,150000,1
김현수,2080.985,166.4,34.539,52.57460989,176.9899849,24.45165706,14,130000,1
이재원,8278.032,1034.754,382.859,34.60496464,115.8284349,15.11896961,14,130000,1
최정,4409.072,661.361,136.681,64.83436801,217.7579549,30.25219814,15,120000,1
황재균,4123.564,602.866,127.589,45.71310225,160.6696849,27.54081188,14,120000,1
김재호,6814.244,778.771,213.188,35.63308162,120.3989749,16.58004601,16,65000,1
김재환,2020,202,36.36,48.91483108,165.0483449,23.43178155,12,65000,0
오지환,7560.567,864.065,236.538,39.72023585,140.9867149,25.37291711,11,60000,0
김하성,6602.337,785.83,206.309,65.79966065,234.4614949,43.25345957,6,55000,0
박민우,5475.29,547.529,113.156,51.08974203,170.1650349,21.64838237,8,52000,0
김태균,444.427,0,4.889,39.83549269,134.5927149,18.73635629,19,50000,1
이성열,1254.114,75.194,16.991,39.67348315,139.5118549,24.04824607,17,50000,0
유한준,934.671,74.774,13.459,50.41039524,170.0675649,23.62722401,20,50000,1
전준우,2318.764,232.726,41.806,55.37044638,191.2177549,30.49555649,12,50000,0
허경민,4211.04,631.056,130.418,39.79799575,135.8171449,19.90512496,11,48000,0
오재일,2079.648,0,22.876,50.5416228,169.5321349,23.03541855,15,47000,0
김선빈,6169.599,698.688,188.256,34.46259607,116.8761749,16.0673637,12,45000,0
박건우,2530.037,209.003,37.346,51.58601832,178.2572049,28.20096893,11,45000,0
박경수,5807.588,580.759,120.023,30.86785747,102.1698649,12.48274405,17,40000,1
이정후,2884.098,290.201,50.647,60.16935728,204.5453949,29.75346169,3,39000,0
김강민,3279.183,374.764,62.773,31.13043923,110.5932349,19.60577262,19,35000,0
서건창,2822.508,282.251,58.332,41.04093391,138.3208149,18.77262944,12,35000,0
정수빈,3508.902,401.017,67.17,36.03010121,119.1802949,14.40849997,11,34000,0
채은성,2193.667,175.493,31.589,44.39518252,149.1770249,20.17484385,11,32000,0
박해민,4025.088,456.506,76.802,36.12775361,125.3886749,20.2584474,8,30000,0
이원석,2722.952,406.843,83.914,35.11292811,118.7980549,16.64306202,15,30000,1
이천웅,3690.13,420.339,70.483,47.17534632,158.4478149,21.45844215,9,28000,0
구자욱,2156.243,172.499,31.05,43.21833553,151.9475749,26.20018686,8,28000,0
한동민,1889.178,151.134,27.204,39.06742257,129.1763149,15.74502804,8,25000,0
송광민,3697.304,554.596,114.616,26.38924346,92.83889491,15.63050238,18,25000,1
김상수,5856.714,585.671,121.039,39.58062032,136.6840049,21.38300443,11,25000,1
이명기,2553.98,244.788,43.043,39.35946361,132.6600149,18.10526039,14,24000,0
박세혁,8496.2,1062.025,392.949,38.85925061,132.3535349,19.20189588,8,23200,0
유강남,7684.667,960.583,355.416,33.58245097,111.1504249,13.49547236,9,23000,0
강백호,1549.272,127.421,23.109,52.65055806,181.6058149,28.42362438,2,21000,0
김성현,7637.428,872.849,238.942,23.02231031,77.68383491,10.1238176,14,21000,0
이형종,1883.255,182.842,32.126,41.01387759,141.5113249,22.15073013,12,20000,0
최재훈,8124.09,1015.511,375.739,34.59640049,116.7364649,15.70931878,12,20000,0
김헌곤,2023.5,204.6,36.563,34.57855791,119.3164149,18.18080706,9,19000,0
고종욱,1022.057,102.206,18.397,42.60038649,144.7501349,20.80909999,9,17000,0
정은원,7027.212,702.721,145.229,41.61430631,144.7664749,23.91047258,2,12000,0
박찬호,5649.993,734.27,171.659,31.19627521,105.9563849,15.11979246,6,10500,0
오선진,6659.623,760.843,207.194,22.26822643,76.96943491,11.65163011,12,10500,0
김민혁,2060.053,215.589,37.846,32.39571062,107.2057749,12.87654818,6,9000,0
이창진,3594.452,406.937,69.22,34.18325924,118.0898049,18.38301296,6,8500,0
