Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉
이대호,293.568,0.0,3.229,44.080455318057744,145.64034491386926,17.79368835043865,19,250000
박병호,1802.46,0.0,19.827,57.48700319086951,189.67896491386927,23.609657020179018,15,200000
양의지,5769.28,721.16,266.829,56.4863593235957,191.45675491386925,27.109774013589615,14,200000
손아섭,2626.675,210.134,37.824,45.43042196166634,158.22854491386926,26.047341425009776,13,200000
최형우,700.0,70.0,12.6,55.28831769602232,182.53002491386923,22.412267075735954,18,150000
김현수,2080.985,166.4,34.539,52.57460988615472,176.98998491386928,24.451657063989703,14,130000
이재원,8278.032,1034.754,382.859,34.604964644241385,115.82843491386924,15.118969609213813,14,130000
최정,4409.072,661.361,136.681,64.83436801249019,217.75795491386924,30.252198136904454,15,120000
황재균,4123.564,602.866,127.589,45.7131022493133,160.66968491386922,27.540811877062595,14,120000
김재호,6814.244,778.771,213.188,35.63308162085794,120.39897491386925,16.580046013271943,16,65000
김재환,2020.0,202.0,36.36,48.91483107812861,165.04834491386922,23.43178154755472,12,65000
오지환,7560.567,864.065,236.538,39.72023585024539,140.98671491386926,25.372917109464446,11,60000
김하성,6602.337,785.83,206.309,65.79966065334723,234.4614949138693,43.25345956694224,6,55000
박민우,5475.29,547.529,113.156,51.089742026530246,170.16503491386925,21.648382369490232,8,52000
김태균,444.427,0.0,4.889,39.83549269493218,134.5927149138693,18.7363562929336,19,50000
이성열,1254.114,75.194,16.991,39.6734831486123,139.51185491386929,24.04824607423099,17,50000
유한준,934.671,74.774,13.459,50.41039524012251,170.06756491386923,23.62722401327257,20,50000
전준우,2318.764,232.726,41.806,55.37044638104804,191.21775491386924,30.495556486537414,12,50000
허경민,4211.04,631.056,130.41799999999998,39.797995747905496,135.81714491386924,19.905124961823777,11,48000
오재일,2079.648,0.0,22.876,50.541622801852455,169.53213491386924,23.03541854976579,15,47000
김선빈,6169.599,698.688,188.25600000000003,34.462596066466574,116.87617491386928,16.067363695424653,12,45000
박건우,2530.037,209.003,37.346,51.58601832020356,178.25720491386926,28.20096893098116,11,45000
박경수,5807.588,580.759,120.023,30.8678574690051,102.16986491386926,12.482744047482454,17,40000
이정후,2884.098,290.201,50.647,60.16935728047906,204.54539491386927,29.75346169456969,3,39000
김강민,3279.183,374.764,62.773,31.130439234357468,110.59323491386927,19.605772623844167,19,35000
서건창,2822.508,282.251,58.332,41.040933913446096,138.3208149138693,18.77262944387862,12,35000
정수빈,3508.902,401.017,67.17,36.030101214487615,119.18029491386925,14.408499970137898,11,34000
채은성,2193.667,175.493,31.589,44.39518252077494,149.17702491386927,20.17484385117314,11,32000
박해민,4025.088,456.506,76.802,36.12775360902923,125.38867491386927,20.258447404825482,8,30000
이원석,2722.952,406.843,83.914,35.112928110884134,118.79805491386927,16.64306202033553,15,30000
이천웅,3690.13,420.339,70.483,47.17534632430309,158.44781491386922,21.458442146162053,9,28000
구자욱,2156.243,172.499,31.05,43.21833553389416,151.94757491386932,26.200186864275015,8,28000
한동민,1889.178,151.134,27.204,39.067422565263115,129.17631491386925,15.745028039633777,8,25000
송광민,3697.304,554.596,114.616,26.389243460906002,92.83889491386925,15.630502375392696,18,25000
김상수,5856.714,585.671,121.039,39.580620319681216,136.68400491386927,21.38300442500076,11,25000
이명기,2553.98,244.788,43.043,39.35946361263634,132.66001491386928,18.10526039484849,14,24000
박세혁,8496.2,1062.025,392.949,38.85925060974629,132.35353491386925,19.201895884638976,8,23200
유강남,7684.667,960.583,355.416,33.58245096595884,111.15042491386927,13.495472358277624,9,23000
강백호,1549.2720000000002,127.421,23.109,52.65055806287292,181.60581491386927,28.423624375602383,2,21000
김성현,7637.428,872.849,238.942,23.02231030551212,77.68383491386926,10.123817597594721,14,21000
이형종,1883.255,182.842,32.126000000000005,41.013877589443666,141.51132491386926,22.150730129377585,12,20000
최재훈,8124.09,1015.511,375.739,34.59640049068086,116.73646491386924,15.709318781816929,12,20000
김헌곤,2023.5,204.6,36.563,34.57855791303447,119.31641491386925,18.180807064816864,9,19000
고종욱,1022.057,102.206,18.397,42.600386494485186,144.7501349138693,20.809099992468084,9,17000
정은원,7027.212,702.721,145.229,41.61430630931517,144.7664749138693,23.91047257579338,2,12000
박찬호,5649.993,734.27,171.659,31.196275207559644,105.95638491386926,15.119792464795518,6,10500
오선진,6659.623,760.8430000000001,207.194,22.268226433221987,76.96943491386926,11.651630114750093,12,10500
김민혁,2060.053,215.58900000000003,37.846,32.39571061924115,107.20577491386926,12.876548182691895,6,9000
이창진,3594.452,406.937,69.22,34.18325923965725,118.08980491386926,18.38301296327615,6,8500
