Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉
이대호,-0.151,0.0,-0.002,0.4307396802365754,0.2719019958456954,-0.3533305619599488,19,250000
박병호,5.374,0.0,0.059,6.306705576737186,21.729277636908158,-0.6960315726574813,15,200000
양의지,16.206,2.026,0.75,7.044221935502742,26.164793876652077,-1.574605781498684,14,200000
손아섭,8.099,0.648,0.117,0.1294526763391368,1.1467935572493255,0.8408555905739141,13,200000
최형우,1.33,0.133,0.024,4.532154282034184,15.243734597354477,-1.2668488265554854,18,150000
김현수,5.158,0.486,0.09,1.7677385312916454,5.3607197186628035,0.29145160949467275,14,130000
이재원,25.407,3.176,1.175,-2.301805248064252,-8.764942701762136,0.021926940720647554,14,130000
최정,13.786,2.068,0.427,5.856567878679339,19.86283999776677,0.5147557384996229,15,120000
황재균,7.294,1.371,0.248,1.6913928009319816,7.077465688943667,1.5761678605928697,14,120000
김재호,20.721,2.368,0.648,-1.1551828797268477,-3.5734454686748864,-1.0278971460975193,16,65000
김재환,6.163,0.616,0.111,1.4129100557031824,4.662243850141765,0.2231252991365274,12,65000
오지환,23.449,2.68,0.734,-0.9094343466136402,-1.937593774239029,1.7048870079805813,11,60000
김하성,17.754,2.063,0.555,5.433784533218602,21.132711436236857,3.3383060370956406,6,55000
박민우,16.411,1.641,0.339,2.220881958957598,7.174038042100095,-1.5748122090505958,8,52000
김태균,0.4,0.0,0.004,-0.06415250118463413,0.5772242060263697,-1.4775512005183917,19,50000
이성열,1.88,0.156,0.027,0.9508490948133106,5.260352543470453,1.1000350947946973,17,50000
유한준,1.916,0.153,0.028,1.8426322011482728,5.9887209667940375,-0.2873931628936544,20,50000
전준우,5.118,0.484,0.09,2.780871793962885,9.850084416149853,1.794035785496161,12,50000
허경민,9.322,1.581,0.326,-1.6280069013165692,-6.245358055994359,0.3186625472925991,11,48000
오재일,6.386,0.0,0.07,3.161585529062629,11.302170696684799,-0.2627224197171571,15,47000
김선빈,14.776,1.717,0.483,-1.8138311976294605,-5.9522943118871146,-0.8694462137389808,12,45000
박건우,5.5840000000000005,0.3969999999999999,0.073,3.1560206624142806,11.913009540733036,0.30122306145836963,11,45000
박경수,17.624,1.762,0.364,-2.568196378902084,-9.046290808592596,-0.7865403961721869,17,40000
이정후,5.667,0.573,0.1,3.118002303022127,10.159496084289781,0.5906551535507333,3,39000
김강민,9.872,1.128,0.189,-2.9633498693389466,-8.623755405996025,0.4194486030922193,19,35000
서건창,6.716,0.672,0.139,-0.2688157510182038,-0.8176993477353081,-0.9209554055469343,12,35000
정수빈,10.711,1.224,0.205,-2.3078225404956636,-9.060684697579157,-0.7819864886276546,11,34000
채은성,6.506,0.52,0.094,0.3090114971407555,0.8390129575684077,-0.5835452586904171,11,32000
박해민,11.357,1.426,0.2269999999999999,-3.2205184674167864,-11.909260620637827,1.717313507526729,8,30000
이원석,3.979,0.7759999999999999,0.173,-0.733187037916301,-2.3138411818610267,0.463211854855716,15,30000
이천웅,8.587,1.047,0.173,0.00010155540148629183,-0.8221132825765046,-0.5981076730546239,9,28000
구자욱,6.368,0.509,0.092,0.3168129728879512,2.0778939282120685,2.011139473698809,8,28000
한동민,5.41,0.433,0.078,-0.10617778043125205,-0.42928066083224975,-1.4103294620222175,8,25000
송광민,11.197,1.68,0.347,-4.875316620226377,-16.32358142111254,0.6092945784369391,18,25000
김상수,17.808,1.781,0.368,-1.391877909280069,-4.805668422274632,0.507081733175849,11,25000
이명기,4.4670000000000005,0.408,0.073,-1.7199072823948078,-6.627398822992328,-0.5062655444465617,14,24000
박세혁,26.221,3.278,1.213,-1.0818740367668738,-3.7297604967096203,0.07371810407252577,8,23200
유강남,23.244,2.906,1.075,-1.1331796038859518,-3.973103581786388,-0.7734175469163581,9,23000
강백호,-4.16,-0.5169999999999999,-0.219,4.573051255182933,18.11011392119888,-0.853157930195818,2,21000
김성현,23.847,2.725,0.746,-6.448840832482245,-23.238756042833515,-0.008928048841990041,14,21000
이형종,0.7669999999999998,0.18,0.019,0.6012732563876337,3.221104690879564,0.15911225872633572,12,20000
최재훈,24.848,3.106,1.149,-0.9769069389248917,-2.4685340257693564,-2.08056410797681,12,20000
김헌곤,2.476,0.256,0.049,-1.5311845882410737,-4.634961602551767,-0.4852804588471756,9,19000
고종욱,2.541,0.254,0.046,-0.07869360192265956,0.21424775243510683,-0.5455341318843498,9,17000
정은원,22.097,2.21,0.457,-1.8671755694241807,-6.8699708813382,1.9915428024215387,2,12000
박찬호,10.485,1.49,0.348,-4.667436129452763,-17.234589637337102,0.6648864528272337,6,10500
오선진,14.009,1.566,0.475,-6.544809174451747,-22.593413486089517,0.09254839513557912,12,10500
김민혁,2.639,0.3,0.054,-4.125332194405398,-15.648385033791348,-0.962851703793152,6,9000
이창진,7.334,0.8769999999999999,0.136,-1.1537466491427082,-2.519777549755724,-0.6372822389523679,6,8500
