Name,P1,P2,P3,March_score,kWAR_score,AHP_score,연차,20연봉,FA유무
이정후,60.16920168041228,-33.6435718639998,29.752922188929308,2884.098,290.201,50.647,3,10.571316925111784,0
김하성,65.79949670561834,-36.44537747552762,43.25300708179157,6602.337,785.83,206.309,6,10.915088464214607,0
정은원,41.6142034455555,-22.51050529141475,23.91015330193409,7027.212,702.721,145.229,2,9.392661928770137,0
이천웅,47.175225540227835,-25.918054961752013,21.45800512867967,3690.13,420.339,70.483,9,10.239959789157341,0
최정,64.83420161631024,-35.11143594525694,30.25160927048591,4409.072,661.361,136.681,15,11.695247021764184,1
전준우,55.37030671034627,-30.328577982387724,30.495107904477763,2318.764,232.726,41.806,12,10.819778284410283,0
김현수,52.57447523770783,-28.790556093394542,24.451176169275573,2080.985,166.4,34.539,14,11.77528972943772,1
박해민,36.12766507445675,-19.450843260551306,20.258167200913768,4025.088,456.506,76.802,8,10.308952660644293,0
김재환,48.91470772694428,-26.19488921853415,23.43135182401511,2020.0,202.0,36.36,12,11.082142548877775,0
손아섭,45.43030914205766,-24.846866018100524,26.04698961765523,2626.675,210.134,37.824,13,12.206072645530174,1
유한준,50.41026654433292,-27.645597352351643,23.626766060865965,934.671,74.774,13.459,20,10.819778284410283,1
최형우,55.28817559531103,-29.76274615330721,22.411729547990703,700.0,70.0,12.6,18,11.918390573078392,1
이대호,44.08034298935319,-23.658180577827647,17.7932603829952,293.568,0.0,3.229,19,12.429216196844383,1
오지환,39.72014031346456,-21.264082326899505,25.37265019800094,7560.567,864.065,236.538,11,11.002099841204238,0
이명기,39.35936437768987,-21.46429965945224,18.104902714026238,2553.98,244.788,43.043,14,10.085809109330082,0
김상수,39.58052247838565,-21.503653457115686,21.382685298735876,5856.714,585.671,121.039,11,10.126631103850338,1
박찬호,31.196198424213584,-16.68663406048085,15.119524639266666,5649.993,734.27,171.659,6,9.259130536145614,0
허경민,39.79789620060957,-21.724129837133074,19.904781912647785,4211.04,631.056,130.41799999999998,11,10.778956289890028,0
박건우,51.585889039802,-28.23920683774594,28.200552188955584,2530.037,209.003,37.346,11,10.714417768752456,0
박병호,57.486856710779726,-30.314617354131794,23.609110118804136,1802.46,0.0,19.827,15,12.206072645530174,0
오재일,50.541495003668494,-27.061705957293427,23.034961508374174,2079.648,0.0,22.876,15,10.757902880692196,0
박민우,51.08961007786372,-28.218343701296913,21.647888214949297,5475.29,547.529,113.156,8,10.858998997563564,0
구자욱,43.21823008669777,-23.264602135876178,26.19987561022425,2156.243,172.499,31.05,8,10.239959789157341,0
김민혁,32.39562919687654,-17.471431465668225,12.87623275505175,2060.053,215.58900000000003,37.846,6,9.104979856318357,0
채은성,44.395070106826985,-24.10793416813223,20.174437274786264,2193.667,175.493,31.589,11,10.373491181781864,0
정수빈,36.030010566376255,-19.29314964789821,14.408152113340124,3508.902,401.017,67.17,11,10.4341158035983,0
고종욱,42.60027940654189,-23.207024250079776,20.808728815071024,1022.057,102.206,18.397,9,9.740968623038354,0
황재균,45.71299023546545,-24.766795346463386,27.54047848477798,4123.564,602.866,127.589,14,11.695247021764184,1
박세혁,38.85915404068275,-20.97916094237551,19.20156294838484,8496.2,1062.025,392.949,8,10.0519075576544,0
강백호,52.65042647165142,-28.701842498520225,28.42319827377346,1549.2720000000002,127.421,23.109,2,9.95227771670556,0
이재원,34.60487873948991,-18.406610556337395,15.118652730528536,8278.032,1034.754,382.859,14,11.77528972943772,1
한동민,39.0673247849872,-20.644045367386205,15.744656126056139,1889.178,151.134,27.204,8,10.126631103850338,0
김태균,39.83539369193188,-21.33918791538987,18.736006709051495,444.427,0.0,4.889,19,10.819778284410283,1
박경수,30.867782300478712,-15.84741591948834,12.482459684967615,5807.588,580.759,120.023,17,10.596634733096073,1
서건창,41.04083074882089,-22.319430378055234,18.77225727356422,2822.508,282.251,58.332,12,10.46310334047155,0
송광민,26.38918181018323,-13.845829230884325,15.630317961318658,3697.304,554.596,114.616,18,10.126631103850338,1
이형종,41.01377720395677,-21.89473470651717,22.150405671101442,1883.255,182.842,32.126000000000005,12,9.903487552536127,0
이성열,39.673388393823096,-20.844659130359624,24.04797035610748,1254.114,75.194,16.991,17,10.819778284410283,0
김성현,23.022255198408985,-12.176535094578352,10.1236128918297,7637.428,872.849,238.942,14,9.95227771670556,0
김재호,35.63299425096482,-18.89871880420813,16.57973495134788,6814.244,778.771,213.188,16,11.082142548877775,1
이창진,34.18317715411507,-18.037497892046986,18.3827479408258,3594.452,406.937,69.22,6,9.047821442478408,0
유강남,33.582368348759296,-17.448420169044027,13.495158078573017,7684.667,960.583,355.416,9,10.043249494911286,0
김헌곤,34.57847351170758,-18.729694121882783,18.18052598562327,2023.5,204.6,36.563,9,9.852194258148577,0
김강민,31.130366088790755,-16.502390168495634,19.60556592424353,3279.183,374.764,62.773,19,10.46310334047155,0
양의지,56.48621638052199,-30.76535235546874,27.109275167314586,5769.28,721.16,266.829,14,12.206072645530174,1
이원석,35.11284284957635,-18.25485340627394,16.64276367011426,2722.952,406.843,83.914,15,10.308952660644293,1
오선진,22.268175131511736,-11.47798933741781,11.651460312326158,6659.623,760.8430000000001,207.194,12,9.259130536145614,0
최재훈,34.596315560371664,-18.505416895549946,15.709011197334188,8124.09,1015.511,375.739,12,9.903487552536127,0
김선빈,34.462510905013595,-18.714000274749704,16.06705756089213,6169.599,698.688,188.25600000000003,12,10.714417768752456,0
