Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Salary,Team,Age,OBP,SLG,OPS
백창수,21.0,18.0,3.0,4.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,1.0,3.0,1.0,내,4000,LG,28,0.42857142857142855,0.6111111111111112,1.0396825396825398
이해창,254.0,231.0,22.0,16.0,47.0,10.0,0.0,6.0,1.0,1.0,8.0,3.0,9.0,0.0,3.0,65.0,7.0,8.0,36.0,5.833333333000001,59.0,8.0,포,2900,KT,29,0.23983739837398374,0.3246753246753247,0.5645127230493084
송주호,52.0,47.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,12.0,1.0,0.0,7.0,0.0,8.0,0.0,외,4000,HH,28,0.16,0.10638297872340426,0.2663829787234043
백상원,517.0,445.0,49.0,60.0,128.0,19.0,3.0,3.0,8.0,3.0,10.0,7.0,51.0,0.0,4.0,69.0,15.0,8.0,106.0,26.916666666,122.0,38.0,내,4500,SS,28,0.3609467455621302,0.36404494382022473,0.7249916893823549
김선민,63.0,50.0,2.0,7.0,11.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,10.0,0.0,1.0,14.0,3.0,1.0,11.0,3.5,16.0,4.0,내,3200,KT,26,0.36065573770491804,0.22,0.5806557377049181
정훈,439.0,370.0,46.0,48.0,97.0,18.0,2.0,2.0,7.0,7.0,8.0,2.0,43.0,0.0,16.0,75.0,12.0,11.0,81.0,25.166666667,101.0,36.0,내,21000,LT,29,0.3619489559164733,0.33783783783783783,0.6997867937543112
오승택,135.0,123.0,7.0,17.0,32.0,6.0,0.0,3.0,6.0,2.0,0.0,0.0,12.0,0.0,0.0,37.0,5.0,2.0,22.0,4.333333333000001,36.0,6.0,내,7000,LT,25,0.32592592592592595,0.3821138211382114,0.7080397470641373
이상호,27.0,25.0,1.0,1.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,12.0,0.333333333,7.0,1.0,내,4800,NC,27,0.3333333333333333,0.36,0.6933333333333334
홍재호,16.0,13.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,내,3400,HT,29,0.1875,0.07692307692307693,0.2644230769230769
최병연,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,내,3000,HT,30,0.1111111111111111,0.0,0.1111111111111111
이종환,33.0,29.0,4.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,10.0,1.0,0.0,4.0,2.0,10.0,2.0,외,6200,HH,30,0.3333333333333333,0.3103448275862069,0.6436781609195402
이상훈,14.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,외,3500,SS,29,0.08333333333333333,0.08333333333333333,0.16666666666666666
최윤석,17.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,0.0,내,5700,HH,29,0.17647058823529413,0.125,0.30147058823529416
유강남,297.0,263.0,47.0,28.0,70.0,7.0,0.0,8.0,0.0,0.0,4.0,6.0,17.0,0.0,7.0,48.0,6.0,5.0,53.0,17.0,79.0,25.0,포,8100,LG,24,0.32081911262798635,0.3840304182509506,0.7048495308789369
이천웅,320.0,276.0,41.0,38.0,81.0,10.0,1.0,6.0,6.0,9.0,6.0,1.0,34.0,0.0,3.0,49.0,3.0,2.0,77.0,15.666666666,75.0,23.0,외,2800,LG,28,0.37579617834394907,0.40217391304347827,0.7779700913874273
김동한,116.0,107.0,14.0,9.0,27.0,6.0,0.0,0.0,5.0,1.0,3.0,0.0,6.0,0.0,0.0,19.0,1.0,2.0,40.0,5.916666666999999,33.0,9.0,내,3200,LT,28,0.2920353982300885,0.308411214953271,0.6004466131833595
