,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
60100,122.0,101.0,18.0,15.0,33.0,9.0,0.0,4.0,1.0,0.0,3.0,2.0,12.0,0.0,4.0,18.0,4.0,1.0,24.0,6.666666666999999,20.0,8.0
60140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60343,283.0,254.0,44.0,33.0,69.0,11.0,0.0,11.0,1.0,4.0,6.0,2.0,19.0,1.0,1.0,50.0,5.0,6.0,41.0,16.5,71.0,22.0
60456,51.0,46.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,11.0,0.0,2.0,6.0,2.5,9.0,3.0
60464,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
60523,136.0,109.0,6.0,16.0,27.0,8.0,2.0,1.0,3.0,1.0,3.0,1.0,18.0,0.0,5.0,28.0,4.0,3.0,35.0,1.5,25.0,2.0
60558,410.0,374.0,42.0,53.0,106.0,29.0,1.0,9.0,15.0,9.0,8.0,6.0,16.0,0.0,6.0,93.0,7.0,10.0,69.0,13.5,96.0,22.0
60559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60566,241.0,227.0,15.0,33.0,76.0,8.0,0.0,0.0,12.0,2.0,5.0,0.0,7.0,0.0,2.0,15.0,7.0,8.0,63.0,11.75,52.0,14.0
60605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60648,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60658,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
60667,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
60805,33.0,32.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,1.0,4.0,1.0
61102,364.0,324.0,66.0,43.0,90.0,13.0,0.0,17.0,2.0,0.0,9.0,2.0,14.0,0.0,15.0,72.0,4.0,4.0,67.0,23.0,81.0,31.0
61104,82.0,74.0,7.0,16.0,16.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,21.0,3.0,2.0,21.0,3.0,19.0,3.0
61114,198.0,181.0,28.0,21.0,55.0,9.0,0.0,6.0,0.0,1.0,4.0,1.0,10.0,0.0,2.0,35.0,8.0,2.0,36.0,8.833333333,50.0,13.0
61186,266.0,232.0,27.0,35.0,66.0,14.0,0.0,2.0,8.0,3.0,4.0,0.0,24.0,2.0,6.0,45.0,10.0,4.0,59.0,12.5,50.0,19.0
61197,22.0,20.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,4.0,1.0
61204,205.0,178.0,14.0,26.0,42.0,19.0,0.0,3.0,4.0,3.0,13.0,0.0,14.0,0.0,0.0,25.0,2.0,7.0,41.0,3.5,43.0,6.0
61208,224.0,198.0,31.0,43.0,56.0,11.0,2.0,5.0,1.0,1.0,4.0,2.0,19.0,1.0,1.0,32.0,2.0,0.0,47.0,13.666666667,49.0,18.0
61329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61353,453.0,426.0,54.0,70.0,133.0,24.0,8.0,8.0,16.0,4.0,0.0,2.0,22.0,2.0,3.0,92.0,11.0,5.0,85.0,22.666666665999998,111.0,32.0
61366,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0
61404,404.0,356.0,47.0,51.0,94.0,13.0,2.0,9.0,11.0,2.0,8.0,3.0,29.0,0.0,8.0,45.0,11.0,2.0,84.0,18.999999999000003,92.0,30.0
61411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61463,91.0,84.0,13.0,15.0,23.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,2.0,18.0,1.0,1.0,17.0,7.0,19.0,10.0
61591,89.0,76.0,8.0,1.0,14.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,0.0,1.0,21.0,2.0,1.0,18.0,3.333333333,29.0,5.0
