#,선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
1,박건우,두산,41,177,156,32,24,5,1,2,22,14,16,0,3,33,0,2,6,5,1,0.205,0.291428571,0.288461538,0.57989011,0.203258242,0.262820513,0.526717557,9.233747144,0.341990635,12.996,0.083333333,2.857142857,0.682594286,0.588434507,0.247933884
2,김재환,두산,38,171,148,42,25,10,0,7,30,27,21,2,0,52,2,2,6,1,1,0.284,0.368421053,0.493243243,0.861664296,0.289100284,0.466216216,0.840707965,19.01169942,0.704137016,25.244,0.209459459,1.75,0.860147929,0.858377229,0.384615385
3,허경민,두산,42,171,144,39,32,7,0,0,25,11,16,0,8,21,0,3,3,7,1,0.271,0.375,0.319444444,0.694444444,0.248611111,0.25,0.706422018,18.21638337,0.674680865,19.532,0.048611111,0,0.759547619,0.847665887,0.317073171
4,정수빈,두산,32,152,131,41,34,4,2,1,20,10,13,0,4,18,1,4,1,6,0,0.313,0.389261745,0.396946565,0.78620831,0.274404426,0.282442748,0.824175824,21.54350937,0.797907754,22.176,0.083969466,1.714285714,0.82361745,0.886141153,0.353982301
5,오재일,삼성,33,135,122,31,18,5,0,8,18,25,12,0,0,39,0,0,2,2,1,0.254,0.320895522,0.491803279,0.812698801,0.267353805,0.450819672,0.787234043,14.14667197,0.523950814,18.998,0.237704918,3.2,0.943656716,0.77042745,0.306666667
6,박세혁,두산,36,125,104,31,23,6,1,1,18,13,14,0,4,18,0,3,2,4,1,0.298,0.401639344,0.403846154,0.805485498,0.281699243,0.346153846,0.842105263,16.436208,0.608748444,17.486,0.105769231,1.6,0.959459016,0.819170997,0.352941176
7,서건창,Hero,25,118,103,29,21,8,0,0,19,10,13,0,0,17,0,2,2,5,1,0.282,0.362068966,0.359223301,0.721292266,0.25273686,0.32038835,0.714285714,12.59501864,0.466482172,13.804,0.077669903,0,0.966586207,0.726784742,0.337209302
8,김재호,두산,40,116,96,24,19,3,1,1,13,14,15,0,2,18,2,3,1,0,3,0.25,0.356521739,0.333333333,0.689855072,0.243768116,0.260416667,0.644736842,10.59913089,0.392560403,12.826,0.083333333,0,0.923530435,0.653239978,0.291139241
9,페르난데스,두산,27,115,106,33,22,7,0,4,10,22,9,0,0,6,0,0,7,0,0,0.311,0.365217391,0.490566038,0.855783429,0.286989336,0.367924528,0.7625,15.70464734,0.581653605,15.652,0.179245283,0,1.045156522,0.805288394,0.302083333
10,박병호,Hero,24,111,93,23,15,2,0,6,18,17,12,2,4,32,2,2,2,0,0,0.247,0.351351351,0.462365591,0.813716943,0.273699506,0.430107527,0.819444444,11.90155025,0.440798157,16.364,0.215053763,0,1.033990826,0.703726113,0.298245614
11,김하성,Hero,22,104,92,22,13,8,0,1,15,7,12,1,0,13,0,0,1,2,3,0.239,0.326923077,0.358695652,0.685618729,0.236789298,0.336956522,0.635135135,8.81515,0.326487037,10.316,0.119565217,1.333333333,1.03531068,0.565794067,0.269230769
12,샌즈,Hero,21,97,81,22,13,6,0,3,12,17,16,0,0,23,0,0,3,0,0,0.272,0.391752577,0.456790123,0.848542701,0.290486191,0.49382716,0.85483871,11.59734364,0.429531246,13.976,0.185185185,0,1.15243299,0.692816469,0.345454545
13,오재원,두산,27,96,83,23,15,7,0,1,10,13,8,0,0,25,0,5,0,3,1,0.277,0.340659341,0.397590361,0.738249702,0.252694294,0.337349398,0.721311475,9.047148611,0.335079578,11.52,0.120481928,1.5,1.144824176,0.578511727,0.385964912
14,최주환,두산,28,92,80,23,18,2,0,3,8,15,8,0,3,14,0,1,1,0,0,0.288,0.373626374,0.425,0.798626374,0.274381868,0.3,0.775862069,11.88517826,0.440191787,12.928,0.1375,0,1.145054945,0.703151776,0.317460317
15,강승호,SK,20,84,69,20,14,3,1,2,14,13,8,0,1,19,0,6,1,1,0,0.29,0.371794872,0.449275362,0.821070234,0.279626533,0.376811594,0.82,9.969733333,0.369249383,11.628,0.15942029,1.333333333,1.272153846,0.625011634,0.375
16,이정후,Hero,17,83,73,27,23,4,0,0,15,15,4,0,2,10,3,3,0,4,0,0.37,0.402439024,0.424657534,0.827096559,0.287261945,0.219178082,0.891304348,13.43452941,0.497575163,14.15,0.054794521,0,1.225012195,0.751648557,0.409090909
17,양의지,두산,21,81,68,22,18,2,0,2,8,11,8,0,2,14,2,3,1,2,0,0.324,0.4,0.441176471,0.841176471,0.290294118,0.323529412,0.893617021,11.84348969,0.438647766,13.318,0.117647059,2,1.2556375,0.701682828,0.37037037
18,김민성,LG,21,81,71,19,14,5,0,0,6,5,6,0,2,11,0,2,1,0,0,0.268,0.341772152,0.338028169,0.679800321,0.238304511,0.225352113,0.603773585,7.551744307,0.279694234,8.262,0.070422535,,1.214886076,0.48883304,0.316666667
19,박민우,NC,17,78,69,17,15,2,0,0,9,6,9,1,0,17,0,0,0,0,0,0.246,0.333333333,0.275362319,0.608695652,0.21884058,0.188405797,0.538461538,5.657592593,0.209540466,7.094,0.028985507,,1.172428571,0.349273197,0.326923077
20,나성범,NC,16,75,69,29,19,5,0,5,15,17,5,2,0,18,1,1,0,0,1,0.42,0.453333333,0.710144928,1.163478261,0.381536232,0.492753623,1.317073171,16.98185175,0.628957472,18.166,0.289855072,0,1.535068493,0.828645517,0.510638298
21,김혜성,Hero,21,75,64,10,7,2,1,0,10,2,7,0,0,20,2,3,1,2,2,0.156,0.232876712,0.21875,0.451626712,0.159482021,0.21875,0.403508772,0.440209942,0.016304072,3.55,0.0625,0,1.14169863,0.003239022,0.217391304
22,김강민,SK,15,69,57,17,11,3,0,3,9,12,8,0,2,16,2,2,0,1,0,0.298,0.391304348,0.50877193,0.900076278,0.303279939,0.473684211,1,10.42465258,0.386098244,12.652,0.210526316,1.5,1.440710145,0.645682495,0.35
23,송성문,Hero,21,68,61,26,16,7,1,2,12,17,5,0,1,12,1,1,0,0,0,0.426,0.470588235,0.672131148,1.142719383,0.379797493,0.491803279,1.342857143,15.93259002,0.590095927,16.164,0.245901639,0,1.583014706,0.809767627,0.5
24,로맥,SK,15,67,63,13,5,2,0,6,7,12,3,0,1,15,0,0,1,0,0,0.206,0.253731343,0.523809524,0.777540867,0.245131485,0.492063492,0.725490196,6.416344942,0.237642405,8.95,0.317460317,0,1.444716418,0.408411717,0.166666667
25,최정,SK,14,63,48,7,4,0,0,3,5,4,11,0,4,18,0,0,0,0,0,0.146,0.349206349,0.333333333,0.682539683,0.24047619,0.479166667,0.756097561,4.955534392,0.183538311,7.586,0.1875,0,1.430968254,0.291683361,0.148148148
26,한유섬,SK,14,62,51,9,3,1,0,5,9,11,9,0,1,16,0,1,1,0,1,0.176,0.31147541,0.490196078,0.801671488,0.262712954,0.588235294,0.795454545,5.619391756,0.208125621,8.262,0.31372549,0,1.540065574,0.346199841,0.133333333
27,권희동,NC,16,59,47,18,14,4,0,0,10,7,8,0,3,7,0,1,0,0,1,0.383,0.5,0.468085106,0.968085106,0.342021277,0.319148936,1.1,10.90467646,0.403876906,10.674,0.085106383,,1.653465517,0.666000528,0.45
28,김성현,SK,15,55,40,11,7,3,0,1,8,5,8,0,2,3,0,5,0,0,1,0.275,0.42,0.425,0.845,0.29525,0.425,0.9,7.564484848,0.280166105,7.746,0.15,0,1.79574,0.489675489,0.277777778
