,RBI,RUN,HIT,HR,SB,OPS,Money_19,kWAR_score,WAR,PA
강로한,25,38,69,4,7,0.65369,2900,449.717,0.39,306
강민호,45,36,81,13,0,0.7192,125000,832.738,1.96,393
강백호,65,72,147,13,9,0.91128,12000,127.421,4.6,505
고종욱,56,76,159,3,31,0.76771,11000,102.206,1.72,513
구자욱,71,66,127,15,11,0.77121,30000,172.499,1.84,526
권희동,41,37,89,6,3,0.71416,14000,155.383,1.21,413
김강민,50,54,114,8,15,0.69358,40000,374.764,1.03,460
김규민,24,33,55,3,2,0.65733,5800,104.586,-0.12,250
김동엽,25,15,42,6,2,0.60386,18500,25.232,-0.93,211
김민성,50,44,94,8,2,0.69442,40000,492.377,1.13,401
김민혁,32,68,131,0,22,0.64795,3900,215.589,0.25,521
김상수,38,76,127,5,21,0.71224,25000,585.671,2.63,543
김선빈,40,55,115,3,5,0.73029,30000,698.688,2.36,447
김성욱,36,38,66,9,6,0.68923,13000,297.528,0.56,333
김성현,34,45,105,1,6,0.60219,28000,872.849,0.26,472
김용의,17,35,39,0,8,0.59486,8500,14.4,-0.53,210
김재호,48,51,101,4,3,0.73688,65000,778.771,2.87,470
김재환,91,76,140,15,3,0.79671,73000,202,2.86,574
김주찬,32,35,101,3,3,0.71367,40000,13.134,0.33,363
김찬형,12,16,39,1,3,0.67698,4300,286.502,0.35,154
김태균,62,47,132,6,3,0.77692,100000,0,1.71,500
김태진,46,44,103,5,12,0.68425,3300,262.562,0.4,399
김하성,104,112,166,19,33,0.88016,32000,785.83,6.77,625
김헌곤,46,57,122,5,10,0.74833,15500,204.6,1.51,467
김현수,82,75,160,11,3,0.80701,130000,166.4,2.77,595
김혜성,32,57,96,0,20,0.69366,7000,598.641,1.6,387
나종덕,13,12,23,3,0,0.38271,4300,551.103,-1.61,209
나주환,20,14,50,3,1,0.57193,32000,278.042,-0.76,245
나지완,17,12,24,6,0,0.66499,60000,15.6,-0.16,153
노수광,28,69,97,2,27,0.64442,26500,234.149,0.33,445
노진혁,43,51,92,13,0,0.77954,10000,569.782,2.2,390
류지혁,34,36,69,0,18,0.60881,12500,430.931,0.32,316
모창민,55,49,104,10,3,0.82379,30000,0,1.68,386
민병헌,43,52,112,9,13,0.83205,125000,311.7,3.45,420
박건우,64,83,146,10,12,0.86245,38500,209.003,4.49,537
박경수,65,43,104,10,0,0.71069,40000,580.759,1.72,490
박계범,25,26,43,4,5,0.74044,3000,278.591,1.18,204
박동원,55,50,94,10,1,0.81203,9000,606.784,2.99,361
박민우,45,89,161,1,18,0.83643,38000,547.529,4.71,526
박병호,98,92,121,33,0,0.95868,150000,0,5.14,532
박석민,74,49,96,19,1,0.87096,75000,261.527,3.76,444
박세혁,63,58,123,4,8,0.73548,10000,1062.025,3.36,505
박승욱,15,24,52,3,4,0.60739,6600,181.675,-0.29,245
박용택,22,19,55,1,3,0.68312,80000,4.934,-0.13,215
박찬호,49,60,131,2,39,0.61783,4200,734.27,0.54,541
박해민,44,64,121,5,24,0.64617,36000,456.506,1.02,581
서건창,41,67,128,2,17,0.7553,35000,282.251,2.35,486
손아섭,63,78,151,10,13,0.76018,150000,210.134,2.1,568
