Name,P1,P2,P3,Sal,LogSal,kWAR_score,Exp,FA
이정후,130.86069583573638,-0.009621003671655389,-0.01411543316134102,23000,10.043249494911286,290.201,3,0
김하성,141.24978447635092,0.16836342803850374,0.0067293371097849036,32000,10.373491181781864,785.83,6,0
정은원,89.54531995641099,0.06013000133635792,0.02614119697228631,5500,8.612503371220562,702.721,2,0
이천웅,102.63042978932387,-0.029481139208870733,0.008603230324759398,15000,9.615805480084347,420.339,9,0
최정,141.35060585011735,-0.026750035014653166,0.03244069905874633,120000,11.695247021764184,661.361,15,1
전준우,119.67292765670916,0.050168651552443246,0.014057747516918446,50000,10.819778284410283,232.726,12,0
김현수,114.38267663207853,-0.02540716905561093,0.010297214498729758,130000,11.77528972943772,166.4,14,1
박해민,77.56646309252665,0.045503565225262416,0.02141523245422434,36000,10.491274217438248,456.506,8,0
김재환,106.19968279366616,-0.0035685528069097196,0.0385324471311111,73000,11.198214720130528,202.0,12,0
손아섭,97.72512377321507,0.06098138832932267,0.013588312422640724,150000,11.918390573078392,210.134,13,1
유한준,109.47517824032666,-0.021233496166761793,0.006188734163657841,60000,11.002099841204238,74.774,20,1
최형우,120.68873213745107,-0.07506547990148331,0.025848155248960083,150000,11.918390573078392,70.0,18,1
이대호,96.01373375434478,-0.05884340931187726,0.022509911467298607,250000,12.429216196844383,0.0,19,1
오지환,84.70934924526614,0.1019948477661555,0.02983642439794383,40000,10.596634733096073,864.065,11,0
이명기,85.25725761532888,-0.01841153481594648,0.009200038287036041,22000,9.998797732340453,244.788,14,0
김상수,85.12212077750998,0.03385888867894047,0.012566528750198019,25000,10.126631103850338,585.671,11,1
박찬호,67.20968776561395,0.0032954976570350345,0.02102920864146896,4200,8.34283980427146,734.27,6,0
허경민,85.92011791897191,0.006490615303574,0.007411466290673625,38500,10.558413520275876,631.056,11,0
박건우,111.18533292355748,0.04437265237265123,0.007945942878347842,38500,10.558413520275876,209.003,11,0
박병호,125.39701042199357,-0.06602822843763348,0.053260458093385796,150000,11.918390573078392,0.0,15,0
오재일,109.74141851516303,-0.024462344525112336,0.03096740934986298,30000,10.308952660644293,0.0,15,0
박민우,111.31115790854075,-0.06129633648624016,-0.004910080713203229,38000,10.545341438708522,547.529,8,0
구자욱,92.49935483864974,0.08469490738529058,0.02374156566514635,30000,10.308952660644293,172.499,8,0
김민혁,70.33742807839778,-0.04411053104601315,0.014295388401012712,3900,8.268731832117737,215.58900000000003,6,0
채은성,96.3362397660415,-0.024771877345726213,0.014481914281594184,31000,10.341742483467284,175.493,11,0
정수빈,78.23928228931057,-0.04791371535255665,0.01843926005276025,24500,10.106428396532818,401.017,11,0
고종욱,92.08787146498251,-0.00010058320124035304,0.012320526624919073,11000,9.305650551780507,102.206,9,0
황재균,97.83782090989628,0.08418715694859745,0.01544005835854656,120000,11.695247021764184,602.866,14,1
박세혁,83.78941911204225,0.00537215126244292,0.014591560405254642,10000,9.210340371976184,1062.025,8,0
강백호,113.4351398786514,0.041394584115369386,0.011607578384493751,12000,9.392661928770137,127.421,2,0
이재원,74.80268523566937,-0.023985524718034536,0.020712021001800213,140000,11.84939770159144,1034.754,14,1
한동민,84.81067180313921,-0.046999821899773316,0.030883070201973527,33000,10.404262840448617,151.134,8,0
김태균,86.07004701982166,-0.006573143579641588,0.024409155716493075,100000,11.512925464970229,0.0,19,1
박경수,66.67129590006915,-0.029588435826729462,0.040535385513004514,40000,10.596634733096073,580.759,17,1
서건창,88.79734678960978,-0.0212335293569269,0.006667333870505122,35000,10.46310334047155,282.251,12,0
송광민,55.96475740090853,0.05349604251322008,0.024560542592669952,25000,10.126631103850338,554.596,18,1
이형종,88.06426812409347,0.03917317250345969,0.0257048479027217,17000,9.740968623038354,182.842,12,0
이성열,84.56681397776596,0.0845231434688223,0.037801870131673174,32000,10.373491181781864,75.194,17,0
김성현,49.26208683511037,-0.01215353433634208,0.00953429566082044,28000,10.239959789157341,872.849,14,0
김재호,76.76905335028023,-0.0070604783646843715,0.02254259556300705,65000,11.082142548877775,778.771,16,1
이창진,73.09477391341957,0.03560487143549785,0.027140683611156676,3100,8.039157390473237,406.937,6,0
유강남,72.5688838387522,-0.03738831723874438,0.03268290615988517,21000,9.95227771670556,960.583,9,0
김헌곤,74.03312381477572,0.022647371405928637,0.00468895201758059,15500,9.648595302907339,204.6,9,0
김강민,66.02683053703349,0.07940311319227605,0.02521046935379653,40000,10.596634733096073,374.764,19,0
양의지,122.15299550902775,-0.012980499416593658,0.0023957723906480014,200000,12.206072645530174,721.16,14,1
이원석,75.47586540581054,0.0008385791973911374,0.03327419794364605,30000,10.308952660644293,406.843,15,1
오선진,47.27778973036481,0.02283737219662253,0.022900170877813857,7500,8.922658299524402,760.8430000000001,12,0
최재훈,74.47909124962366,-0.014199036725100884,0.013627854392872401,12500,9.433483923290392,1015.511,12,0
김선빈,74.15030997943735,-0.012125214976008063,-0.0006331271592448178,30000,10.308952660644293,698.688,12,0
노수광,59.18966989786315,0.006865581753025946,0.018173067839778418,26500,10.184900011974314,234.149,7,0
박석민,86.54101829067359,-0.029516919215856093,0.025827566651043986,75000,11.225243392518447,261.527,16,1
이학주,65.40471008306345,0.06915250940355598,0.02332545970850882,2700,7.90100705199242,716.837,1,0
심우준,61.042422105513985,0.02078312716233835,0.01252825588578417,8500,9.047821442478408,802.905,6,0
정주현,39.13377528257266,0.023866698608519973,0.028630562407724425,8800,9.082507000466299,568.62,11,0
민병헌,82.91305375016988,0.060848338512252215,0.006142159412969372,125000,11.736069016284437,311.7,14,1
정의윤,73.15508814941255,-0.04399987143362436,0.019030495213289533,30000,10.308952660644293,74.05799999999999,15,1
임병욱,43.57490137139621,-0.016271756391496854,0.03328749816807824,10000,9.210340371976184,356.44,6,0
권희동,62.05185571091947,0.007192250742683398,0.016706109549796868,14000,9.546812608597396,155.383,7,0
장성우,51.30006508212041,-0.023282006325021636,0.030074563332603086,9500,9.159047077588632,905.288,12,0
신본기,42.76789166701589,-0.008160065170950819,0.013280553217124201,16000,9.680344001221918,723.0,8,0
장영석,48.059320954627225,-0.02159546575347222,0.028657567296185817,5300,8.575462099540212,292.803,11,0
안치홍,77.09034379141845,-0.0055398737088085985,0.001610030895154473,50000,10.819778284410283,425.345,11,0
김민성,52.389909540738905,0.007103751745381507,0.020720475209581885,40000,10.596634733096073,492.377,13,1
김태진,57.267890694787575,0.04316197189994106,0.01379265376964767,3300,8.101677747454572,262.562,6,0
강민호,55.091012925239006,-0.02490821463453158,0.032509862320696976,125000,11.736069016284437,832.738,16,1
오태곤,52.829474429108096,0.07204620980962226,0.020160734046987795,8000,8.987196820661973,16.384999999999998,10,0
노진혁,63.18702127602914,-0.031541574993007804,0.030716238496801267,10000,9.210340371976184,569.7819999999999,8,0
김혜성,57.22016592116801,-0.029248402777941874,0.026303932062190827,7000,8.85366542803745,598.641,3,0
모창민,75.02225393383911,0.00716698756713056,0.02219887469072717,30000,10.308952660644293,0.0,12,1
김주찬,56.34930379592142,-0.004857821114630613,0.0054925608007304096,40000,10.596634733096073,13.134,20,0
박동원,65.37678271312636,-0.021198314807260227,0.012621813266121456,9000,9.104979856318357,606.784,11,0
장진혁,44.77977852612832,-0.0019550544795387107,0.02145463543835228,3800,8.242756345714477,216.425,4,0
김성욱,44.112803905123805,0.05978986446245635,0.02618361320416413,13000,9.472704636443673,297.528,8,0
이지영,37.93855606369055,-0.009122624237363612,-0.0005613814350556755,21000,9.95227771670556,601.37,12,0
최주환,48.44167924570964,-0.026907920269773643,0.017554201749798326,38500,10.558413520275876,295.925,14,0
류지혁,37.87684197323395,-0.021303617584890782,0.013159797340144464,12500,9.433483923290392,430.931,8,0
강로한,33.944123844667224,0.04671017972584807,0.03268599411726974,2900,7.9724660159745655,449.717,5,0
정근우,39.8081674796374,0.022696981413332026,0.006769890906570782,70000,11.156250521031495,137.831,15,1
한승택,25.471296354470567,0.01100016620001683,0.028130671436442267,6000,8.699514748210191,696.384,7,0
이원재,40.09400761460322,-0.0014979830800327973,0.01698132239702281,5000,8.517193191416238,31.934,7,0
최영진,34.88228278094771,0.029260066383988103,0.011469294333649084,5300,8.575462099540212,196.761,9,0
이상호,27.137159454471288,-0.01716706381142933,0.005258131327467611,8000,8.987196820661973,195.358,10,0
최원준,19.09242940762138,0.014315586648522014,0.0185445936330493,10000,9.210340371976184,224.517,4,0
김규민,28.714010970909985,0.015730522354649824,0.021748304805398275,5800,8.66561319653451,104.586,8,0
나주환,18.974002471493236,0.01107523903816218,0.01799167037231884,32000,10.373491181781864,278.04200000000003,17,0
박승욱,24.882304393517217,0.025526078505123354,0.012166279705741934,6600,8.794824928014517,181.675,8,0
오윤석,19.67538669779518,-0.00665385869991512,0.016610793687216803,3000,8.006367567650246,112.623,6,0
정훈,23.60009843438644,0.018892918249484126,0.01410537071861667,8000,8.987196820661973,63.381,14,0
박용택,31.100098962257718,-0.002974263389842793,0.006249139508195751,80000,11.289781913656018,4.934,22,1
김동엽,21.95436939160905,0.02514745844191028,0.017154327011706574,18500,9.825526011066415,25.232,4,0
조용호,33.65961449276611,-0.02269997006420352,0.0034160446860106923,4000,8.294049640102028,84.934,6,0
김용의,23.120891560590287,-0.010585090709378754,0.013417661790853816,8500,9.047821442478408,14.4,12,0
나종덕,-2.0160078496978513,0.017833748551110216,0.036235871520871085,4300,8.366370301681654,551.103,3,0
한동희,15.9664580234499,0.012937546522887072,0.021402627209323125,4900,8.496990484098719,193.044,2,0
오재원,14.818500900095014,0.04173143625862694,0.01800611560598312,55000,10.915088464214607,281.48,17,1
박계범,30.43499124968929,0.03366469167498049,0.01415392224444769,3000,8.006367567650246,278.591,6,0
유민상,38.30028395241222,-0.023235051997674214,0.009616266927635562,4300,8.366370301681654,0.0,8,0
노시환,7.650506739266359,0.020940773017570857,0.025865906856576356,2700,7.90100705199242,140.98000000000002,1,0
채태인,23.615239973123742,-0.00899821924060526,0.01771885534521348,20000,9.903487552536127,0.0,13,1
윤석민,14.826224990368841,-0.006794399332355885,0.00861812309883582,24000,10.085809109330082,69.633,16,0
지석훈,16.073183337907434,-0.004951877078657309,0.014675616329443779,15000,9.615805480084347,250.27,17,1
이우성,19.179067343660392,-0.005910707463307755,0.017489859559194146,4000,8.294049640102028,56.394000000000005,7,0
허일,18.98881096442155,0.003724187093745839,0.005889037597115757,3000,8.006367567650246,46.765,9,0
김찬형,20.92894847299042,0.003252264791813539,0.0038660275307391516,4300,8.366370301681654,286.502,4,0
나지완,18.299549125530152,-0.004890984764374445,0.018355675219293172,60000,11.002099841204238,15.6,12,1
최항,15.466773081163158,-0.0075704051456467894,0.007940310276484027,11000,9.305650551780507,164.64,8,0
