Name,P1,P2,P3,E/IP,Sal_19
이정후,132.9187654,-0.922942882,-3.190944676,0.998248687,23000
김하성,143.4847789,15.42310872,1.542915056,0.981589388,32000
정은원,90.96358716,5.41946583,5.678921262,0.989100086,5500
이천웅,104.2468519,-2.801267765,1.748730102,0.999065717,15000
최정,143.5813658,-2.63826203,6.901381879,0.987871752,120000
전준우,121.5630424,4.517470206,3.014463037,0.996566524,50000
김현수,116.1847393,-2.437099828,2.111835762,0.99903969,130000
박해민,78.7944142,4.091029014,4.644347463,0.998279318,36000
김재환,107.8790979,-0.497732928,8.283180079,1,73000
손아섭,99.27002231,5.528333455,2.943909985,0.996250012,150000
유한준,111.1994233,-2.037981669,1.227769893,0.994854247,60000
최형우,122.5902605,-7.062618691,5.428508021,1,150000
이대호,97.52686361,-5.543436649,4.74298437,0.993228144,250000
오지환,86.05435032,9.271933633,6.536040576,0.989100817,40000
이명기,86.60072861,-1.772282494,1.906404056,0.998053225,22000
김상수,86.4668684,3.03776605,2.700368883,0.989929507,25000
박찬호,68.27217787,0.206462202,4.519201498,0.985977213,4200
허경민,87.27504301,0.528334384,1.546508833,0.992613112,38500
박건우,112.9403431,4.005063298,1.686116617,0.997006974,38500
박병호,127.3781149,-6.308619145,11.39480876,0.993382377,150000
오재일,111.4741421,-2.404994814,6.610751023,0.996168582,30000
박민우,113.0601794,-5.701849438,-1.234209653,0.990305172,38000
구자욱,93.96503665,7.689432739,5.183861258,0.997702021,30000
김민혁,71.44543469,-4.147389952,2.996382682,0.995570321,3900
채은성,97.85483122,-2.379822998,3.037739217,0.997743504,31000
정수빈,79.47229361,-4.514123371,3.886081919,0.997037534,24500
고종욱,93.54047443,-0.096653533,2.600708912,0.99428212,11000
황재균,99.38606958,7.662751143,3.373938946,0.989285749,120000
박세혁,85.1120139,0.406407633,3.108002171,0.992535015,10000
강백호,115.2260875,3.718977672,2.476734188,0.995181961,12000
이재원,75.98325812,-2.312284583,4.411473393,0.994236311,140000
한동민,86.14948032,-4.468373413,6.586925372,0.994823146,33000
김태균,87.42969171,-0.723697954,5.226290229,0.995522321,100000
박경수,67.72705872,-2.879538044,8.721443697,0.99085059,40000
서건창,90.19597339,-2.027387457,1.349441717,0.987525988,35000
송광민,56.85345875,4.831627553,5.35596505,0.983572895,25000
이형종,89.45800804,3.489401641,5.56051645,0.997355652,17000
이성열,85.91006915,7.638942261,8.247210266,0.99092559,32000
김성현,50.0389962,-1.175437808,2.01707787,0.977266169,28000
김재호,77.98183607,-0.758009918,4.827840393,0.989932852,65000
이창진,74.25279391,3.165017202,5.881176979,0.995085174,3100
유강남,73.71570811,-3.580133679,7.000038187,0.992771059,21000
김헌곤,75.20118925,2.032490545,0.983907287,1,15500
김강민,67.07552207,7.212657079,5.519428899,0.996833205,40000
양의지,124.076693,-1.273640647,0.402210074,0.99723501,200000
이원석,76.67063274,-0.058897559,7.171428945,0.98240866,30000
