Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20
백창수,48.0,44.0,3.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,7.0,1.0,6.0,1.0,외,6000,5300
김응민,13.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,포,2900,3200
이해창,43.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,1.0,7.0,1.0,13.0,1.0,포,6100,5500
정훈,222.0,190.0,17.0,26.0,43.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,23.0,1.0,5.0,47.0,4.0,4.0,43.0,7.5,51.0,9.0,외,8000,6400
오태곤,392.0,352.0,35.0,63.0,88.0,16.0,1.0,6.0,19.0,2.0,3.0,2.0,31.0,0.0,4.0,78.0,8.0,9.0,74.0,12.5,82.0,18.0,내,8000,9500
이상호,256.0,234.0,12.0,30.0,65.0,7.0,0.0,0.0,10.0,5.0,8.0,3.0,9.0,0.0,2.0,22.0,10.0,5.0,42.0,4.5,39.0,7.0,내,8000,10000
유강남,468.0,418.0,49.0,44.0,113.0,22.0,0.0,16.0,0.0,0.0,1.0,6.0,30.0,2.0,13.0,82.0,21.0,7.0,78.0,15.166666666,100.0,21.0,포,21000,23000
이천웅,613.0,546.0,48.0,88.0,168.0,24.0,3.0,2.0,21.0,10.0,4.0,1.0,57.0,1.0,5.0,82.0,13.0,1.0,122.0,21.399999999,105.0,35.0,외,15000,28000
최영진,275.0,251.0,20.0,29.0,63.0,15.0,1.0,5.0,4.0,1.0,8.0,0.0,14.0,2.0,2.0,47.0,4.0,8.0,59.0,7.666666666999999,57.0,13.0,내,5300,8000
김동한,85.0,78.0,2.0,9.0,22.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,15.0,1.0,2.0,23.0,1.5,12.0,2.0,내,5000,4500
정진호,110.0,96.0,3.0,13.0,20.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,11.0,0.0,0.0,24.0,2.0,0.0,26.0,3.5,20.0,4.0,외,11300,11300
고종욱,513.0,492.0,56.0,76.0,159.0,25.0,7.0,3.0,31.0,10.0,0.0,2.0,18.0,1.0,1.0,89.0,5.0,3.0,103.0,29.333333333,126.0,43.0,외,11000,17000
김헌곤,467.0,411.0,46.0,57.0,122.0,20.0,1.0,5.0,10.0,8.0,5.0,6.0,37.0,1.0,8.0,41.0,18.0,0.0,108.0,22.416666667,99.0,31.0,외,15500,19000
김민하,140.0,125.0,14.0,14.0,32.0,6.0,0.0,2.0,5.0,2.0,2.0,1.0,9.0,0.0,3.0,41.0,4.0,2.0,30.0,7.5,30.0,8.0,외,3900,4500
허일,162.0,149.0,17.0,14.0,38.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,28.0,1.0,1.0,40.0,11.75,48.0,14.0,외,3000,4100
강경학,135.0,113.0,12.0,21.0,27.0,4.0,0.0,0.0,1.0,2.0,3.0,1.0,15.0,0.0,3.0,32.0,3.0,4.0,25.0,6.0,27.0,6.0,내,8800,7800
오준혁,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,외,3700,3000
정진기,17.0,16.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,2.0,1.0,외,8200,4600
이원재,285.0,256.0,36.0,31.0,66.0,11.0,0.0,8.0,1.0,2.0,5.0,3.0,20.0,0.0,1.0,47.0,5.0,4.0,49.0,13.166666667,68.0,19.0,내,5000,7100
류지혁,316.0,276.0,34.0,36.0,69.0,6.0,2.0,0.0,18.0,5.0,6.0,3.0,24.0,0.0,7.0,40.0,6.0,11.0,71.0,13.500000000000002,76.0,20.0,내,12500,10500
박세혁,505.0,441.0,63.0,58.0,123.0,19.0,9.0,4.0,8.0,2.0,10.0,6.0,41.0,1.0,7.0,68.0,5.0,8.0,101.0,24.166666667,141.0,41.0,포,10000,23200
유민상,202.0,175.0,26.0,23.0,51.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,35.0,6.0,3.0,38.0,10.333333333,44.0,15.0,내,4300,6000
박정음,88.0,71.0,7.0,13.0,14.0,2.0,1.0,0.0,6.0,5.0,1.0,0.0,11.0,0.0,5.0,31.0,1.0,0.0,25.0,4.916666667,25.0,8.0,외,4500,4300
김규민,250.0,222.0,24.0,33.0,55.0,8.0,1.0,3.0,2.0,4.0,0.0,2.0,22.0,0.0,4.0,68.0,4.0,1.0,50.0,9.75,66.0,14.0,외,5800,5400
구자욱,526.0,475.0,71.0,66.0,127.0,27.0,6.0,15.0,11.0,3.0,0.0,6.0,38.0,2.0,7.0,88.0,5.0,2.0,95.0,20.666666667,106.0,32.0,외,30000,28000
박찬도,34.0,32.0,2.0,10.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,8.0,1.0,9.0,1.0,외,5500,5000
박해민,581.0,506.0,44.0,64.0,121.0,16.0,7.0,5.0,24.0,7.0,12.0,3.0,58.0,0.0,2.0,82.0,4.0,2.0,102.0,19.333333333,117.0,28.0,외,36000,30000
이현동,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,외,2900,2900
윤수강,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,포,3200,3200
신본기,413.0,375.0,26.0,43.0,96.0,9.0,0.0,1.0,3.0,3.0,5.0,1.0,24.0,1.0,8.0,62.0,9.0,15.0,82.0,14.583333333,94.0,21.0,내,16000,12500
