Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS,연차,프로입단,FA유무
이정후,630,574,68,91,193,31,10,6,13,7,3,4,45,0,4,40,15,2,130,27.66666667,137,42,외,23000,39000,0.385964912,0.456445993,0.842410905,3,2017,0
김하성,625,540,104,112,166,38,2,19,33,4,1,7,70,4,7,80,12,20,125,38,162,59,내,32000,55000,0.389423077,0.490740741,0.880163818,6,2014,0
정은원,624,564,57,83,148,27,6,8,14,7,6,6,48,0,0,101,6,13,106,18.5,112,27,내,5500,12000,0.317152104,0.374113475,0.691265579,2,2018,0
이천웅,613,546,48,88,168,24,3,2,21,10,4,1,57,1,5,82,13,1,122,21.4,105,35,외,15000,28000,0.377668309,0.373626374,0.751294682,9,2011,0
최정,606,503,99,86,147,27,0,29,3,2,0,8,69,6,26,92,4,14,135,30.5,141,47,내,120000,120000,0.399339934,0.51888668,0.918226614,15,2005,1
전준우,606,545,83,85,164,30,1,22,8,2,1,7,46,2,7,71,19,4,121,27,154,43,외,50000,50000,0.358677686,0.480733945,0.839411631,12,2008,0
김현수,595,526,82,75,160,37,0,11,3,1,0,9,54,9,6,52,11,1,128,30.41666667,146,48,외,130000,130000,0.369747899,0.437262357,0.807010257,14,2006,1
박해민,581,506,44,64,121,16,7,5,24,7,12,3,58,0,2,82,4,2,102,19.33333333,117,28,외,36000,30000,0.318101933,0.328063241,0.646165174,8,2012,0
김재환,574,495,91,76,140,20,5,15,3,1,0,11,63,5,5,113,7,0,109,28.58333333,140,42,외,73000,65000,0.362369338,0.434343434,0.796712772,12,2008,0
손아섭,568,512,63,78,151,22,1,10,13,8,1,2,52,1,1,92,6,4,112,22.33333333,123,36,외,150000,200000,0.35978836,0.400390625,0.760178985,13,2007,1
유한준,562,501,86,61,159,19,1,14,3,0,0,5,52,1,4,61,20,2,118,36.16666667,142,53,외,60000,50000,0.382562278,0.443113772,0.82567605,20,2000,1
최형우,555,456,86,65,137,31,1,17,0,1,0,7,85,6,7,77,13,0,115,26.16666667,137,36,외,150000,150000,0.412612613,0.484649123,0.897261735,18,2002,1
이대호,549,485,88,48,138,23,1,16,0,0,0,7,47,4,10,65,19,1,102,28.83333333,131,38,내,250000,250000,0.355191257,0.435051546,0.790242803,19,2001,1
오지환,547,473,53,63,119,23,5,9,27,5,7,3,57,1,7,113,7,12,112,19.66666667,125,32,내,40000,60000,0.338888889,0.378435518,0.717324407,11,2009,0
이명기,547,484,36,62,142,17,3,2,14,4,7,4,48,2,4,66,12,2,126,19,108,29,외,22000,24000,0.359259259,0.353305785,0.712565044,14,2006,0
김상수,543,468,38,76,127,20,2,5,21,3,6,4,50,1,15,67,14,10,105,16.58333333,114,26,내,25000,25000,0.357541899,0.354700855,0.712242754,11,2009,1
박찬호,541,504,49,60,131,15,4,2,39,6,5,2,26,0,4,83,8,16,93,23.25,130,40,내,4200,10500,0.300373134,0.317460317,0.617833452,6,2014,0
허경민,540,475,60,71,137,25,1,4,11,5,3,11,34,2,17,36,16,8,103,26.66666667,111,36,내,38500,48000,0.35009311,0.370526316,0.720619426,11,2009,0
박건우,537,458,64,83,146,27,5,10,12,3,1,11,60,0,7,57,23,3,115,23.66666667,116,33,외,38500,45000,0.39738806,0.465065502,0.862453562,11,2009,0
박병호,532,432,98,92,121,22,0,33,0,1,0,9,78,5,13,117,7,6,110,21,117,34,내,150000,200000,0.398496241,0.560185185,0.958681426,15,2005,0
오재일,529,467,102,76,137,29,1,21,2,1,0,4,55,1,3,99,5,4,94,27.7,131,45,내,30000,47000,0.368620038,0.494646681,0.863266719,15,2005,0
박민우,526,468,45,89,161,23,8,1,18,7,2,6,41,1,9,40,10,9,100,25.83333333,96,32,내,38000,52000,0.402671756,0.433760684,0.836432439,8,2012,0
구자욱,526,475,71,66,127,27,6,15,11,3,0,6,38,2,7,88,5,2,95,20.66666667,106,32,외,30000,28000,0.326996198,0.444210526,0.771206724,8,2012,0
김민혁,521,466,32,68,131,10,1,0,22,10,5,5,32,0,13,61,8,4,91,19.66666667,109,28,외,3900,9000,0.341085271,0.306866953,0.647952224,6,2014,0
채은성,514,470,72,59,148,18,1,12,2,2,0,8,24,1,12,67,9,2,112,24.65,133,44,외,31000,32000,0.357976654,0.434042553,0.792019207,11,2009,0
정수빈,513,441,41,75,117,19,5,0,26,8,4,5,57,0,6,60,6,3,93,20.33333333,110,27,외,24500,34000,0.353634578,0.33106576,0.684700337,11,2009,0
고종욱,513,492,56,76,159,25,7,3,31,10,0,2,18,1,1,89,5,3,103,29.33333333,126,43,외,11000,17000,0.346978558,0.420731707,0.767710265,9,2011,0
황재균,507,448,67,78,127,16,3,20,10,7,0,5,52,2,2,71,10,11,87,19.33333333,103,27,내,120000,120000,0.357001972,0.466517857,0.82351983,14,2006,1
박세혁,505,441,63,58,123,19,9,4,8,2,10,6,41,1,7,68,5,8,101,24.16666667,141,41,포,10000,23200,0.345454545,0.390022676,0.735477221,8,2012,0
강백호,505,438,65,72,147,29,1,13,9,5,0,4,61,4,2,87,11,3,103,21.25,116,33,외,12000,21000,0.415841584,0.49543379,0.911275374,2,2018,0
이재원,502,451,75,33,121,19,0,12,1,0,1,7,34,2,9,59,16,6,102,25.58333333,132,40,포,140000,130000,0.327345309,0.390243902,0.717589212,14,2006,1
한동민,502,427,52,52,113,20,0,12,0,1,0,0,55,4,20,100,6,4,100,17.5,91,24,외,33000,25000,0.374501992,0.395784543,0.770286535,8,2012,0
김태균,500,433,62,47,132,21,0,6,3,0,0,8,54,5,5,94,15,1,94,26.16666667,113,34,내,100000,50000,0.382,0.394919169,0.776919169,19,2001,1
박경수,490,421,65,43,104,24,0,10,0,1,4,6,55,1,4,102,14,9,94,21,121,34,내,40000,40000,0.335390947,0.375296912,0.710687859,17,2003,1
서건창,486,426,41,67,128,23,3,2,17,3,3,5,49,1,3,50,5,6,91,21.5,96,33,내,35000,35000,0.372670807,0.382629108,0.755299915,12,2008,0
송광민,486,454,51,50,120,21,0,7,8,2,3,5,21,0,3,91,18,16,87,18.08333333,111,29,내,25000,25000,0.298136646,0.356828194,0.65496484,18,2002,1
이형종,482,419,63,56,120,24,1,13,6,5,1,10,42,1,10,78,9,2,84,17.75,113,28,외,17000,20000,0.357588358,0.441527446,0.799115804,12,2008,0
이성열,476,414,85,60,106,21,1,21,8,4,1,4,48,1,9,114,7,5,93,25.33333333,118,37,내,32000,50000,0.343157895,0.463768116,0.806926011,17,2003,0
김성현,472,426,34,45,105,16,2,1,6,2,8,3,33,0,2,43,15,26,95,17.08333333,111,24,내,28000,21000,0.301724138,0.300469484,0.602193621,14,2006,0
김재호,470,377,48,51,101,22,0,4,3,3,8,11,67,3,7,58,10,10,104,17.5,105,27,내,65000,65000,0.378787879,0.358090186,0.736878064,16,2004,1
이창진,470,400,48,57,108,25,1,6,8,8,4,5,57,0,4,92,8,5,92,17.33333333,101,27,내,3100,8500,0.362660944,0.3825,0.745160944,6,2014,0
유강남,468,418,49,44,113,22,0,16,0,0,1,6,30,2,13,82,21,7,78,15.16666667,100,21,포,21000,23000,0.334047109,0.437799043,0.771846152,9,2011,0
김헌곤,467,411,46,57,122,20,1,5,10,8,5,6,37,1,8,41,18,0,108,22.41666667,99,31,외,15500,19000,0.361471861,0.386861314,0.748333175,9,2011,0
