Name,RBI,RUN,HIT,Money_19,Money_20
이대호,2.482,0.866,1.671,6.584,6.357
박병호,2.863,2.516,1.347,3.724,4.974
양의지,1.721,1.354,1.671,5.154,4.974
손아섭,1.53,1.991,1.919,3.724,4.974
최형우,2.406,1.504,1.652,3.724,3.591
김현수,2.254,1.879,2.09,3.152,3.038
이재원,1.987,0.304,1.347,3.438,3.038
강민호,0.845,0.416,0.585,3.009,2.9
민병헌,0.768,1.016,1.176,3.009,2.9
최정,2.901,2.291,1.842,2.866,2.761
황재균,1.682,1.991,1.461,2.866,2.761
박용택,-0.032,-0.221,0.09,1.722,1.655
박석민,1.949,0.904,0.871,1.579,1.378
김재호,0.959,0.979,0.966,1.293,1.24
김재환,2.597,1.916,1.709,1.522,1.24
나지완,-0.222,-0.484,-0.501,1.15,1.102
오지환,1.149,1.429,1.309,0.578,1.102
김하성,3.092,3.266,2.205,0.349,0.963
박민우,0.845,2.404,2.109,0.521,0.88
나성범,-0.336,-0.221,-0.311,1.007,0.825
김태균,1.492,0.829,1.557,2.294,0.825
이성열,2.368,1.316,1.061,0.349,0.825
유한준,2.406,1.354,2.071,1.15,0.825
전준우,2.292,2.254,2.166,0.864,0.825
허경민,1.416,1.729,1.652,0.535,0.77
오재일,3.016,1.916,1.652,0.292,0.742
김선빈,0.654,1.129,1.233,0.292,0.687
박건우,1.568,2.179,1.823,0.535,0.687
김주찬,0.349,0.379,0.966,0.578,0.548
박경수,1.606,0.679,1.023,0.578,0.548
김민성,1.035,0.716,0.833,0.578,0.548
이정후,1.721,2.479,2.719,0.092,0.521
김강민,1.035,1.091,1.214,0.578,0.41
정근우,0.273,0.454,0.509,1.436,0.41
서건창,0.692,1.579,1.48,0.435,0.41
정수빈,0.692,1.879,1.271,0.135,0.382
채은성,1.873,1.279,1.862,0.32,0.327
박해민,0.806,1.466,1.347,0.463,0.272
정의윤,1.378,0.716,1.08,0.292,0.272
이원석,2.025,0.716,0.89,0.292,0.272
오재원,-0.184,0.191,-0.406,1.007,0.272
모창민,1.225,0.904,1.023,0.292,0.272
이지영,0.616,0.566,0.699,0.034,0.272
안치홍,0.997,0.754,1.214,0.864,0.244
이천웅,0.959,2.366,2.243,-0.137,0.217
구자욱,1.835,1.541,1.461,0.292,0.217
최주환,0.921,0.079,0.547,0.535,0.189
한동민,1.111,1.016,1.195,0.378,0.134
송광민,1.073,0.941,1.328,0.149,0.134
김상수,0.578,1.916,1.461,0.149,0.134
이명기,0.502,1.391,1.747,0.063,0.106
박세혁,1.53,1.241,1.385,-0.28,0.084
유강남,0.997,0.716,1.195,0.034,0.078
박동원,1.225,0.941,0.833,-0.309,0.064
노수광,0.197,1.654,0.89,0.192,0.023
강백호,1.606,1.766,1.842,-0.223,0.023
김성현,0.426,0.754,1.042,0.235,0.023
김태군,-0.831,-0.934,-0.882,0.092,-0.005
이형종,1.53,1.166,1.328,-0.08,-0.005
최재훈,0.311,0.829,1.099,-0.209,-0.005
김헌곤,0.883,1.204,1.366,-0.123,-0.032
윤석민,-0.222,-0.784,-0.215,0.12,-0.06
고종욱,1.264,1.916,2.071,-0.252,-0.088
최진행,-0.146,-0.559,-0.444,0.006,-0.115
하주석,-0.793,-0.821,-0.863,-0.051,-0.171
노진혁,0.768,0.979,0.795,-0.28,-0.171
권희동,0.692,0.454,0.737,-0.166,-0.185
김동엽,0.083,-0.371,-0.158,-0.037,-0.185
장성우,0.692,0.004,0.871,-0.295,-0.185
심우준,0.197,1.091,1.118,-0.323,-0.198
신본기,0.121,0.679,0.871,-0.109,-0.212
지석훈,-0.298,-0.371,-0.311,-0.137,-0.212
정주현,0.159,1.054,0.699,-0.315,-0.212
김성욱,0.502,0.491,0.299,-0.194,-0.226
정은원,1.302,2.179,1.862,-0.409,-0.226
나주환,-0.108,-0.409,-0.006,0.349,-0.226
정진호,-0.755,-0.446,-0.577,-0.243,-0.245
류지혁,0.426,0.416,0.356,-0.209,-0.268
