Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS
강경학,135,113,12,21,27,4,0,0,1,2,3,1,15,0,3,32,3,4,25,6,27,6,내,8800,7800,0.340909091,0.274336283,0.615245374
강로한,306,288,25,38,69,15,6,4,7,1,1,1,13,0,3,107,3,20,50,10.33333333,58,16,내,2900,5300,0.278688525,0.375,0.653688525
강민국,94,88,7,12,24,0,1,0,2,0,0,0,6,0,0,17,2,9,18,5.333333333,27,7,내,2700,4000,0.319148936,0.295454545,0.614603482
강민호,393,346,45,36,81,20,0,13,0,0,2,3,33,2,9,76,9,8,71,12.16666667,85,20,포,125000,125000,0.314578005,0.404624277,0.719202283
강백호,505,438,65,72,147,29,1,13,9,5,0,4,61,4,2,87,11,3,103,21.25,116,33,외,12000,21000,0.415841584,0.49543379,0.911275374
강진성,104,97,14,11,24,4,1,2,2,1,0,0,3,0,4,20,6,1,21,5,29,6,외,3200,3800,0.298076923,0.371134021,0.669210944
고승민,89,83,6,7,21,6,2,0,0,0,1,1,4,0,0,16,1,2,11,5,14,5,내,2700,3800,0.284090909,0.373493976,0.657584885
고장혁,32,31,3,2,7,0,1,0,0,1,0,0,0,0,1,8,1,4,8,2,10,2,내,5000,5000,0.25,0.290322581,0.540322581
고종욱,513,492,56,76,159,25,7,3,31,10,0,2,18,1,1,89,5,3,103,29.33333333,126,43,외,11000,17000,0.346978558,0.420731707,0.767710265
공민규,60,53,6,4,13,1,0,3,0,0,0,0,6,0,1,18,0,2,13,0,15,0,내,2700,4000,0.333333333,0.433962264,0.767295597
구본혁,95,85,6,10,15,1,0,1,2,1,1,1,6,0,2,17,0,1,23,0.833333333,15,2,내,2700,4000,0.244680851,0.223529412,0.468210263
구자욱,526,475,71,66,127,27,6,15,11,3,0,6,38,2,7,88,5,2,95,20.66666667,106,32,외,30000,28000,0.326996198,0.444210526,0.771206724
국해성,41,35,2,2,6,3,0,0,0,0,0,0,5,0,1,13,3,2,8,1,9,1,외,5000,4500,0.292682927,0.257142857,0.549825784
권희동,413,348,41,37,89,17,0,6,3,0,5,3,50,1,7,60,10,4,98,13.33333333,97,22,외,14000,13500,0.357843137,0.356321839,0.714164976
김강민,460,422,50,54,114,14,2,8,15,8,0,3,31,3,4,103,2,3,79,21.5,104,31,외,40000,35000,0.323913043,0.369668246,0.69358129
김경호,27,26,2,4,5,1,0,0,0,0,1,0,0,0,0,7,0,0,11,1,8,1,외,2700,2900,0.192307692,0.230769231,0.423076923
김규민,250,222,24,33,55,8,1,3,2,4,0,2,22,0,4,68,4,1,50,9.75,66,14,외,5800,5400,0.324,0.333333333,0.657333333
김대한,18,15,0,4,0,0,0,0,0,0,0,0,3,0,0,9,0,1,5,0,7,0,외,2700,2800,0.166666667,0,0.166666667
김도환,106,93,7,7,19,6,0,2,0,0,4,1,8,0,0,36,0,1,19,5,21,5,포,2700,5000,0.264705882,0.333333333,0.598039216
김동엽,211,195,25,15,42,4,1,6,2,1,0,2,12,0,2,47,2,1,38,7.833333333,46,11,외,18500,13500,0.265402844,0.338461538,0.603864382
김동한,85,78,2,9,22,4,0,0,3,2,1,0,6,0,0,15,1,2,23,1.5,12,2,내,5000,4500,0.333333333,0.333333333,0.666666667
김문호,109,103,4,6,25,7,0,0,2,0,1,1,4,0,0,30,1,1,19,2,21,2,외,8000,5000,0.268518519,0.310679612,0.57919813
김민성,401,361,50,44,94,16,0,8,2,1,5,1,30,0,4,75,12,6,56,18.41666667,88,29,내,40000,40000,0.323232323,0.371191136,0.694423459
김민수,41,39,2,5,8,1,0,0,0,0,0,1,1,0,0,16,0,0,4,0.5,10,1,포,3300,4300,0.219512195,0.230769231,0.450281426
김민수,37,34,1,0,8,3,0,0,0,0,0,0,1,0,2,14,2,1,9,1,3,1,내,2700,3000,0.297297297,0.323529412,0.620826709
김민식,116,96,14,6,16,2,0,0,2,0,0,2,15,0,3,29,1,3,26,2,24,4,포,14000,8800,0.293103448,0.1875,0.480603448
김민하,140,125,14,14,32,6,0,2,5,2,2,1,9,0,3,41,4,2,30,7.5,30,8,외,3900,4500,0.31884058,0.352,0.67084058
김민혁,521,466,32,68,131,10,1,0,22,10,5,5,32,0,13,61,8,4,91,19.66666667,109,28,외,3900,9000,0.341085271,0.306866953,0.647952224
김병희,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,내,2800,3000,0.142857143,0.142857143,0.285714286
김상수,543,468,38,76,127,20,2,5,21,3,6,4,50,1,15,67,14,10,105,16.58333333,114,26,내,25000,25000,0.357541899,0.354700855,0.712242754
김선빈,447,394,40,55,115,22,0,3,5,4,5,4,43,0,1,26,7,10,89,18.66666667,91,27,내,30000,45000,0.359728507,0.370558376,0.730286882
김성민,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,포,2700,2700,0.25,0.25,0.5
김성욱,333,287,36,38,66,16,1,9,6,4,9,5,29,1,3,69,4,2,58,14.16666667,64,19,외,13000,12000,0.302469136,0.386759582,0.689228718
김성현,472,426,34,45,105,16,2,1,6,2,8,3,33,0,2,43,15,26,95,17.08333333,111,24,내,28000,21000,0.301724138,0.300469484,0.602193621
김성훈,88,77,5,14,14,1,1,1,4,3,4,0,7,0,0,11,0,3,24,2.5,13,3,내,7000,7000,0.25,0.25974026,0.50974026
김영환,15,14,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,2,0,내,3000,3300,0.133333333,0.071428571,0.204761905
김용의,210,179,17,35,39,5,3,0,8,3,4,1,24,1,2,38,1,5,45,10,48,12,내,8500,10500,0.315533981,0.279329609,0.59486359
김웅빈,11,11,3,1,3,1,0,0,0,0,0,0,0,0,0,2,2,0,2,1.5,5,2,내,3700,3700,0.272727273,0.363636364,0.636363636
김은성,10,8,0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,1,2,0,1,0,내,2700,2900,0.3,0.125,0.425
김응민,13,13,0,0,3,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,3,0,포,2900,3200,0.230769231,0.307692308,0.538461538
김인태,70,60,7,6,14,2,1,2,1,1,1,1,8,0,0,12,2,0,16,1.333333333,20,2,외,4000,5000,0.31884058,0.4,0.71884058
김재성,7,5,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0.5,3,1,포,2900,3100,0.428571429,0.2,0.628571429
김재호,470,377,48,51,101,22,0,4,3,3,8,11,67,3,7,58,10,10,104,17.5,105,27,내,65000,65000,0.378787879,0.358090186,0.736878064
김재환,574,495,91,76,140,20,5,15,3,1,0,11,63,5,5,113,7,0,109,28.58333333,140,42,외,73000,65000,0.362369338,0.434343434,0.796712772
김종민,21,20,1,2,4,0,0,1,0,0,1,0,0,0,0,7,1,0,1,0,7,0,포,5300,4800,0.2,0.35,0.55
김주찬,363,337,32,35,101,16,0,3,3,1,1,3,17,3,5,44,6,6,71,15.66666667,88,22,내,40000,40000,0.339779006,0.37388724,0.713666246
김주형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,내,2700,2700,0,0,0
김준완,19,16,1,0,4,0,0,0,0,0,0,1,2,0,0,2,0,0,5,0,4,0,외,8000,8000,0.315789474,0.25,0.565789474
김준태,104,88,8,10,14,3,0,0,0,0,2,0,12,0,2,23,1,2,15,4.333333333,27,6,포,4400,3800,0.274509804,0.193181818,0.467691622
김찬형,154,141,12,16,39,4,2,1,3,4,2,1,6,0,4,21,1,3,39,4.5,35,5,내,4300,5800,0.322368421,0.354609929,0.67697835
