Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%
이정후,630,574,68,91,193,31,10,6,13,7,3,4,45,0,4,40,15,2,130,27.66666667,137,42,외,23000,39000,0.38596,0.45645,0.84241,0.2878,0.29094,0.80397,95.03027,3.51964,92.56,0.12021,8.21053,0.5331,0.3515,0.96536
김하성,625,540,104,112,166,38,2,19,33,4,1,7,70,4,7,80,12,20,125,38,162,59,내,32000,55000,0.38942,0.49074,0.88016,0.29793,0.47593,0.96154,96.32271,3.56751,104.67,0.18333,24.11538,0.6252,0.32813,0.96626
정은원,624,564,57,83,148,27,6,8,14,7,6,6,48,0,0,101,6,13,106,18.5,112,27,내,5500,12000,0.31715,0.37411,0.69127,0.23625,0.28191,0.63636,58.53332,2.1679,69.292,0.1117,10.18182,0.53814,0.30369,0.9136
이천웅,613,546,48,88,168,24,3,2,21,10,4,1,57,1,5,82,13,1,122,21.4,105,35,외,15000,28000,0.37767,0.37363,0.75129,0.26336,0.24359,0.71571,71.92514,2.66389,75.394,0.06593,3.65217,0.53459,0.35853,0.94106
최정,606,503,99,86,147,27,0,29,3,2,0,8,69,6,26,92,4,14,135,30.5,141,47,내,120000,120000,0.39934,0.51889,0.91823,0.30942,0.47714,0.99171,95.73611,3.54578,107.064,0.22664,5.4375,0.67752,0.30256,0.96586
전준우,606,545,83,85,164,30,1,22,8,2,1,7,46,2,7,71,19,4,121,27,154,43,외,50000,50000,0.35868,0.48073,0.83941,0.28159,0.37248,0.80348,81.87213,3.0323,89.202,0.17982,11.73333,0.61129,0.30937,0.95389
김현수,595,526,82,75,160,37,0,11,3,1,0,9,54,9,6,52,11,1,128,30.41666667,146,48,외,130000,130000,0.36975,0.43726,0.80701,0.2757,0.3308,0.77513,79.93357,2.9605,84.194,0.13308,4.71429,0.60422,0.31568,0.95174
박해민,581,506,44,64,121,16,7,5,24,7,12,3,58,0,2,82,4,2,102,19.33333333,117,28,외,36000,30000,0.3181,0.32806,0.64617,0.22516,0.29249,0.63131,50.99546,1.88872,59.784,0.08893,8.27586,0.56307,0.27488,0.88921
김재환,574,495,91,76,140,20,5,15,3,1,0,11,63,5,5,113,7,0,109,28.58333333,140,42,외,73000,65000,0.36237,0.43434,0.79671,0.27165,0.36364,0.78788,69.52085,2.57485,82.716,0.15152,5,0.61342,0.33069,0.93717
손아섭,568,512,63,78,151,22,1,10,13,8,1,2,52,1,1,92,6,4,112,22.33333333,123,36,외,150000,200000,0.35979,0.40039,0.76018,0.262,0.28125,0.72267,66.20696,2.45211,73.324,0.10547,11.30435,0.58872,0.34223,0.93117
유한준,562,501,86,61,159,19,1,14,3,0,0,5,52,1,4,61,20,2,118,36.16666667,142,53,외,60000,50000,0.38256,0.44311,0.82568,0.28293,0.30339,0.77624,77.00464,2.85202,80.052,0.12575,4.94118,0.60619,0.33643,0.94819
최형우,555,456,86,65,137,31,1,17,0,1,0,7,85,6,7,77,13,0,115,26.16666667,137,36,외,150000,150000,0.41261,0.48465,0.89726,0.30684,0.47588,0.93994,82.87938,3.06961,90.714,0.18421,0,0.69823,0.3252,0.95496
