Name,OPS,XR,FPCT,팀명,20연봉
강경학,0.61525,11.424,0.979274611,한화,7800
강로한,0.65369,29.914,0.947089947,롯데,5300
강민국,0.6146,8.304,0.936170213,KT,4000
강민호,0.7192,44.622,0.988826816,삼성,125000
강백호,0.91128,84.244,0.979865772,KT,21000
강진성,0.66921,8.77,0.962962963,NC,3800
고승민,0.65758,8.592,0.982758621,롯데,3800
고장혁,0.54032,1.466,0.878787879,KIA,5000
고종욱,0.76771,68.558,0.974137931,SK,17000
공민규,0.7673,8.176,0.979166667,삼성,4000
구본혁,0.46821,5.394,0.990291262,LG,4000
구자욱,0.77121,71.266,0.99122807,삼성,28000
국해성,0.54983,1.876,0.904761905,두산,4500
권희동,0.71416,47.53,0.975460123,NC,13500
김강민,0.69358,52.276,0.989130435,SK,35000
김경호,0.42308,0.814,1.0,두산,2900
김규민,0.65733,24.226,0.991935484,키움,5400
김대한,0.16667,-0.402,0.956521739,두산,2800
김도환,0.59804,9.002,0.99543379,삼성,5000
김동엽,0.60386,18.714,0.967741935,삼성,13500
김동한,0.66667,8.33,0.976470588,롯데,4500
김문호,0.5792,8.54,0.974358974,롯데,5000
김민성,0.69442,41.14,0.975409836,LG,40000
김민수,0.45028,2.012,0.957,롯데,4300
김민수,0.62083,2.488,1.0,삼성,3000
김민식,0.4806,7.858,0.986425339,KIA,8800
김민하,0.67084,13.812,0.978723404,한화,4500
김민혁,0.64795,52.752,0.98206278,KT,9000
김병희,0.28571,-0.056,1.0,KT,3000
김상수,0.71224,63.824,0.982547993,삼성,25000
김선빈,0.73029,53.512,0.977924945,KIA,45000
김성욱,0.68923,36.398,0.989795918,NC,12000
김성현,0.60219,37.026,0.953818828,SK,21000
김성훈,0.50974,5.242,0.970873786,삼성,7000
김영환,0.20476,-0.724,1.0,KT,3300
김용의,0.59486,18.706,0.990138067,LG,10500
김웅빈,0.63636,0.244,1.0,키움,3700
김은성,0.425,0.164,0.888888889,키움,2900
김응민,0.53846,0.402,1.0,삼성,3200
김인태,0.71884,7.874,1.0,두산,5000
김재성,0.62857,0.804,1.0,LG,3100
김재현,0.72878,6.092,2.0,삼성,5600
김재현,0.0,-0.188,3.0,SK,5500
김재호,0.73688,58.956,0.980276134,두산,65000
김재환,0.79671,82.716,1.0,두산,65000
김종민,0.55,1.114,1.0,한화,4800
김주찬,0.71367,41.608,0.988888889,KIA,40000
김주형,0.0,-0.09,1.0,키움,2700
김준완,0.56579,1.954,1.0,NC,8000
김준태,0.46769,5.286,0.99137931,롯데,3800
김찬형,0.67698,15.792,0.983516484,NC,5800
김창평,0.48222,2.472,1.0,SK,3000
김태군,0.53896,1.986,1.0,NC,20000
김태균,0.77692,65.978,0.995348837,한화,50000
김태근,0.0,-0.46,0.0,두산,2800
김태진,0.68425,43.914,0.988047809,NC,9000
김하성,0.88016,104.67,0.96039604,키움,55000
김헌곤,0.74833,54.512,1.0,삼성,19000
김현수,0.80701,84.194,0.997695853,LG,130000
김형준,0.60536,9.828,0.9958159,NC,5000
김혜성,0.69366,45.19,0.969450102,키움,10000
김호재,0.49242,1.064,1.0,삼성,4000
김회성,0.65749,12.128,0.989361702,한화,6500
나성범,1.08856,22.142,1.0,NC,50000
나종덕,0.38271,4.186,0.990403071,롯데,4300
나주환,0.57193,16.568,0.996923077,SK,12000
나지완,0.66499,16.014,1.0,KIA,60000
남태혁,0.51894,0.516,1.0,SK,3000
노수광,0.64442,45.676,0.988372093,SK,21000
노시환,0.50072,9.644,0.976666667,한화,3300
노진혁,0.77954,50.16,0.985875706,NC,14000
류지혁,0.60881,29.26,0.969101124,두산,10500
류형우,0.43182,0.136,1.0,LG,3200
모창민,0.82379,57.754,0.990619137,NC,30000
문상철,0.58137,6.342,0.964912281,KT,4000
문선재,0.64202,7.166,0.961538462,KIA,4500
민병헌,0.83205,61.47,0.990384615,롯데,125000
박건우,0.86245,82.084,0.988235294,두산,45000
박경수,0.71069,54.184,0.984482759,KT,40000
박계범,0.74044,24.47,0.952879581,삼성,5500
박동원,0.81203,49.092,0.998106061,키움,22500
박민석,0.0,-0.09,1.0,KT,2900
박민우,0.83643,79.38,0.983394834,NC,52000
박병호,0.95868,98.344,0.994047619,키움,200000
박석민,0.87096,66.348,0.917293233,NC,70000
박세혁,0.73548,62.936,0.99057715,두산,23200
박승규,0.45135,0.954,1.0,삼성,3200
박승욱,0.60739,20.08,0.988235294,KT,8000
박용택,0.68312,23.46,1.0,LG,80000
박정음,0.59835,7.192,1.0,키움,4300
박준태,0.47794,2.57,1.0,KIA,4500
박지규,0.50267,1.624,0.941176471,LG,4000
박찬도,0.63603,2.84,1.0,삼성,5000
박찬호,0.61783,51.886,0.967871486,KIA,10500
박한결,0.36364,-0.532,1.0,한화,3000
박해민,0.64617,59.784,0.995073892,삼성,30000
배성근,0.49811,3.006,0.942307692,롯데,3200
배정대,0.53724,4.306,0.985074627,KT,4800
백동훈,0.46277,2.182,1.0,두산,3600
백승민,0.52857,2.554,0.983606557,삼성,4500
백승현,0.36667,0.2,0.972222222,LG,3400
백용환,0.69837,5.828,0.979166667,KIA,4000
백창수,0.55632,2.846,1.0,한화,5300
변우혁,0.62976,4.944,0.99270073,한화,3000
서건창,0.7553,65.15,0.978181818,키움,35000
서예일,0.0,-0.27,1.0,두산,3200
손아섭,0.76018,73.324,0.98467433,롯데,200000
송광민,0.65496,44.682,0.948881789,한화,25000
송민섭,0.73645,7.796,1.0,KT,4700
송승환,0.0,-0.188,0.0,두산,2800
송준석,0.62567,4.298,0.972972973,삼성,4000
신민재,0.59419,7.834,1.0,LG,5000
신본기,0.60173,32.924,0.967462039,롯데,12500
신성현,0.62014,6.338,0.977777778,두산,4800
신용수,0.35,0.288,0.857142857,롯데,2900
심우준,0.66794,46.276,0.97985348,KT,13000
안승한,0.333,0.046,0.978947368,KT,3700
안치홍,0.7915,56.034,0.976694915,KIA,29000
양성우,0.44505,5.006,1.0,한화,7000
