선수명,IP,E,March_score,kWAR_score,AHP_score,팀명
강경학,273.0,4.0,1468.641,147.829,39.993,한화
강로한,709.6700000000001,20.0,3910.467,449.717,105.735,롯데
강민국,245.67,9.0,1487.254,171.30599999999998,44.404,KT
강민호,842.0,8.0,6661.904,832.738,308.113,삼성
강백호,622.6600000000001,3.0,1549.2720000000002,127.421,23.109,KT
강승호,94.0,1.0,566.587,59.353,13.712,SK
강진성,135.67000000000002,1.0,276.607,26.609,4.79,NC
고명성,59.0,2.0,330.434,36.45,9.361,KT
고승민,185.0,2.0,1091.13,109.113,22.55,롯데
고장혁,94.33,4.0,254.854,33.128,7.22,KIA
고종욱,524.67,3.0,1022.057,102.206,18.397,SK
공민규,119.0,2.0,233.002,0.0,2.563,삼성
구본혁,273.33,1.0,1442.548,184.777,44.04900000000001,LG
구자욱,870.33,2.0,2156.243,172.499,31.05,삼성
국해성,80.0,2.0,171.055,14.044,2.5500000000000003,두산
권희동,785.3299999999999,4.0,1790.107,155.383,27.914,NC
김강민,947.33,3.0,3279.183,374.764,62.773,SK
김경호,74.0,0.0,190.17,19.534,3.398,두산
김규민,520.0,1.0,1041.356,104.586,18.78,키움
김대한,52.0,1.0,164.104,18.498,3.1060000000000003,두산
김도환,299.67,1.0,2385.373,298.172,110.324,삼성
김동엽,130.33,1.0,252.319,25.232,4.542,삼성
김동한,177.32999999999998,2.0,953.0,105.366,22.098,롯데
김문호,185.66,1.0,531.097,55.011,9.43,롯데
김민성,841.67,6.0,3282.513,492.377,101.758,LG
김민수,193.33,1.0,1175.332,155.434,49.163,롯데
김민식,260.0,3.0,2050.88,256.36,94.853,KIA
김민하,346.0,2.0,766.55,76.572,13.595,한화
김민혁,903.0,4.0,2060.053,215.58900000000003,37.846,KT
김병희,17.0,0.0,68.0,10.2,2.108,KT
김사훈,6.0,0.0,48.0,6.0,2.22,롯데
김상수,993.0,10.0,5856.714,585.671,121.039,삼성
김선빈,912.67,10.0,6169.599,698.688,188.25600000000003,KIA
김성욱,775.0,2.0,2638.116,297.528,49.952,NC
김성현,1143.67,26.0,7637.428,872.849,238.942,SK
김성훈,192.66,3.0,1086.487,120.044,27.413,삼성
김영환,28.0,0.0,176.0,18.4,4.232,KT
김용의,507.0,5.0,1048.38,14.4,13.452000000000002,LG
김웅빈,20.0,0.0,94.0,12.0,2.48,키움
김은성,23.0,1.0,111.414,12.341,2.551,키움
김응민,29.33,0.0,234.64,29.33,10.852,삼성
김인태,160.0,0.0,355.0,32.0,5.76,두산
김인환,97.0,1.0,191.866,0.0,2.111,한화
김재성,17.0,0.0,136.0,17.0,6.29,LG
김재율,19.0,0.0,76.0,11.4,2.356,LG
김재현,154.67000000000002,0.0,466.175,46.734,8.485,삼성
김재호,993.33,10.0,6814.244,778.771,213.188,두산
김재환,1010.0,0.0,2020.0,202.0,36.36,두산
김종민,50.67,0.0,405.36,50.67,18.748,한화
김주찬,604.3399999999999,6.0,1196.829,13.134,14.084,KIA
김주형,6.0,0.0,18.0,1.8,0.372,키움
김준완,38.33,0.0,65.0,5.2,0.936,NC
김준태,236.0,2.0,1871.008,233.876,86.534,롯데
김지수,141.32999999999998,2.0,694.0,82.916,17.271,키움
김진곤,50.33,0.0,121.16,13.066,2.257,KT
김진형,39.0,0.0,78.0,0.0,0.858,NC
김찬형,372.33,3.0,2494.48,286.502,77.129,NC
김창평,126.0,0.0,760.0,76.4,16.004,SK
김창혁,6.0,0.0,48.0,6.0,2.22,한화
김철호,1.0,0.0,0.0,0.0,0.0,NC
김태군,71.33,0.0,570.64,71.33,26.392,NC
김태균,223.33,1.0,444.427,0.0,4.889,한화
김태근,6.0,0.0,0.0,0.0,0.0,두산
김태연,15.33,1.0,45.66,5.55,1.22,한화
김태진,720.0,3.0,2302.392,262.562,49.717,NC
김하성,1086.33,20.0,6602.337,785.83,206.309,키움
김헌곤,970.0,0.0,2023.5,204.6,36.563,삼성
김현수,1041.33,1.0,2080.985,166.4,34.539,LG
김형준,286.67,1.0,2284.187,285.523,105.644,NC
김혜성,890.3299999999999,15.0,5529.874,598.641,145.644,키움
김호재,79.0,0.0,467.0,53.6,12.741,삼성
김회성,272.34,2.0,731.989,57.462,15.669,한화
나경민,119.67,0.0,368.175,39.334,6.695,롯데
나성범,201.66000000000005,0.0,664.48,72.39800000000001,12.23,NC
나종덕,556.67,5.0,4408.826,551.103,203.908,롯데
나주환,528.0,1.0,2774.424,278.04200000000003,58.848,SK
나지완,78.0,0.0,164.0,15.6,2.8080000000000003,KIA
남태혁,13.0,0.0,26.0,0.0,0.286,SK
노수광,896.0,3.0,2302.4880000000003,234.149,40.717,SK
노시환,431.67,7.0,1443.574,140.98000000000002,37.243,한화
노진혁,800.0,5.0,4624.252,569.7819999999999,144.25799999999998,NC
러프,780.33,5.0,1549.735,0.0,17.047,삼성
로맥,1180.33,4.0,2475.92,38.391,32.354,SK
로하스,1087.67,6.0,3229.893,357.607,60.81,KT
류승현,309.67,1.0,933.084,59.774,16.701999999999998,KIA
류지혁,691.0,11.0,3824.39,430.931,103.05,두산
류형우,29.0,0.0,80.0,6.6,1.7600000000000002,LG
모창민,545.0,5.0,1080.19,0.0,11.882,NC
문규현,153.0,3.0,658.486,86.523,19.895,롯데
문상철,105.33,4.0,203.287,0.0,2.236,KT
문선재,133.32999999999998,2.0,268.285,17.666,4.115,KIA
민병헌,799.0,2.0,2745.375,311.7,52.27,롯데
박건우,1002.33,3.0,2530.037,209.003,37.346,두산
박경수,983.67,9.0,5807.588,580.759,120.023,KT
박계범,415.34,9.0,2390.958,278.591,68.78999999999999,삼성
박동원,608.0,1.0,4854.272,606.784,224.51,키움
박민석,3.0,0.0,14.0,1.6,0.438,KT
박민우,928.33,9.0,5475.29,547.529,113.156,NC
박병호,906.67,6.0,1802.46,0.0,19.827,키움
박석민,475.33,11.0,1743.51,261.527,54.049,NC
박세혁,1071.67,8.0,8496.2,1062.025,392.949,두산
박승규,62.0,0.0,183.0,19.0,3.255,삼성
박승욱,552.0,5.0,2149.594,181.675,44.504000000000005,KT
박용택,25.67,0.0,49.34,4.934,0.888,LG
박유연,2.0,0.0,16.0,2.0,0.74,두산
박정권,42.33,0.0,84.66,0.0,0.931,SK
박정음,208.33,0.0,490.66,50.266,8.833,키움
박준태,126.34,0.0,332.685,29.002,5.127000000000001,KIA
박준혁,8.0,0.0,0.0,0.0,0.0,한화
박지규,45.0,1.0,236.98,25.698,5.311,LG
박찬도,92.67,0.0,237.17,20.8,3.687,삼성
박찬호,1141.0,16.0,5649.993,734.27,171.659,KIA
박한결,29.0,0.0,203.0,23.2,6.351,한화
박한이,64.33,1.0,146.328,12.383,2.229,삼성
박해민,1162.33,2.0,4025.088,456.506,76.802,삼성
박헌욱,27.0,0.0,77.5,8.0,1.3649999999999998,NC
배성근,113.0,3.0,566.8,62.547,13.929000000000002,롯데
배영섭,159.67000000000002,0.0,331.84000000000003,31.334000000000003,5.64,SK
배정대,213.33,1.0,647.867,71.337,12.109,KT
백동훈,139.0,0.0,384.995,38.266,6.626,두산
백승민,53.0,1.0,104.304,0.0,1.147,삼성
백승현,77.0,1.0,402.4,48.56,11.216,LG
백용환,104.33,2.0,817.113,102.139,37.791,KIA
백창수,106.67,0.0,226.175,21.334,3.84,한화
베탄코트,386.33,10.0,1333.763,118.25,41.94,NC
변우혁,135.0,1.0,264.138,0.0,2.906,한화
샌즈,1073.0,5.0,2566.502,183.055,36.012,키움
서건창,481.0,6.0,2822.508,282.251,58.332,키움
서상우,6.0,0.0,12.0,0.0,0.132,LG
서예일,15.33,0.0,62.0,7.8,1.612,두산
손시헌,344.33,4.0,2362.104,269.955,73.9,NC
손아섭,1066.67,4.0,2626.675,210.134,37.824,롯데
손주인,88.67,4.0,333.389,30.183,6.981000000000001,삼성
송광민,974.0,16.0,3697.304,554.596,114.616,한화
송민섭,182.99,0.0,465.14,44.464,7.806999999999999,KT
송성문,659.0,7.0,3057.333,379.518,78.566,키움
송승환,1.0,0.0,0.0,0.0,0.0,두산
송준석,116.0,1.0,265.75,25.18,4.472,삼성
스몰린스키,455.67,3.0,1115.252,89.22,16.06,NC
신민재,189.33,0.0,996.655,102.932,20.437,LG
신범수,126.67,1.0,1005.253,125.657,46.493,KIA
신본기,942.67,15.0,6323.249,723.0,196.472,롯데
신성현,115.34,2.0,282.408,16.576,4.522,두산
신용수,54.33,4.0,296.76,32.43,8.18,롯데
심우준,1039.99,11.0,7009.965,802.905,217.387,KT
아수아헤,385.67,3.0,2281.624,228.162,47.154,롯데
안상현,293.0,6.0,1740.169,178.25,39.11,SK
안승한,119.0,2.0,932.008,116.501,43.105,KT
안중열,381.67,5.0,3004.506,375.563,138.958,롯데
안치영,13.0,0.0,60.0,7.800000000000001,1.612,KT
안치홍,805.33,11.0,4405.453,425.345,89.577,KIA
양성우,301.33000000000004,0.0,617.6600000000001,58.666,10.56,한화
양의지,723.33,2.0,5769.28,721.16,266.829,NC
양종민,119.67,4.0,404.862,52.629000000000005,11.317,LG
예진원,18.0,0.0,40.5,3.6,0.648,키움
오선우,120.67,0.0,296.675,22.934,4.238,KIA
오선진,981.67,12.0,6659.623,760.8430000000001,207.194,한화
오윤석,482.66,5.0,1674.967,112.623,29.6,롯데
오재원,484.0,7.0,2821.464,281.48,58.246,두산
오재일,1044.0,4.0,2079.648,0.0,22.876,두산
오정환,76.0,1.0,374.097,41.544,8.674,KIA
오준혁,1.0,0.0,0.0,0.0,0.0,SK
오지환,1101.0,12.0,7560.567,864.065,236.538,LG
오태곤,793.6700000000001,9.0,1587.983,16.384999999999998,18.908,KT
윌리엄슨,296.33000000000004,2.0,688.809,60.864,10.876,삼성
윌슨,534.67,4.0,1900.6,249.189,53.787,롯데
유강남,968.33,7.0,7684.667,960.583,355.416,LG
유민상,285.0,3.0,564.3,0.0,6.207,KIA
유영준,10.0,0.0,24.0,1.2,0.424,NC
유장혁,137.32999999999998,0.0,331.66,35.066,6.122,한화
유재신,155.67000000000002,1.0,337.166,32.417,5.899,KIA
유한준,388.67,2.0,934.671,74.774,13.459,KT
윤석민,308.67,5.0,820.429,69.633,18.309,KT
윤수강,6.0,1.0,38.4,4.8,1.776,NC
윤진호,250.33,2.0,1319.535,155.89,34.738,LG
윤해진,3.0,0.0,0.0,0.0,0.0,KIA
이대형,6.0,0.0,19.5,2.2,0.371,KT
이대호,147.67,1.0,293.568,0.0,3.229,롯데
이동훈,72.33,0.0,189.16,20.066,3.472,한화
이명기,1027.34,2.0,2553.98,244.788,43.043,NC
이범호,15.0,0.0,40.0,3.0,0.84,KIA
이상호,523.0,5.0,2055.613,195.358,44.010000000000005,NC
이성곤,40.0,0.0,95.5,8.0,1.4400000000000002,삼성
