Unnamed: 0,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,OW%,BABIP
µÎ»ê,4993,4313,599,643,1162,200,31,69,101,36,39,77,500,12,64,740,99,63,1002,219.533333333,1187,323,443000,452100,0.34840532902704885,0.378159054022722,0.7265643830497708,0.3518126700726676,0.3092974727567818,0.6987218502738892,523.2846881812311,19.380914377082632,607.8499999999999,0.10874101553443077,81.98823529411764,0.6506509510319708,0.6233041714617262,0.3052220050265289
KT,4929,4380,502,574,1194,154,17,80,99,39,43,39,419,10,48,835,106,83,971,202.500000002,1126,299,329800,348700,0.33995088006549323,0.37031963470319634,0.7102705147686896,0.34421146430861077,0.26438356164383564,0.6568598018613029,481.2808286377676,17.825215875472875,561.9899999999999,0.09771689497716896,88.49162011173185,0.6386384331419196,0.583278630034905,0.3179223744292237
Å°¿ò,4670,4122,590,643,1166,197,32,81,107,30,32,39,414,12,63,779,97,72,908,230.249999997,1124,342,325600,439700,0.3542475204829668,0.4051431344007763,0.7593906548837431,0.3721620742012851,0.3165938864628821,0.7311060655205969,524.3840786105166,19.421632541130244,598.0679999999999,0.12227074235807861,92.20212765957447,0.6868378728923475,0.6242892108456156,0.3286882762799152
KIA,4507,3982,474,495,1046,191,16,64,79,34,27,42,412,12,44,763,85,82,874,182.916666672,1073,274,431400,426900,0.3352678571428571,0.3669010547463586,0.7021689118892157,0.3406477026081653,0.28704168759417376,0.6533551554828151,424.7740917535684,15.732373768650682,505.94599999999997,0.10421898543445501,70.7132867132867,0.6979012981199642,0.521601606826875,0.30716296527994996
NC,5208,4580,563,624,1300,228,26,106,86,44,61,54,437,15,76,786,117,64,1050,208.166666659,1148,300,548400,564100,0.3522440256460074,0.41441048034934497,0.7666545059953523,0.37814834265604336,0.31375545851528386,0.7256611450159838,587.0843565113491,21.743865055975895,665.952,0.13056768558951964,94.95833333333333,0.641782151208106,0.6756128126174915,0.3190807055050775
LG,5005,4438,518,591,1193,217,15,75,105,44,47,45,404,17,71,831,111,59,961,191.383333346,1123,300,477400,486100,0.33642597821702297,0.3751689950428121,0.711594973259835,0.34672479108422416,0.28030644434429924,0.6602941176470588,480.00040737040763,17.777792865570653,566.3919999999999,0.10635421360973413,87.5,0.6447283950617284,0.581983014299615,0.312552418227565
»ï¼º,4726,4177,467,544,1052,187,24,93,114,43,58,42,378,9,71,827,84,84,918,165.08333333000002,1016,251,356400,365500,0.3215509854327335,0.37491022264783336,0.6964612080805669,0.3428249022116667,0.3033277471869763,0.6546740467404674,427.57339077443794,15.836051510164369,525.044,0.12305482403638973,102.43478260869566,0.6810776990770552,0.5248787342256829,0.29069414974234614
ÇÑÈ­,4861,4325,485,523,1100,195,14,70,81,44,42,38,393,7,63,973,105,80,910,198.249999999,1073,274,360900,302300,0.32288856609255034,0.3544508670520231,0.6773394331445735,0.32883774845955377,0.26404624277456645,0.6135151155898044,394.3186937255705,14.604396063910018,500.02599999999984,0.10011560693641619,75.09933774834437,0.6525845802161263,0.484421091587215,0.3102409638554217
·Ôµ¥,4678,4204,460,486,1071,184,14,77,57,26,29,34,355,11,56,914,96,88,886,174.349999985,1047,258,684300,716100,0.31877823187782317,0.36013320647002856,0.6789114383478517,0.3317878024984758,0.2626070409134158,0.6089093701996928,387.76346510854546,14.361609818835017,485.5479999999999,0.1053758325404377,65.50746268656717,0.6699174213022854,0.4760524230160105,0.30612873421619957
SK,4612,4105,501,505,1084,182,12,84,90,38,30,30,367,17,79,761,78,66,858,196.33333332600003,1029,290,516800,457400,0.33398821218074654,0.3756394640682095,0.7096276762489561,0.3464446778929333,0.28136419001218027,0.6624163213261077,448.6217060652061,16.615618743155782,527.0920000000002,0.11157125456760053,86.89655172413794,0.6880359333917616,0.5487707629638148,0.303951367781155
