Unnamed: 0,March_score,kWAR_score,AHP_score,P1,P2,P3,½Â·ü,19¿¬ºÀ
µÎ»ê,44150.924,4790.142,1259.341,362.5904607,1237.774294,-188.6305015,0.615,443000
KT,43859.358,4754.125,1250.903,336.9596317,1154.680794,-180.5854784,0.5,329800
Å°¿ò,43776.818,4743.975,1248.977,362.0615831,1239.546146,-192.2414488,0.601,325600
KIA,41878.145,4562.4,1211.747,299.0080434,1022.251597,-157.1623283,0.437,431400
NC,45377.503,4893.407,1279.389,402.543461,1375.22605,-210.5477491,0.514,548400
LG,44233.028,4798.749,1261.255,337.6832412,1156.795911,-180.7056016,0.552,477400
»ï¼º,43192.153,4660.533,1211.372,311.800548,1075.971257,-176.780665,0.42,356400
ÇÑÈ­,43364.236,4698.88,1238.058,288.4998717,988.9264451,-155.7732162,0.403,360900
·Ôµ¥,44110.239,4790.569,1271.978,280.2433997,958.0687164,-147.881565,0.34,684300
SK,43729.497,4743.813,1252.413,315.9849056,1084.357264,-171.0405735,0.615,516800
