선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP,Salary
강민국,KT,18,50,45,11,9,2,0,0,2,4,3,0,0,6,0,1,1,0,0,0.244,0.291666667,0.288888889,0.580555556,0.203472222,0.155555556,0.457142857,3.125374603,0.115754615,3.522,0.044444444,,2.7534375,0.011643117,0.282051282,4000
강민호,삼성,123,462,406,118,78,22,0,18,55,67,45,4,4,53,7,7,18,0,0,0.291,0.361471861,0.477832512,0.839304374,0.282120466,0.396551724,0.794117647,60.38426363,2.236454209,66.926,0.187192118,0,0.700368996,0.814726616,0.292397661,
강백호,KT,142,628,516,179,122,40,1,16,76,102,104,10,0,85,8,8,7,10,5,0.347,0.450636943,0.521317829,0.971954772,0.333116082,0.496124031,1.097421203,112.6474205,4.172126684,118.22,0.174418605,12.30769231,0.691964401,0.938663882,0.38534279,
강승호,두산,113,340,301,72,47,16,2,7,47,37,22,1,6,78,3,11,8,8,2,0.239,0.301204819,0.375415282,0.676620102,0.229395989,0.312292359,0.623430962,25.13982857,0.931104762,34.766,0.136212625,7.466666667,0.713649547,0.432531478,0.296803653,5000
강진성,NC,124,462,406,101,74,20,0,7,49,38,36,2,14,68,2,6,12,9,3,0.249,0.329694323,0.349753695,0.679448018,0.235800869,0.270935961,0.628125,40.30059923,1.492614786,47.506,0.100985222,7.875,0.618313596,0.662017022,0.282282282,
강한울,삼성,124,258,223,58,53,5,0,0,25,27,29,0,0,58,3,6,5,2,2,0.26,0.341176471,0.282511211,0.623687681,0.224157214,0.174887892,0.546511628,18.2182464,0.674749867,23.866,0.022421525,0,0.768047059,0.285857383,0.345238095,
고종욱,SSG,88,199,180,48,41,5,0,2,25,18,16,0,0,30,2,3,6,2,3,0.267,0.323232323,0.327777778,0.651010101,0.22739899,0.183333333,0.546099291,15.49875655,0.57402802,18.34,0.061111111,2,0.920429293,0.224624494,0.306666667,
구자욱,삼성,139,610,543,166,104,30,10,22,107,88,48,3,6,98,12,13,9,27,4,0.306,0.361247947,0.519337017,0.880584964,0.29239583,0.458563536,0.930769231,92.16469689,3.413507292,104.266,0.213627993,24.24489796,0.637935644,0.911065721,0.331034483,
권동진,KT,86,86,67,17,11,5,0,1,21,6,18,0,0,30,0,1,0,3,3,0.254,0.411764706,0.373134328,0.784899034,0.2785777,0.47761194,0.867924528,8.147714729,0.301767212,11.54,0.119402985,1.5,1.809835294,0.074126675,0.444444444,
권희동,NC,55,171,133,35,24,3,0,8,25,26,29,1,5,24,3,4,4,2,0,0.263,0.405882353,0.466165414,0.872047766,0.299188412,0.518796992,0.960784314,24.70104777,0.914853621,28.288,0.203007519,3.2,1.140656805,0.423909295,0.259615385,
김강민,SSG,122,260,223,53,32,12,1,8,43,27,25,1,6,52,3,6,3,3,3,0.238,0.326848249,0.408071749,0.734919998,0.249099649,0.376681614,0.710227273,24.55166236,0.909320828,31.754,0.170403587,4.363636364,0.852890625,0.420949258,0.271084337,
김기환,NC,62,149,140,29,17,7,2,3,19,13,8,0,0,45,0,1,1,15,3,0.207,0.25,0.35,0.6,0.2,0.371428571,0.626086957,7.86081745,0.291141387,13.72,0.142857143,5,1.111391892,0.069353962,0.282608696,
김동엽,삼성,69,203,185,44,31,9,0,4,20,24,10,0,4,42,4,4,2,2,1,0.238,0.285714286,0.351351351,0.637065637,0.216409266,0.243243243,0.5625,14.57089801,0.539662889,20.414,0.113513514,2.666666667,0.920359606,0.203853042,0.27972028,
김민성,LG,121,426,360,80,50,22,0,8,35,39,42,2,8,73,5,16,7,3,3,0.222,0.313253012,0.35,0.663253012,0.228463855,0.327777778,0.617241379,32.55218128,1.205636344,42.876,0.127777778,4.363636364,0.648237288,0.561007469,0.253521127,
김민수,삼성,47,87,76,20,12,5,0,3,9,13,6,0,1,13,2,4,2,0,0,0.263,0.317647059,0.447368421,0.76501548,0.254783282,0.368421053,0.706896552,9.240061423,0.342224497,11.316,0.184210526,0,1.802776471,0.093355141,0.274193548,
김민수,롯데,82,224,199,48,33,11,1,3,19,25,18,0,3,62,1,4,4,0,0,0.241,0.312217195,0.351758794,0.663975989,0.228437436,0.27638191,0.587096774,15.20290123,0.563070416,21.884,0.110552764,0,0.885167421,0.217982151,0.333333333,
김민식,KIA,100,301,250,55,44,8,0,3,30,26,41,1,4,49,3,6,2,0,0,0.22,0.33557047,0.288,0.62357047,0.223006711,0.276,0.593908629,23.98451199,0.888315259,29.958,0.068,0,0.720191919,0.409599718,0.258706468,
김민하,한화,46,142,115,24,18,4,1,1,14,17,17,0,8,36,2,2,3,6,3,0.209,0.345070423,0.286956522,0.632026944,0.227020821,0.304347826,0.659793814,9.387467593,0.347683985,14.212,0.07826087,1.714285714,1.154112676,0.096069046,0.2875,
김민혁,KT,75,199,172,55,46,6,2,1,22,13,20,0,2,26,0,5,3,6,3,0.32,0.396907216,0.395348837,0.792256054,0.277445457,0.261627907,0.780487805,26.14317543,0.968265757,26.792,0.075581395,1.714285714,0.988850515,0.451834674,0.372413793,
김병희,KT,34,70,52,15,7,3,0,5,16,13,13,0,3,15,0,2,0,3,0,0.288,0.455882353,0.634615385,1.090497738,0.363800905,0.807692308,1.405405405,13.66080159,0.505955614,15.47,0.346153846,3.75,2.305102941,0.183715306,0.3125,
김상수,삼성,132,496,429,101,80,17,1,3,46,42,52,0,3,51,4,12,14,4,2,0.235,0.319672131,0.300699301,0.620371432,0.219027284,0.24009324,0.546511628,37.85826667,1.402158025,43.232,0.065268065,3.428571429,0.561520492,0.633500071,0.258575198,
김선빈,KIA,130,564,501,154,117,32,0,5,55,67,56,2,1,39,5,6,19,0,0,0.307,0.374777975,0.401197605,0.77597558,0.26894949,0.279441118,0.704918033,71.00904886,2.629964773,71.458,0.093812375,0,0.614522282,0.858778044,0.322510823,
김성현,SSG,110,274,237,67,46,15,0,6,27,37,29,0,0,29,4,8,8,5,1,0.283,0.355555556,0.421940928,0.777496484,0.265485232,0.367088608,0.748603352,32.74678129,1.212843752,36.188,0.139240506,5.454545455,0.850074074,0.563941081,0.296116505,
김웅빈,Hero,97,279,232,56,36,13,1,6,24,35,34,2,9,73,2,4,2,1,1,0.241,0.357400722,0.38362069,0.741021412,0.256735497,0.375,0.74301676,26.44356726,0.97939138,35.076,0.142241379,1.714285714,0.820752727,0.457500027,0.322580645,
김인태,두산,133,418,344,89,65,15,1,8,51,46,62,0,3,68,4,9,10,0,2,0.259,0.372881356,0.377906977,0.750788333,0.262273354,0.363372093,0.730337079,44.47224297,1.64712011,51.966,0.119186047,0,0.673891041,0.704598677,0.297794118,6500
김재성,LG,58,73,65,9,5,2,1,1,6,3,5,0,1,13,1,2,2,1,0,0.138,0.208333333,0.246153846,0.454487179,0.155288462,0.261538462,0.396551724,1.015206907,0.037600256,3.206,0.107692308,1,1.869666667,0.001241426,0.153846154,
김재유,롯데,87,192,174,50,41,8,0,1,27,18,10,0,4,36,0,4,1,7,0,0.287,0.340425532,0.350574713,0.691000245,0.240835168,0.212643678,0.656,19.51674687,0.722842477,22.062,0.063218391,1.75,0.981367021,0.314774576,0.357664234,
김재현,Hero,39,51,46,10,3,7,0,0,2,8,3,0,0,12,0,2,1,0,1,0.217,0.265306122,0.369565217,0.63487134,0.211779059,0.347826087,0.526315789,2.129522004,0.078871185,3.614,0.152173913,,2.809959184,0.005439348,0.294117647,
김재호,두산,89,251,211,44,35,8,0,1,23,24,29,0,2,34,3,9,7,1,1,0.209,0.306122449,0.260663507,0.566785956,0.202920979,0.232227488,0.497142857,14.22155844,0.526724387,18.678,0.052132701,1,0.778742857,0.19608916,0.240223464,
김재환,두산,137,566,475,130,78,23,2,27,86,102,81,3,5,127,5,5,9,2,3,0.274,0.381625442,0.501052632,0.882678073,0.296994607,0.505263158,0.913165266,76.01563993,2.815394071,91.544,0.227368421,3.724137931,0.67173357,0.874510397,0.31595092,76000
김주원,NC,69,189,166,40,27,7,1,5,20,16,17,0,2,57,2,4,5,6,2,0.241,0.315508021,0.385542169,0.70105019,0.238364152,0.34939759,0.669172932,13.81819988,0.511785181,20.934,0.144578313,5.454545455,0.995791444,0.187176216,0.330188679,
김주형,Hero,36,70,50,9,6,3,0,0,5,5,4,0,13,15,0,3,0,1,0,0.18,0.388059701,0.24,0.628059701,0.234626866,0.22,0.731707317,5.583003175,0.206777895,7.43,0.06,0,2.115507463,0.036229368,0.257142857,
김준태,롯데,47,131,111,23,14,5,0,4,17,15,17,0,1,35,2,2,2,0,0,0.207,0.312977099,0.36036036,0.67333746,0.230929785,0.387387387,0.644444444,9.368108271,0.346966973,14.36,0.153153153,0,1.264320611,0.095711103,0.256756757,
김지찬,삼성,120,336,296,81,74,6,0,1,50,26,27,0,0,31,3,13,0,23,4,0.274,0.331288344,0.304054054,0.635342398,0.225093268,0.209459459,0.639269406,34.37230049,1.273048166,36.832,0.030405405,1.916666667,0.66996319,0.587603007,0.299625468,
김찬형,SSG,71,135,110,22,14,6,0,2,18,6,14,0,3,27,0,8,1,0,0,0.2,0.307086614,0.309090909,0.616177523,0.215461704,0.309090909,0.573033708,8.526824691,0.315808322,11.794,0.109090909,0,1.268692913,0.080616287,0.24691358,
김태군,NC,102,276,232,51,37,7,0,7,23,24,21,0,11,30,3,12,4,0,1,0.22,0.310861423,0.340517241,0.651378665,0.225016951,0.267241379,0.596774194,23.17630824,0.858381787,27.76,0.120689655,0,0.784827715,0.393129626,0.222222222,
