선수명,Sal_22
강민호,60000만원
강백호,55000만원
강승호,11500만원
강진성,13000만원
강한울,10000만원
고종욱,7000만원
구자욱,250000만원
권희동,11000만원
김강민,16000만원
김기환,4500만원
김동엽,15000만원
김민성,18000만원
김민수,3000만원
김민식,9500만원
김민혁,9000만원
김상수,25000만원
김선빈,45000만원
김성현,20000만원
김웅빈,7000만원
김인태,14000만원
김재유,6000만원
김재호,50000만원
김재환,150000만원
김주원,6000만원
김지찬,11000만원
김태군,20000만원
김태연,5600만원
김태진,10000만원
김헌곤,18000만원
김현수,150000만원
김혜성,32000만원
김호령,6000만원
나성범,200000만원
노수광,12840만원
노시환,12000만원
노진혁,23000만원
라모스,
로맥,
류지혁,10500만원
마차도,
문보경,6800만원
박건우,190000만원
박경수,29000만원
박계범,14500만원
박동원,31000만원
박민우,41000만원
박병호,60000만원
박석민,70000만원
박성한,14000만원
박세혁,30000만원
박준영,7000만원
박찬호,12000만원
박해민,60000만원
배정대,26000만원
변상권,4800만원
서건창,26000만원
서건창,26000만원
손아섭,150000만원
송성문,7500만원
송우현,7500만원
신본기,11500만원
심우준,26000만원
안재석,5800만원
안중열,6400만원
안치홍,100000만원
알몬테,
알테어,
양석환,39000만원
양의지,100000만원
오재일,60000만원
오지환,60000만원
오태곤,10500만원
유강남,27000만원
유한준,
이대호,80000만원
이명기,17500만원
이성곤,6400만원
이영빈,5500만원
이용규,40000만원
이원석,30000만원
이재원,5200만원
이재원,100000만원
이정후,75000만원
이정훈,4000만원
이지영,30000만원
이창진,7000만원
이천웅,10000만원
이학주,7000만원
이형종,12000만원
이흥련,9000만원
임종찬,3600만원
장성우,50000만원
장승현,7800만원
장운호,5350만원
전병우,7000만원
전준우,50000만원
정수빈,60000만원
정은원,19080만원
정의윤,
정주현,8000만원
정진기,5500만원
정진호,
정훈,55000만원
조용호,24000만원
조한민,
지시완,6000만원
채은성,28000만원
최원준,
최인호,
최재훈,100000만원
최정,120000만원
최정원,
최주환,65000만원
최지훈,15000만원
최형우,90000만원
추신수,270000만원
추재현,6400만원
크레익,
터커,
페레즈,
페르난데스,600000달러
프레이타스,
피렐라,600000달러
하주석,20090만원
한동희,17200만원
한승택,8500만원
한유섬,240000만원
허경민,120000만원
호잉,
홍창기,32000만원
황대인,6500만원
황재균,40000만원
힐리,
