Name,PA19-18,OBP19-18,SLG19-18,Money19-18
강민호,-84,-0.016658892,-0.052050196,25000
강백호,-80,0.060286028,-0.028285375,9300
고종욱,162,0.038407129,0.020731707,0
구자욱,-3,-0.065049257,-0.089262277,5000
권희동,22,0.005511531,-0.05767233,1000
김강민,193,-0.046315965,-0.166501967,-20000
김규민,-86,-0.03719403,-0.035794184,2900
김동엽,-235,-0.019990414,-0.141348438,7000
김민성,-64,-0.02806078,-0.042852448,5000
김상수,44,0.043896278,-0.00733005,1000
김선빈,-45,-0.01475709,-0.002083133,2000
김성욱,-25,-0.017755583,-0.046676951,2500
김성현,10,-0.033802178,-0.056157022,3000
김용의,25,0.017781172,0.03404659,-500
김재호,3,-0.011298328,-0.122009316,0
김재환,-28,-0.042946277,-0.222203056,26000
김주찬,-108,-0.035487519,-0.14592628,0
김찬형,-6,0.01419232,0.065877535,1600
김태균,229,0.024066421,-0.081458784,-40000
김하성,49,0.031162207,0.017159528,0
김헌곤,-119,-0.013743285,-0.036140635,7000
김현수,84,-0.045124899,-0.152141617,-10000
김혜성,-86,0.003933115,-0.005372894,4100
나종덕,6,-0.012912116,0.019453352,1500
나주환,-175,-0.069356795,-0.125954574,2000
나지완,-226,-0.076655112,-0.209791407,0
노수광,-143,-0.050850882,-0.119212291,13500
노진혁,-68,-0.011459473,0.023070608,5700
류지혁,36,-0.049166567,-0.025171625,3000
모창민,72,0.029487475,-0.03198218,11500
민병헌,-74,0.0054912,-0.028238115,25000
박건우,8,0.024281999,-0.008295154,1500
박경수,-38,-0.01877572,-0.096318809,17000
박민우,66,0.01973959,-0.00419552,6000
박병호,44,-0.058470972,-0.157314815,0
박석민,69,0.033181818,0.021802935,0
박세혁,311,-0.010566397,-0.015859677,0
박용택,-368,-0.022386214,-0.122059111,0
박해민,-68,-0.042272482,-0.104228426,7000
서건창,326,-0.02606337,-0.042902807,-3000
손아섭,-57,-0.044057794,-0.145721491,0
송광민,26,-0.030124224,-0.120130331,1000
신본기,-66,-0.042814594,-0.154352941,7000
심우준,30,0.024219545,-0.030418754,2200
안치홍,-141,-0.011719168,-0.151150826,18000
양의지,-44,0.010473109,-0.011062438,140000
오선진,305,0.017342571,0.010069817,-1100
오재원,-317,-0.101399136,-0.191815673,0
오재일,52,-0.00454558,-0.044006686,0
오지환,-70,-0.014830119,-0.017436902,11000
오태곤,18,0.006222327,-0.068779905,-300
유강남,3,-0.018004727,-0.070436251,2500
유한준,82,-0.023295463,-0.089596508,0
윤석민,-331,-0.078851141,-0.157885259,-7000
이대호,-55,-0.038848478,-0.157950296,0
이명기,45,-0.003266199,-0.065038734,-3000
이상호,52,0.017111511,0.045660222,0
이성열,-52,-0.004090682,-0.088809204,7000
이우성,-31,-0.021593177,0.019605643,1200
이원석,-88,-0.04713817,-0.052186782,0
이원재,135,-0.035952381,-0.090975996,2300
이재원,31,-0.077365612,-0.123269612,105000
이정후,110,-0.026027351,-0.02067819,12000
이지영,128,-0.089168294,-0.117649205,0
이천웅,208,-0.029279582,-0.060914016,7000
이형종,-3,-0.019494975,-0.025291776,6500
임병욱,-28,-0.021537178,-0.154100937,5000
장성우,20,0.003754803,-0.065696568,2200
장영석,192,-0.002289834,-0.064077243,-700
전준우,-8,-0.04099605,-0.110992674,23000
정근우,-120,-0.042921405,-0.107542719,0
정은원,397,-0.00729234,0.010929395,2800
정의윤,180,0.00737723,-0.018069367,0
정주현,86,-0.033370779,-0.071027316,3800
정훈,28,-0.036623829,-0.20477919,-2000
채은성,-64,-0.02091608,-0.114161606,20000
채태인,-238,-0.05341079,-0.052920754,0
최원준,-76,-0.063289456,-0.079755652,2500
최재훈,110,0.060896858,0.033071235,4500
최정,117,0.031241774,-0.02791135,0
최주환,-265,-0.064302477,-0.216975966,18500
최항,-110,-0.062395917,-0.182733915,6800
최형우,-54,-0.00118049,-0.064593301,0
한동민,-60,0.007953949,-0.205038502,18000
한동희,-19,-0.008229661,-0.076767113,2200
허경민,-37,-0.025781016,-0.08877601,12000
황재균,-81,-0.001359803,-0.059897237,0
