Name,March_score,kWAR_score,AHP_score,P1,P2,P3,연차,20연봉,FA유무
이대호,293.568,0.0,3.229,44.080342989353184,-23.658180577827643,17.793260382995193,19,250000,1
박병호,1802.46,0.0,19.827,57.48685671077971,-30.31461735413179,23.609110118804125,15,200000,0
양의지,5769.28,721.16,266.829,56.48621638052198,-30.765352355468732,27.10927516731458,14,200000,1
손아섭,2626.675,210.134,37.824,45.43030914205765,-24.846866018100513,26.04698961765522,13,200000,1
최형우,700.0,70.0,12.6,55.288175595311024,-29.76274615330721,22.411729547990696,18,150000,1
김현수,2080.985,166.4,34.539,52.57447523770782,-28.79055609339454,24.451176169275566,14,130000,1
이재원,8278.032,1034.754,382.859,34.60487873948991,-18.40661055633739,15.118652730528531,14,130000,1
최정,4409.072,661.361,136.681,64.83420161631022,-35.11143594525693,30.251609270485904,15,120000,1
황재균,4123.564,602.866,127.589,45.71299023546544,-24.76679534646338,27.540478484777974,14,120000,1
김재호,6814.244,778.771,213.188,35.632994250964806,-18.898718804208126,16.579734951347877,16,65000,1
김재환,2020.0,202.0,36.36,48.914707726944265,-26.194889218534144,23.431351824015103,12,65000,0
오지환,7560.567,864.065,236.538,39.720140313464555,-21.2640823268995,25.372650198000937,11,60000,0
김하성,6602.337,785.83,206.309,65.79949670561834,-36.445377475527614,43.25300708179156,6,55000,0
박민우,5475.29,547.529,113.156,51.08961007786372,-28.21834370129691,21.647888214949287,8,52000,0
김태균,444.427,0.0,4.889,39.83539369193187,-21.339187915389868,18.736006709051487,19,50000,1
이성열,1254.114,75.194,16.991,39.673388393823096,-20.844659130359616,24.047970356107477,17,50000,0
유한준,934.671,74.774,13.459,50.41026654433292,-27.645597352351636,23.626766060865958,20,50000,1
전준우,2318.764,232.726,41.806,55.37030671034626,-30.328577982387714,30.495107904477756,12,50000,0
허경민,4211.04,631.056,130.41799999999998,39.797896200609564,-21.724129837133066,19.90478191264778,11,48000,0
오재일,2079.648,0.0,22.876,50.54149500366849,-27.06170595729342,23.034961508374167,15,47000,0
김선빈,6169.599,698.688,188.25600000000003,34.462510905013595,-18.7140002747497,16.067057560892124,12,45000,0
박건우,2530.037,209.003,37.346,51.585889039802,-28.239206837745936,28.200552188955573,11,45000,0
박경수,5807.588,580.759,120.023,30.867782300478712,-15.847415919488336,12.48245968496761,17,40000,1
이정후,2884.098,290.201,50.647,60.16920168041228,-33.6435718639998,29.752922188929297,3,39000,0
김강민,3279.183,374.764,62.773,31.13036608879075,-16.502390168495634,19.605565924243525,19,35000,0
서건창,2822.508,282.251,58.332,41.04083074882088,-22.31943037805523,18.772257273564218,12,35000,0
정수빈,3508.902,401.017,67.17,36.03001056637625,-19.293149647898208,14.408152113340119,11,34000,0
채은성,2193.667,175.493,31.589,44.39507010682698,-24.107934168132225,20.174437274786257,11,32000,0
박해민,4025.088,456.506,76.802,36.12766507445674,-19.450843260551306,20.258167200913764,8,30000,0
이원석,2722.952,406.843,83.914,35.11284284957635,-18.254853406273938,16.642763670114253,15,30000,1
이천웅,3690.13,420.339,70.483,47.17522554022783,-25.918054961752002,21.458005128679666,9,28000,0
구자욱,2156.243,172.499,31.05,43.218230086697766,-23.264602135876174,26.199875610224243,8,28000,0
한동민,1889.178,151.134,27.204,39.06732478498719,-20.6440453673862,15.744656126056135,8,25000,0
송광민,3697.304,554.596,114.616,26.389181810183228,-13.845829230884323,15.630317961318655,18,25000,1
김상수,5856.714,585.671,121.039,39.580522478385646,-21.50365345711568,21.382685298735872,11,25000,1
이명기,2553.98,244.788,43.043,39.35936437768987,-21.464299659452237,18.10490271402623,14,24000,0
박세혁,8496.2,1062.025,392.949,38.859154040682746,-20.979160942375508,19.201562948384836,8,23200,0
유강남,7684.667,960.583,355.416,33.582368348759296,-17.448420169044024,13.495158078573013,9,23000,0
강백호,1549.2720000000002,127.421,23.109,52.650426471651414,-28.70184249852022,28.423198273773448,2,21000,0
김성현,7637.428,872.849,238.942,23.02225519840898,-12.176535094578348,10.123612891829698,14,21000,0
이형종,1883.255,182.842,32.126000000000005,41.013777203956764,-21.894734706517163,22.150405671101435,12,20000,0
최재훈,8124.09,1015.511,375.739,34.59631556037166,-18.505416895549942,15.709011197334181,12,20000,0
김헌곤,2023.5,204.6,36.563,34.57847351170758,-18.72969412188278,18.180525985623266,9,19000,0
고종욱,1022.057,102.206,18.397,42.60027940654189,-23.207024250079773,20.808728815071017,9,17000,0
정은원,7027.212,702.721,145.229,41.6142034455555,-22.510505291414745,23.910153301934088,2,12000,0
박찬호,5649.993,734.27,171.659,31.19619842421358,-16.686634060480845,15.119524639266661,6,10500,0
오선진,6659.623,760.8430000000001,207.194,22.268175131511732,-11.477989337417805,11.651460312326154,12,10500,0
김민혁,2060.053,215.58900000000003,37.846,32.39562919687654,-17.47143146566822,12.876232755051745,6,9000,0
이창진,3594.452,406.937,69.22,34.183177154115064,-18.03749789204698,18.382747940825798,6,8500,0
